Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,7,75.38,,7,91.84,,7,141.45,,6,179.77
QF_BV/RWS/Example_11.txt,,9,905.01,,9,1931.09,,9,3429.7,,--,--
QF_BV/RWS/Example_12.txt,,4,158.94,,5,469.71,,4,431.73,,4,758.96
QF_BV/RWS/Example_13.txt,,5,25.97,,5,37.81,,5,63.66,,5,96.27
QF_BV/RWS/Example_16.txt,,7,55.9,,8,78.04,,8,128.42,,8,186.04
QF_BV/RWS/Example_17.txt,,5,38.18,,5,56.57,,4,75.36,,5,121.69
QF_BV/RWS/Example_3.txt,,6,56.39,,6,36.12,,6,53.84,,6,68.16
QF_BV/RWS/Example_8.txt,,5,21.25,,5,19.81,,5,28.77,,5,38.92
QF_BV/RWS/Example_9.txt,,6,108.21,,5,133.09,,5,193.38,,5,239.03
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,6,621.09,,3,295.44,,3,305.33,,4,376.35
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,5,898.75,,3,525.54,,3,507.07,,3,550.62
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,4,354.27,,3,205.23,,3,229.97,,3,244.18
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,4,620.21,,4,454.22,,4,509.54,,3,407.04
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,4,338.94,,4,259.43,,3,239.86,,3,225.95
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,5,777.32,,4,458.95,,3,418.93,,4,531.94
QF_BV/sage/app1/bench_1126,,2,69.25,,2,60.31,,2,84.51,,2,118.42
QF_BV/sage/app1/bench_134,,2,47.46,,2,30.78,,2,39.51,,2,46
QF_BV/sage/app1/bench_1448,,2,65.93,,2,67.44,,2,95.66,,2,127.1
QF_BV/sage/app1/bench_1459,,2,72.3,,2,62.16,,2,82.74,,2,101.27
QF_BV/sage/app1/bench_1470,,2,67.3,,2,47.83,,2,88.25,,2,97.56
QF_BV/sage/app1/bench_1481,,2,57.28,,2,55.78,,2,88.98,,2,87.81
QF_BV/sage/app1/bench_1492,,2,55,,2,61.79,,2,83.79,,2,92.79
QF_BV/sage/app1/bench_1525,,2,73.98,,2,77.04,,2,86.35,,2,117.04
QF_BV/sage/app1/bench_1559,,2,70.1,,2,69.87,,2,101.23,,2,94.8
QF_BV/sage/app1/bench_169,,2,28.55,,2,26.25,,2,35.42,,2,40.02
QF_BV/sage/app1/bench_174,,2,28.96,,2,26.25,,2,35.83,,2,41.81
QF_BV/sage/app1/bench_175,,2,42.97,,2,27.95,,2,37.09,,2,33.55
QF_BV/sage/app1/bench_176,,2,26.61,,2,25.25,,2,36.52,,2,34.95
QF_BV/sage/app1/bench_177,,2,28.65,,2,25.59,,2,38.14,,2,38.12
QF_BV/sage/app1/bench_181,,2,86.59,,2,77.6,,2,112.6,,2,105.05
QF_BV/sage/app1/bench_182,,2,25.73,,2,23.72,,2,37.76,,2,37.8
QF_BV/sage/app1/bench_183,,2,26.09,,2,30.63,,2,34.88,,2,36.56
QF_BV/sage/app1/bench_184,,2,28.54,,2,28.73,,2,32.34,,2,34.4
QF_BV/sage/app1/bench_185,,2,25.41,,2,25.31,,2,35.09,,2,34.29
QF_BV/sage/app1/bench_1873,,2,107.57,,2,67.09,,2,93.49,,2,105.4
QF_BV/sage/app1/bench_1877,,2,59.77,,2,55.47,,2,84.93,,2,103.04
QF_BV/sage/app1/bench_188,,2,37.03,,2,25.46,,2,39.04,,2,41.55
QF_BV/sage/app1/bench_191,,2,27.99,,2,25.74,,2,31.72,,2,34.75
QF_BV/sage/app1/bench_1913,,2,70.51,,2,68.12,,2,102.58,,2,119.14
QF_BV/sage/app1/bench_1914,,2,66.18,,2,67.12,,2,81.02,,2,97.18
QF_BV/sage/app1/bench_1915,,2,68.09,,2,58.99,,2,92.33,,2,93.67
QF_BV/sage/app1/bench_1916,,2,63.32,,2,58.93,,2,76,,2,97.93
QF_BV/sage/app1/bench_1917,,2,58.43,,2,63.24,,2,80.61,,2,97.72
QF_BV/sage/app1/bench_1920,,2,113.49,,2,50.04,,2,72.22,,2,84.19
QF_BV/sage/app1/bench_1924,,2,59.67,,2,54.26,,2,82.37,,2,99.63
QF_BV/sage/app1/bench_1950,,2,65.68,,2,59.22,,2,87.87,,2,105.18
QF_BV/sage/app1/bench_2004,,2,59,,2,65.44,,2,76.25,,2,87.7
QF_BV/sage/app1/bench_2005,,2,49.47,,2,57.92,,2,68.3,,2,85.98
QF_BV/sage/app1/bench_201,,2,29.08,,2,23.75,,2,35.01,,2,38.12
QF_BV/sage/app1/bench_2020,,2,53.14,,2,49.26,,2,79.21,,2,89.64
QF_BV/sage/app1/bench_2021,,2,46.41,,2,39.75,,2,73.04,,2,84.09
QF_BV/sage/app1/bench_2022,,2,49.71,,2,52.21,,2,65.31,,2,81.74
QF_BV/sage/app1/bench_2024,,2,49.69,,2,50.08,,2,63.4,,2,79.64
QF_BV/sage/app1/bench_2025,,2,65.6,,2,43.57,,2,67.73,,2,83.59
QF_BV/sage/app1/bench_2028,,2,57.06,,2,48.85,,2,76.27,,2,85.99
QF_BV/sage/app1/bench_2031,,2,74.21,,2,65.01,,2,84.7,,2,89.97
QF_BV/sage/app1/bench_2088,,2,44.54,,2,49.6,,2,79.68,,2,83.68
QF_BV/sage/app1/bench_2089,,2,75.07,,2,74.08,,2,115.71,,2,123.62
QF_BV/sage/app1/bench_2124,,2,49.47,,2,46.82,,2,64.12,,2,71.34
QF_BV/sage/app1/bench_2128,,2,51.08,,2,54.46,,2,68.75,,2,64.49
QF_BV/sage/app1/bench_2129,,2,77.15,,2,82.1,,2,99.53,,2,117.79
QF_BV/sage/app1/bench_2133,,2,51.08,,2,51.15,,2,63.84,,2,78.6
QF_BV/sage/app1/bench_2135,,2,53.23,,2,46.13,,2,80.53,,2,79.14
QF_BV/sage/app1/bench_2138,,2,53.55,,2,50.7,,2,86.96,,2,89.55
QF_BV/sage/app1/bench_2141,,2,52.15,,2,38.93,,2,69.99,,2,67.57
QF_BV/sage/app1/bench_2173,,2,68.2,,2,70.44,,2,93.73,,2,86.21
QF_BV/sage/app1/bench_2219,,2,57.83,,2,54.44,,2,79.99,,2,94.17
QF_BV/sage/app1/bench_2252,,2,39.38,,2,37.75,,2,58.75,,2,56.1
QF_BV/sage/app1/bench_2257,,2,48.16,,2,33.5,,2,54.25,,2,70.63
QF_BV/sage/app1/bench_2258,,2,52.16,,2,48.54,,2,68.91,,2,70.37
QF_BV/sage/app1/bench_2262,,2,43.72,,2,44.49,,2,52.82,,2,55.45
QF_BV/sage/app1/bench_2263,,2,42.27,,2,36.96,,2,51.32,,2,54.59
QF_BV/sage/app1/bench_2266,,2,42.33,,2,35.48,,2,53.35,,2,55.98
QF_BV/sage/app1/bench_2270,,2,42.96,,2,33.23,,2,53.88,,2,63.36
QF_BV/sage/app1/bench_2293,,2,46.6,,2,42.52,,2,58.39,,2,61.13
QF_BV/sage/app1/bench_2322,,2,74.19,,2,80.05,,2,96.91,,2,115.26
QF_BV/sage/app1/bench_2330,,2,49.5,,2,42.92,,2,59.04,,2,64.49
QF_BV/sage/app1/bench_2365,,2,31.72,,2,30.34,,2,45.37,,2,56.42
QF_BV/sage/app1/bench_2367,,2,56.83,,2,66.89,,2,93.89,,2,147.08
QF_BV/sage/app1/bench_2370,,2,38.84,,2,32.11,,2,47.56,,2,45.39
QF_BV/sage/app1/bench_2371,,2,39.79,,2,35.39,,2,56.26,,2,58.6
QF_BV/sage/app1/bench_2375,,2,58.44,,2,29.34,,2,42.17,,2,45.29
QF_BV/sage/app1/bench_2376,,2,36.76,,2,32.28,,2,47.96,,2,43.01
QF_BV/sage/app1/bench_2380,,2,33.65,,2,34.76,,2,43.57,,2,52.46
QF_BV/sage/app1/bench_2383,,2,35.49,,2,31.04,,2,41.84,,2,51.03
QF_BV/sage/app1/bench_2405,,2,38.32,,2,36.69,,2,48.55,,2,49.1
QF_BV/sage/app1/bench_2428,,2,38.01,,2,32.4,,2,51.03,,2,63.82
QF_BV/sage/app1/bench_2461,,2,30.04,,2,32.53,,2,40.72,,2,46.34
QF_BV/sage/app1/bench_2465,,2,35.34,,2,32.83,,2,41.04,,2,35.87
QF_BV/sage/app1/bench_2466,,2,29.45,,2,27.93,,2,42.26,,2,45.28
QF_BV/sage/app1/bench_2468,,2,31.31,,2,34.05,,2,44.65,,2,43.1
QF_BV/sage/app1/bench_2472,,2,32.05,,2,30.53,,2,40.28,,2,45.63
QF_BV/sage/app1/bench_2473,,2,31.88,,2,28.17,,2,42.83,,2,41.6
QF_BV/sage/app1/bench_2474,,2,28.44,,2,25.6,,2,42.25,,2,42.88
QF_BV/sage/app1/bench_2477,,2,54.61,,2,29.98,,2,39.26,,2,42.01
