ALL,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time
80%,533,1.8,121.8,545,1.7,93.0,550,1.7,121.6,522,1.7,144.9
90%,482,2.9,207.1,534,2.7,134.1,544,2.7,188.8,466,2.7,278.6
95%,402,4.5,257.8,520,4.3,174.1,531,4.4,206.8,380,3.5,276.1
98%,358,7.5,107.3,504,7.7,267.1,518,7.8,329.1,345,5.4,133.6
99%,348,11.1,183.1,473,11.3,312.8,488,11.3,426.8,340,8.3,194.1
99.5%,331,18.7,172.5,443,20.0,307.7,445,17.7,421.4,334,15.4,275.5
