Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,4,52.53,,4,60.05,,3,67.72,,3,99.28
QF_BV/RWS/Example_11.txt,,3,380.72,,3,884.21,,3,935.22,,3,1404.7
QF_BV/RWS/Example_12.txt,,2,93.74,,3,300.59,,2,237.85,,2,397.95
QF_BV/RWS/Example_13.txt,,3,17.93,,3,24.18,,3,41.64,,3,62.06
QF_BV/RWS/Example_16.txt,,3,30.14,,3,33.41,,3,60.64,,3,83.69
QF_BV/RWS/Example_17.txt,,3,28.94,,3,38.08,,3,62.46,,3,82.88
QF_BV/RWS/Example_3.txt,,3,37.8,,3,22.26,,3,31.18,,3,40.82
QF_BV/RWS/Example_8.txt,,3,14.81,,3,13.56,,3,19.58,,3,27.35
QF_BV/RWS/Example_9.txt,,3,71.04,,3,93.42,,3,132.66,,3,161.34
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,3,358.73,,2,212.68,,2,223.7,,2,218.69
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,2,435.68,,2,382.77,,2,364.31,,2,402.53
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,2,203.87,,2,148.76,,2,168.51,,2,179.22
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,2,371.14,,2,274.33,,3,416.53,,2,297.69
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,2,198.24,,3,209.45,,2,179.61,,2,167.22
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,3,534.74,,3,382.2,,2,309.41,,2,326.1
QF_BV/sage/app1/bench_1126,,1,46.74,,1,33.19,,1,47.45,,1,64.68
QF_BV/sage/app1/bench_134,,1,26.71,,1,15.05,,1,21.77,,1,24.97
QF_BV/sage/app1/bench_1448,,1,42.45,,1,41.91,,1,59.32,,1,79.36
QF_BV/sage/app1/bench_1459,,1,47.69,,1,39.81,,1,51.66,,1,60.43
QF_BV/sage/app1/bench_1470,,1,40.76,,1,30.37,,1,49.37,,1,52.33
QF_BV/sage/app1/bench_1481,,1,38.47,,1,30.05,,1,53.8,,1,48.47
QF_BV/sage/app1/bench_1492,,1,33.35,,1,39.36,,1,49.93,,1,54.57
QF_BV/sage/app1/bench_1525,,1,49.94,,1,45.83,,1,52.17,,1,79.45
QF_BV/sage/app1/bench_1559,,1,48.27,,1,47.87,,1,60.02,,1,53.61
QF_BV/sage/app1/bench_169,,1,14.83,,1,13.31,,1,18.89,,1,22.5
QF_BV/sage/app1/bench_174,,1,15.16,,1,13.56,,1,18.57,,1,23.2
QF_BV/sage/app1/bench_175,,1,21.81,,1,15.44,,1,21.29,,1,18.69
QF_BV/sage/app1/bench_176,,1,14.26,,1,12.01,,1,19.83,,1,19.59
QF_BV/sage/app1/bench_177,,1,15.41,,1,13.86,,1,21.78,,1,20.61
QF_BV/sage/app1/bench_181,,1,56.63,,1,49.69,,1,65.81,,1,62.16
QF_BV/sage/app1/bench_182,,1,13.93,,1,12.59,,1,20.5,,1,21.49
