Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,12,115.96,,12,150.25,,12,230.25,,11,307.11
QF_BV/RWS/Example_11.txt,,20,2341.6,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,8,285.19,,8,771.33,,7,692.19,,7,1228.59
QF_BV/RWS/Example_13.txt,,9,40.76,,9,62.15,,9,102.11,,9,158.47
QF_BV/RWS/Example_16.txt,,18,118.22,,18,161.4,,18,250.49,,17,344.83
QF_BV/RWS/Example_17.txt,,8,52.56,,8,88.61,,8,132.06,,8,171.67
QF_BV/RWS/Example_3.txt,,11,80.24,,10,54.45,,10,77.68,,10,97.76
QF_BV/RWS/Example_8.txt,,8,28.95,,8,28.35,,7,36.38,,7,49.45
QF_BV/RWS/Example_9.txt,,9,140.21,,9,207.87,,9,311.06,,8,350.31
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,13,1171.18,,4,362.37,,5,451.03,,5,448.99
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,9,1395.98,,4,643.07,,5,748.36,,5,803.24
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,13,896.47,,3,205.23,,4,285.37,,5,361.37
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,10,1247.5,,5,532.09,,5,594.75,,6,673.44
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,9,624.95,,5,303.45,,5,345.08,,6,385.55
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,7,976.22,,4,458.95,,5,589.5,,5,611.85
QF_BV/sage/app1/bench_1126,,3,95.08,,3,89.71,,3,122.84,,3,154.43
QF_BV/sage/app1/bench_134,,3,65.61,,4,54.29,,4,67.47,,4,75.67
QF_BV/sage/app1/bench_1448,,3,84.71,,3,89.96,,3,133.78,,3,167.58
QF_BV/sage/app1/bench_1459,,3,97.87,,3,90.33,,3,118.13,,3,142.27
QF_BV/sage/app1/bench_1470,,3,90.9,,3,70.25,,3,115.23,,3,149.24
QF_BV/sage/app1/bench_1481,,3,76.11,,3,82.45,,3,119.51,,3,122.08
QF_BV/sage/app1/bench_1492,,3,76.4,,3,94.06,,3,111.71,,3,123.79
QF_BV/sage/app1/bench_1525,,3,92.55,,3,100.46,,3,117.69,,3,153.07
QF_BV/sage/app1/bench_1559,,3,90.62,,3,98.89,,3,134.54,,3,127.95
QF_BV/sage/app1/bench_169,,3,37.93,,4,43.89,,4,58.42,,3,54.78
QF_BV/sage/app1/bench_174,,4,51.35,,3,35.83,,4,58.36,,4,68.92
QF_BV/sage/app1/bench_175,,3,56.83,,3,38.01,,3,49.95,,3,45.19
QF_BV/sage/app1/bench_176,,4,44.14,,3,34.39,,4,59.59,,3,47.99
QF_BV/sage/app1/bench_177,,4,52.79,,3,36.08,,4,61.79,,4,65.67
QF_BV/sage/app1/bench_181,,3,110.62,,3,108.01,,3,156.44,,3,149.45
QF_BV/sage/app1/bench_182,,4,42.99,,4,41.4,,4,64.15,,4,62.86
QF_BV/sage/app1/bench_183,,3,37.3,,3,42.89,,3,46.3,,3,49.69
QF_BV/sage/app1/bench_184,,3,39.31,,3,39.63,,4,55.32,,3,47.14
QF_BV/sage/app1/bench_185,,4,43.96,,4,42.4,,4,58.41,,4,57.94
QF_BV/sage/app1/bench_1873,,3,134.47,,3,96.98,,3,129.07,,3,139.45
QF_BV/sage/app1/bench_1877,,3,79.63,,3,78.45,,3,116.34,,3,139.68
QF_BV/sage/app1/bench_188,,4,60.04,,3,35.56,,3,52.29,,4,69.06
QF_BV/sage/app1/bench_191,,4,49.1,,3,36.36,,4,52,,3,46.14
QF_BV/sage/app1/bench_1913,,3,88.22,,3,98.42,,3,140.26,,3,153.37
QF_BV/sage/app1/bench_1914,,3,90.38,,3,96.06,,3,114.42,,3,131.65
QF_BV/sage/app1/bench_1915,,3,85.48,,3,86.17,,3,125.8,,3,128.67
QF_BV/sage/app1/bench_1916,,3,83.56,,3,85.73,,3,107.42,,3,130.29
QF_BV/sage/app1/bench_1917,,3,77.19,,3,86.28,,3,112.48,,3,133.45
QF_BV/sage/app1/bench_1920,,3,143.46,,3,73.74,,3,100.02,,3,116.2
QF_BV/sage/app1/bench_1924,,3,78.52,,3,77.03,,3,112.77,,3,137.76
QF_BV/sage/app1/bench_1950,,3,85.47,,3,87.38,,3,122.51,,3,141.24
QF_BV/sage/app1/bench_2004,,3,74.23,,3,85.51,,3,102.25,,3,118.76
QF_BV/sage/app1/bench_2005,,3,66.43,,3,84.74,,3,94.86,,3,113.32
QF_BV/sage/app1/bench_201,,4,48.02,,4,41.81,,4,58.54,,4,63.91
QF_BV/sage/app1/bench_2020,,3,67.09,,3,65.05,,3,105.63,,3,129.94
QF_BV/sage/app1/bench_2021,,3,62.92,,3,63.1,,3,96.57,,3,115.35
QF_BV/sage/app1/bench_2022,,3,66.08,,3,72.27,,3,88.76,,3,110.36
QF_BV/sage/app1/bench_2024,,3,62.31,,3,72.65,,3,83.38,,3,113.37
