Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_2173,,9,216.53,,8,231.3,,8,281.09,,7,228.02
QF_BV/sage/app1/bench_2219,,9,187.41,,8,191.82,,7,209.41,,8,313.12
QF_BV/sage/app1/bench_2252,,8,111.98,,7,118.14,,8,184.85,,7,155.97
QF_BV/sage/app1/bench_2257,,9,138.9,,7,107.58,,8,157.6,,8,204.33
QF_BV/sage/app1/bench_2258,,8,143.09,,8,151.98,,8,207.99,,8,208.54
QF_BV/sage/app1/bench_2262,,9,127.81,,8,126.13,,8,155.4,,8,160.85
QF_BV/sage/app1/bench_2263,,9,125.64,,7,104.25,,8,156.86,,8,171.35
QF_BV/sage/app1/bench_2266,,9,136.08,,8,130.7,,8,176.43,,8,164.5
QF_BV/sage/app1/bench_2270,,8,113.32,,8,113.5,,8,151.85,,8,188.3
QF_BV/sage/app1/bench_2293,,8,134.92,,8,146.53,,8,175.97,,7,155.32
QF_BV/sage/app1/bench_2322,,7,181.37,,6,211.93,,7,297.63,,7,309.62
QF_BV/sage/app1/bench_2330,,9,157.61,,8,146.89,,8,177.72,,9,207.29
QF_BV/sage/app1/bench_2365,,8,90.32,,8,93.77,,8,135.65,,8,155.47
QF_BV/sage/app1/bench_2367,,8,168.61,,7,216.33,,7,266.53,,7,347.23
QF_BV/sage/app1/bench_2370,,9,106.24,,8,106.1,,8,128.77,,8,135.17
QF_BV/sage/app1/bench_2371,,9,128.33,,8,123.14,,8,167.01,,8,166.36
QF_BV/sage/app1/bench_2375,,9,187.28,,8,107.38,,8,126.35,,8,135.38
QF_BV/sage/app1/bench_2376,,9,110.4,,8,100.34,,8,137.89,,8,134.57
QF_BV/sage/app1/bench_2380,,9,111.01,,9,113.71,,8,126.3,,8,160.7
QF_BV/sage/app1/bench_2383,,9,113.31,,9,112.33,,8,127.61,,8,141.93
QF_BV/sage/app1/bench_2405,,9,116.25,,8,108.53,,9,159.17,,8,142.88
QF_BV/sage/app1/bench_2428,,8,110.33,,9,113.03,,9,162.63,,9,195.31
QF_BV/sage/app1/bench_2461,,9,93.75,,8,98.86,,8,109.73,,8,132.77
QF_BV/sage/app1/bench_2465,,8,92.54,,8,93.55,,8,123.51,,8,120.09
QF_BV/sage/app1/bench_2466,,9,95.18,,8,88.13,,8,116.34,,8,126.89
QF_BV/sage/app1/bench_2468,,9,99.35,,8,107.48,,8,126.5,,8,131.56
QF_BV/sage/app1/bench_2472,,9,97.77,,8,94.23,,8,113.66,,9,151.3
QF_BV/sage/app1/bench_2473,,9,94.09,,8,93.73,,8,116.93,,8,115.7
QF_BV/sage/app1/bench_2474,,10,101.18,,8,82.02,,9,134.38,,8,123.3
QF_BV/sage/app1/bench_2477,,10,158.73,,9,107.68,,8,119.43,,9,144.09
QF_BV/sage/app1/bench_2481,,9,88.93,,8,84.91,,9,124.6,,8,127.7
QF_BV/sage/app1/bench_2525,,9,92.08,,8,95.47,,8,122.08,,8,147.44
QF_BV/sage/app1/bench_2529,,8,79.47,,8,82.92,,8,110.25,,8,126.46
QF_BV/sage/app1/bench_2547,,8,84.87,,8,97.55,,9,128.9,,9,135.65
QF_BV/sage/app1/bench_2582,,9,90.11,,8,100.24,,9,110.33,,8,114.66
QF_BV/sage/app1/bench_2586,,9,90.28,,8,78.16,,9,111.14,,8,124.07
QF_BV/sage/app1/bench_2587,,10,98.18,,9,86.97,,8,112.51,,8,119.54
QF_BV/sage/app1/bench_2588,,10,112.38,,8,89.3,,8,109.85,,8,111.52
QF_BV/sage/app1/bench_2593,,9,150.9,,9,81.78,,9,114.85,,8,105.4
QF_BV/sage/app1/bench_2594,,10,98.74,,9,104.3,,8,101.09,,8,125.44
QF_BV/sage/app1/bench_2595,,10,108.45,,9,98.3,,8,112.14,,8,125.99
QF_BV/sage/app1/bench_2598,,9,86.1,,9,98.26,,9,115.76,,9,129.82
QF_BV/sage/app1/bench_2602,,9,88.8,,8,84.09,,8,106.92,,8,110.49
QF_BV/sage/app1/bench_2634,,10,99.95,,9,106.07,,9,145.61,,8,129.51
QF_BV/sage/app1/bench_2644,,8,192.95,,7,196.55,,7,275.18,,7,284.77
QF_BV/sage/app1/bench_2660,,9,92.18,,9,101.78,,10,124.46,,8,111.12
QF_BV/sage/app1/bench_268,,10,91.88,,9,84.5,,10,117.68,,9,106.57
QF_BV/sage/app1/bench_29,,10,150.14,,9,111.14,,8,128.96,,9,148.97
QF_BV/sage/app1/bench_310,,11,113.24,,10,101.93,,10,133.35,,10,142.06
QF_BV/sage/app1/bench_313,,10,116.95,,9,91.98,,9,109.8,,10,146.81
QF_BV/sage/app1/bench_32,,10,99.32,,9,104.45,,9,141.51,,9,145.91
QF_BV/sage/app1/bench_329,,12,113.1,,14,126.93,,11,131.78,,12,164.66
QF_BV/sage/app1/bench_333,,13,118.2,,12,104.29,,13,145.44,,12,158.71
QF_BV/sage/app1/bench_334,,12,136.86,,13,126.11,,11,132.68,,11,142.3
QF_BV/sage/app1/bench_335,,14,111.47,,12,119.77,,12,132.78,,12,151.54
QF_BV/sage/app1/bench_338,,11,106.38,,9,92,,9,117.72,,9,136.02
QF_BV/sage/app1/bench_342,,13,107.03,,10,105.84,,12,135.45,,12,156.75
QF_BV/sage/app1/bench_343,,12,193.36,,13,117.82,,12,144.78,,12,147.76
QF_BV/sage/app1/bench_344,,13,113.7,,11,110.28,,12,142.58,,12,149.87
QF_BV/sage/app1/bench_345,,11,101.67,,9,93.07,,9,116.03,,9,123.97
QF_BV/sage/app1/bench_349,,10,101.16,,9,95.98,,9,113.64,,9,127.29
QF_BV/sage/app1/bench_352,,14,115.44,,14,117.58,,11,140.44,,12,152.06
QF_BV/sage/app1/bench_356,,11,102.14,,11,98.08,,11,125.29,,11,137.61
QF_BV/sage/app1/bench_37,,8,176.71,,7,182.64,,7,273.39,,7,284.23
QF_BV/sage/app1/bench_372,,13,172.25,,11,99.38,,13,148.57,,12,142.72
QF_BV/sage/app1/bench_4,,7,247.88,,7,194.81,,7,268.55,,7,291.15
QF_BV/sage/app1/bench_407,,13,130.12,,12,114.9,,12,127.91,,11,126.9
QF_BV/sage/app1/bench_411,,13,122.11,,12,110.28,,11,124.4,,12,150.7
QF_BV/sage/app1/bench_412,,13,167.55,,12,110.76,,12,136.94,,11,143.04
QF_BV/sage/app1/bench_413,,13,107.13,,12,104.38,,12,137.73,,11,122.58
QF_BV/sage/app1/bench_415,,13,117.71,,11,110.92,,13,134.8,,12,138.49
QF_BV/sage/app1/bench_419,,12,167.5,,11,102.67,,11,118.8,,11,127.05
QF_BV/sage/app1/bench_420,,11,98.95,,11,97.84,,11,120.98,,11,128.25
QF_BV/sage/app1/bench_421,,13,142.39,,11,100.43,,12,135.45,,11,130.4
QF_BV/sage/app1/bench_422,,12,100.87,,11,107.24,,10,111.95,,11,136.55
QF_BV/sage/app1/bench_426,,10,79.95,,8,75.37,,9,106.74,,10,117.48
QF_BV/sage/app1/bench_429,,12,97.59,,12,92.87,,11,127.25,,12,129.24
QF_BV/sage/app1/bench_443,,12,97.02,,12,111.73,,11,137.76,,11,148.07
QF_BV/sage/app1/bench_47,,10,102.54,,9,96.75,,8,117.08,,9,134.85
QF_BV/sage/app1/bench_52,,9,86.46,,9,107.56,,9,133.96,,9,122.54
QF_BV/sage/app1/bench_53,,9,174.35,,9,98.72,,9,115.39,,9,128.44
QF_BV/sage/app1/bench_54,,8,79.21,,9,104.29,,9,126.36,,9,132.89
QF_BV/sage/app1/bench_55,,9,91.7,,9,99.95,,10,143.65,,9,143.2
QF_BV/sage/app1/bench_552,,15,128.09,,12,116.04,,13,140.41,,12,130.71
QF_BV/sage/app1/bench_556,,13,117.18,,12,102.91,,12,128.7,,12,132.15
QF_BV/sage/app1/bench_562,,12,93.47,,11,88.29,,12,128.99,,11,116.12
QF_BV/sage/app1/bench_564,,12,161.39,,10,87.27,,11,108.69,,10,115.44
QF_BV/sage/app1/bench_567,,11,83.77,,11,97.97,,12,124.86,,11,123.31
QF_BV/sage/app1/bench_571,,11,76.14,,11,102.95,,10,106.33,,10,124.57
QF_BV/sage/app1/bench_60,,9,96.83,,9,94.64,,9,132.6,,9,135.76
