Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,38,308.9,,37,447.84,,37,675.89,,37,933.08
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,21,754.6,,20,1711.06,,19,1838.14,,19,3161.01
QF_BV/RWS/Example_13.txt,,27,103.78,,26,163.75,,24,263.45,,23,378.29
QF_BV/RWS/Example_16.txt,,34,220.1,,34,295.49,,34,444.52,,31,570.71
QF_BV/RWS/Example_17.txt,,24,127.25,,22,218.19,,22,332.39,,21,385.89
QF_BV/RWS/Example_3.txt,,33,157.08,,31,131.22,,31,198.37,,28,223.47
QF_BV/RWS/Example_8.txt,,13,42.18,,12,38.09,,12,55.86,,11,68.93
QF_BV/RWS/Example_9.txt,,17,226.65,,16,343.5,,16,507.39,,16,647.06
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,20,1626.98,,7,544.21,,12,904.82,,16,1187.83
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,--,--,,8,1057.22,,12,1509.58,,12,1618.65
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,--,--,,6,326.65,,9,535.84,,9,568.52
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,--,--,,7,682.87,,8,829.65,,11,1076.1
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,--,--,,12,569.47,,16,835.72,,9,519.5
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,--,--,,7,663,,14,1242.85,,15,1311.88
QF_BV/sage/app1/bench_1126,,5,143.84,,5,142.71,,5,185.62,,5,229.54
QF_BV/sage/app1/bench_134,,6,111.87,,6,73.27,,6,90.64,,6,100.29
QF_BV/sage/app1/bench_1448,,5,125.39,,5,135.35,,5,202.41,,5,253.59
QF_BV/sage/app1/bench_1459,,5,156.4,,5,144.11,,5,189.2,,5,226.37
QF_BV/sage/app1/bench_1470,,5,133.64,,5,131.19,,5,181.38,,5,218.82
QF_BV/sage/app1/bench_1481,,5,117.18,,5,135.15,,5,190.62,,5,180.86
QF_BV/sage/app1/bench_1492,,5,111.79,,5,145.2,,5,183.03,,5,197.24
QF_BV/sage/app1/bench_1525,,5,129.5,,5,153.48,,5,179.31,,5,232.03
QF_BV/sage/app1/bench_1559,,5,127.43,,5,144.51,,5,194.03,,5,190.02
QF_BV/sage/app1/bench_169,,5,53.76,,6,59.54,,5,69.42,,6,89.81
QF_BV/sage/app1/bench_174,,6,65.74,,5,53.29,,6,78.98,,6,93.1
QF_BV/sage/app1/bench_175,,6,89.55,,5,55.68,,5,72.88,,6,74.3
QF_BV/sage/app1/bench_176,,6,58.81,,5,51.66,,6,79.35,,6,77.56
QF_BV/sage/app1/bench_177,,6,72.73,,6,60.61,,6,83.76,,6,90
QF_BV/sage/app1/bench_181,,5,166.68,,5,161.87,,5,236.8,,5,230.13
QF_BV/sage/app1/bench_182,,6,59.38,,6,56.88,,6,84.43,,6,84.64
QF_BV/sage/app1/bench_183,,6,62.95,,5,62.85,,5,66.74,,5,73.21
QF_BV/sage/app1/bench_184,,6,62.9,,5,58.75,,5,64.28,,5,68.98
QF_BV/sage/app1/bench_185,,6,58.73,,6,59.66,,6,77.95,,6,78.29
QF_BV/sage/app1/bench_1873,,5,178.8,,5,142.12,,5,198.66,,5,212.77
QF_BV/sage/app1/bench_1877,,5,117.87,,5,128.14,,5,190.01,,5,214.77
QF_BV/sage/app1/bench_188,,6,80.97,,5,51.96,,6,87.77,,6,93.75
QF_BV/sage/app1/bench_191,,6,63.89,,5,54.59,,5,60.89,,5,67.25
QF_BV/sage/app1/bench_1913,,5,126.28,,5,163.59,,5,219.18,,5,232.58
QF_BV/sage/app1/bench_1914,,5,129.69,,5,149.63,,5,177.94,,5,201.87
QF_BV/sage/app1/bench_1915,,5,122.48,,5,133.88,,5,195.4,,5,204.65
QF_BV/sage/app1/bench_1916,,5,128.57,,5,136.81,,5,169.51,,5,192.94
QF_BV/sage/app1/bench_1917,,5,110.12,,5,133.84,,5,169.25,,5,195.76
QF_BV/sage/app1/bench_1920,,5,191.83,,5,127.25,,5,175.93,,5,182.36
