Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,38,101.92,,--,--,,--,--,,--,--
QF_BV/RWS/Example_14.txt,,45,175.95,,38,186.05,,59,206.38,,42,128.92
QF_BV/RWS/Example_2.txt,,18,47.77,,--,--,,--,--,,--,--
QF_BV/RWS/Example_4.txt,,12,44.02,,13,35.71,,16,42.53,,13,38.77
QF_BV/RWS/Example_5.txt,,9,31.83,,9,25.99,,11,23.68,,9,19.08
QF_BV/RWS/Example_6.txt,,7,10.6,,7,10.36,,7,9.76,,7,11.66
QF_BV/bench_ab/a168test0018,,2,0.05,,28,0.52,,2,0.03,,2,0.04
QF_BV/bench_ab/a403test0043,,3,0.06,,153,2.71,,4,0.05,,5,0.1
QF_BV/bench_ab/a423test0008,,46,0.31,,14,0.16,,2,0.03,,28,0.2
QF_BV/bench_ab/a481test0001,,5,0.32,,--,--,,--,--,,--,--
QF_BV/bench_ab/a493test0006,,5,0.35,,--,--,,--,--,,--,--
QF_BV/bench_ab/a503test0089,,2,0.08,,4,0.11,,2,0.04,,3,0.12
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.05,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,21,0.33,,221,4.94,,45,0.48,,35,0.53
QF_BV/bench_ab/a651test0090,,41,0.52,,39,0.7,,54,0.41,,17,0.23
QF_BV/bench_ab/a655test0003,,16,0.19,,39,0.73,,96,0.85,,25,0.24
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.02,,1,0.03,,1,0.03
QF_BV/bench_ab/a659test0071,,40,0.43,,39,0.58,,8,0.08,,34,0.39
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.05,,1,0.02,,1,0.04
QF_BV/bmc-bv/adpcm,,1,0.02,,--,--,,1,0.02,,1,0.03
QF_BV/bmc-bv/ex19,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,5,10.27,,--,--,,--,--,,--,--
QF_BV/bmc-bv/graycode,,3,4.74,,3,1.71,,3,4.36,,3,4.9
QF_BV/bmc-bv/inf1,,4,0.32,,--,--,,3,0.23,,3,0.24
QF_BV/bmc-bv/magic,,3,12.08,,3,7.42,,3,11.58,,3,10.05
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,3,0.93,,3,7.39,,3,9.21
QF_BV/bmc-bv/queens,,3,7.21,,3,4.73,,3,7.63,,3,7.64
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.37,,1,2.32,,1,2.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.31,,1,0.37,,1,0.47
