Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,9,27.21,,8,25.16,,9,17.44,,8,17.33
QF_BV/RWS/Example_14.txt,,9,43.42,,9,36.89,,10,37.2,,9,33.74
QF_BV/RWS/Example_2.txt,,7,20.25,,8,21.74,,8,20.81,,8,17.55
QF_BV/RWS/Example_4.txt,,6,24.89,,7,21.49,,7,19.15,,6,19.2
QF_BV/RWS/Example_5.txt,,5,19.76,,5,17.11,,5,12.34,,5,12.29
QF_BV/RWS/Example_6.txt,,5,8.02,,4,6.73,,5,7.23,,5,8.78
QF_BV/bench_ab/a168test0018,,1,0.04,,1,0.15,,1,0.03,,1,0.04
QF_BV/bench_ab/a403test0043,,3,0.06,,24,0.39,,2,0.04,,3,0.07
QF_BV/bench_ab/a423test0008,,2,0.02,,2,0.04,,2,0.03,,2,0.04
QF_BV/bench_ab/a481test0001,,4,0.26,,--,--,,4,0.21,,--,--
QF_BV/bench_ab/a493test0006,,4,0.28,,5,0.28,,4,0.36,,4,0.43
QF_BV/bench_ab/a503test0089,,1,0.06,,1,0.06,,1,0.03,,1,0.07
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.05,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,21,0.33,,221,4.94,,45,0.48,,35,0.53
QF_BV/bench_ab/a651test0090,,13,0.22,,24,0.43,,11,0.09,,13,0.19
QF_BV/bench_ab/a655test0003,,16,0.19,,39,0.73,,96,0.85,,25,0.24
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.02,,1,0.03,,1,0.03
QF_BV/bench_ab/a659test0071,,40,0.43,,39,0.58,,8,0.08,,34,0.39
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.05,,1,0.02,,1,0.04
QF_BV/bmc-bv/adpcm,,1,0.02,,--,--,,1,0.02,,1,0.03
QF_BV/bmc-bv/ex19,,5,68.99,,134,1069.82,,12,177.37,,4,68.56
QF_BV/bmc-bv/fermat,,4,8.37,,--,--,,--,--,,--,--
QF_BV/bmc-bv/graycode,,1,1.85,,1,0.66,,1,1.57,,1,1.91
QF_BV/bmc-bv/inf1,,3,0.25,,674,52.66,,3,0.23,,2,0.18
QF_BV/bmc-bv/magic,,1,5.63,,1,4.57,,1,5.26,,1,4.25
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,3,0.93,,3,7.39,,3,9.21
QF_BV/bmc-bv/queens,,1,2.99,,1,2.21,,1,3.18,,1,3.21
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.37,,1,2.32,,1,2.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.31,,1,0.37,,1,0.47
QF_BV/bmc-bv/sudoku,,1,38.66,,1,26.65,,1,26.5,,1,19.78
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,3,3.39,,3,4.22,,4,1.51,,2,1.19
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,3,6.47,,3,4.65,,3,1.74,,3,1.33
QF_BV/brummayerbiere2/smulov4bw0032,,3,2.13,,7,0.76,,2,1.53,,3,2.78
QF_BV/brummayerbiere2/smulov4bw0064,,3,9.8,,--,--,,3,7.85,,3,8.12
QF_BV/brummayerbiere2/smulov4bw0128,,3,73.36,,--,--,,3,62.97,,3,59.18
QF_BV/brummayerbiere2/smulov4bw0256,,3,917.66,,--,--,,3,889.57,,3,927.05
QF_BV/gulwani-pldi08/fig1d.phx,,5,100.69,,9,78.73,,7,111.84,,6,79.47
QF_BV/gulwani-pldi08/fig5.phx,,5,56.76,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/fig6.phx,,6,16.57,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/merge.phx,,2,20.54,,2,6.04,,2,22.78,,2,20.4
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,4,38.11,,7,22.41,,5,35.47,,4,25.5
QF_BV/sage/app1/bench_1141,,3,5.06,,9,11.24,,3,4.26,,3,3.97
QF_BV/sage/app1/bench_1288,,2,4.09,,3,2.16,,3,4.74,,3,4.48
QF_BV/sage/app1/bench_1339,,2,1.89,,2,1.22,,2,2.12,,2,1.9
QF_BV/sage/app1/bench_1346,,3,3.41,,3,1.87,,3,3.37,,3,2.66
QF_BV/sage/app1/bench_1710,,4,0.14,,--,--,,4,0.09,,5,0.16
QF_BV/sage/app1/bench_1742,,2,0.13,,621,49.15,,3,0.1,,3,0.16
QF_BV/sage/app1/bench_1768,,2,0.11,,712,55.64,,2,0.08,,3,0.09
QF_BV/sage/app12/bench_1183,,3,16.97,,3,10.35,,3,11.95,,3,9.71
QF_BV/sage/app12/bench_1353,,4,2.35,,--,--,,3,0.3,,2,0.75
QF_BV/sage/app12/bench_2211,,2,0.71,,2,0.27,,2,0.64,,2,0.91
QF_BV/sage/app12/bench_2353,,16,69.52,,--,--,,5,2.5,,2,2.48
QF_BV/sage/app12/bench_363,,2,0.2,,2,0.24,,2,0.13,,2,0.22
QF_BV/sage/app12/bench_3921,,--,--,,755,72.52,,17,0.22,,--,--
QF_BV/sage/app12/bench_4066,,1,0.03,,1,0.03,,1,0.01,,1,0.17
