Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app2/bench_458,,3,0.12,,384,28.45,,4,0.09,,3,0.12
QF_BV/sage/app2/bench_48,,7,3.31,,--,--,,7,0.74,,6,1.44
QF_BV/sage/app2/bench_642,,3,4.84,,--,--,,3,1.88,,4,3.07
QF_BV/sage/app2/bench_645,,2,1.15,,2,0.54,,2,1.07,,2,1.19
QF_BV/sage/app2/bench_664,,4,5.28,,--,--,,4,3.93,,4,3.35
QF_BV/sage/app2/bench_719,,4,6.76,,32,28.66,,4,3.37,,3,2.28
QF_BV/sage/app2/bench_830,,5,6.12,,--,--,,4,2.11,,5,2.92
QF_BV/sage/app2/bench_863,,3,5.01,,18,23.53,,3,2.93,,3,3.92
QF_BV/sage/app5/bench_1163,,3,0.73,,393,95.59,,3,0.55,,3,0.69
QF_BV/sage/app5/bench_1169,,1,0.04,,1,0.05,,1,0.02,,1,0.03
QF_BV/sage/app5/bench_1170,,3,0.74,,--,--,,3,0.61,,3,0.58
QF_BV/sage/app5/bench_1182,,3,7.45,,523,355.03,,3,6.14,,3,6.12
QF_BV/sage/app5/bench_1262,,2,0.15,,557,50.89,,3,0.2,,2,0.16
QF_BV/sage/app5/bench_1298,,1,0.08,,1,0.04,,1,0.01,,1,0.02
QF_BV/sage/app5/bench_349,,2,6.13,,93,118.57,,3,8.39,,2,5.97
QF_BV/sage/app5/bench_357,,2,6.89,,91,120.36,,2,5.37,,2,5.03
QF_BV/sage/app5/bench_42,,2,3.61,,4,1.42,,2,2.66,,2,3.07
QF_BV/sage/app5/bench_555,,1,0.03,,1,0.1,,1,0.02,,1,0.02
QF_BV/sage/app5/bench_565,,1,0.03,,1,0.05,,1,0.02,,1,0.03
QF_BV/sage/app5/bench_575,,3,0.13,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_597,,1,0.05,,1,0.04,,1,0.01,,1,0.03
QF_BV/sage/app5/bench_742,,1,0.17,,1,0.15,,1,0.15,,1,0.2
QF_BV/sage/app5/bench_794,,2,0.05,,--,--,,3,0.05,,2,0.07
QF_BV/sage/app5/bench_959,,2,0.4,,6,0.94,,2,0.37,,2,0.45
QF_BV/sage/app5/bench_960,,5,0.12,,--,--,,3,0.06,,77,1.62
QF_BV/sage/app8/bench_1892,,2,0.62,,3,0.45,,2,0.52,,2,0.47
QF_BV/sage/app8/bench_2006,,2,0.53,,3,0.43,,2,0.51,,2,0.5
QF_BV/sage/app8/bench_23,,2,1.7,,2,0.79,,2,1.56,,2,1.74
QF_BV/sage/app8/bench_2310,,2,0.31,,26,1.61,,3,0.3,,2,0.3
QF_BV/sage/app8/bench_2880,,3,1.21,,4,0.69,,3,1.21,,2,0.72
QF_BV/sage/app8/bench_3177,,2,1.21,,3,1.16,,2,1.05,,2,0.99
QF_BV/sage/app8/bench_3314,,2,0.95,,3,0.62,,2,0.78,,2,0.92
QF_BV/sage/app8/bench_3368,,2,0.94,,2,0.36,,2,1.02,,2,1.19
QF_BV/sage/app8/bench_3424,,2,0.58,,5,0.73,,2,0.64,,2,0.57
QF_BV/sage/app8/bench_3448,,1,0.15,,1,0.09,,1,0.12,,1,0.16
QF_BV/sage/app8/bench_3677,,2,0.16,,127,5.64,,2,0.17,,3,0.25
QF_BV/sage/app8/bench_3814,,2,0.62,,2,0.37,,2,0.63,,2,0.67
QF_BV/sage/app8/bench_3836,,2,0.07,,4,0.11,,2,0.03,,2,0.05
QF_BV/sage/app8/bench_400,,2,12.65,,2,7.72,,2,9.11,,2,7.25
QF_BV/sage/app8/bench_443,,2,11.49,,2,7.88,,2,8.56,,2,6.31
QF_BV/sage/app8/bench_498,,2,10.78,,2,6.3,,2,10.2,,2,7.76
QF_BV/sage/app8/bench_525,,3,0.23,,--,--,,3,0.23,,3,0.27
QF_BV/sage/app8/bench_828,,2,8.68,,2,5.13,,2,5.17,,2,4.91
QF_BV/sage/app9/bench_1203,,2,0.69,,3,0.48,,2,0.6,,2,0.77
QF_BV/sage/app9/bench_1269,,2,0.44,,4,0.41,,2,0.37,,2,0.48
QF_BV/sage/app9/bench_1323,,2,0.36,,3,0.28,,2,0.3,,2,0.42
QF_BV/sage/app9/bench_1384,,2,1.97,,3,1.25,,3,2.57,,3,2.53
QF_BV/sage/app9/bench_1400,,3,3.05,,3,0.8,,3,2.47,,3,2.91
QF_BV/sage/app9/bench_1552,,3,1.63,,4,0.7,,3,1.29,,3,1.49
QF_BV/sage/app9/bench_1659,,3,1.83,,4,1.13,,3,1.38,,2,1.19
QF_BV/sage/app9/bench_2061,,3,0.1,,--,--,,3,0.09,,3,0.12
QF_BV/sage/app9/bench_2127,,1,0.03,,1,0.07,,1,0.02,,1,0.03
QF_BV/sage/app9/bench_2358,,2,0.05,,759,37.73,,2,0.02,,2,0.03
QF_BV/sage/app9/bench_2518,,2,0.41,,2,0.2,,2,0.43,,2,0.45
QF_BV/sage/app9/bench_2940,,2,0.88,,3,0.69,,3,1.12,,2,0.73
QF_BV/sage/app9/bench_3134,,2,12.23,,2,8.15,,2,10.48,,2,10.12
QF_BV/sage/app9/bench_3261,,2,0.07,,126,4.16,,2,0.04,,2,0.06
QF_BV/sage/app9/bench_3270,,1,0.03,,1,0.04,,1,0.02,,1,0.03
QF_BV/sage/app9/bench_3278,,2,12.47,,2,8.73,,2,7.91,,2,6.7
QF_BV/sage/app9/bench_866,,1,0.04,,1,0.03,,1,0.02,,1,0.05
QF_BV/sage/app9/bench_885,,3,3.48,,4,2.42,,3,3.79,,3,3.62
QF_BV/sage/app9/bench_919,,2,0.13,,646,56.82,,2,0.11,,2,0.09
QF_BV/sage/app9/bench_979,,2,0.12,,3,0.14,,2,0.1,,2,0.17
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,2,10.1,,3,1.54,,2,9.98,,2,10.24
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,2,11.66,,3,1.67,,3,15.17,,2,7.94
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,2,12.23,,3,1.76,,2,11.89,,2,8.02
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,3,58.05,,5,26.79,,3,58.69,,4,36.52
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,3,68.23,,5,27.2,,3,57.11,,4,47.4
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,3,54.67,,4,23.76,,3,56.71,,3,39.73
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,3,54.16,,5,24.84,,3,50.79,,4,41.82
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,4,64.0,,5,24.91,,3,56.6,,4,44.56
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,3,59.36,,5,24.99,,3,55.01,,4,41.84
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,2,1.18,,3,1.15,,3,0.97,,3,1.23
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,2,1.04,,2,0.99,,3,1.02,,3,0.96
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,3,1.85,,3,1.74,,3,1.15,,3,1.48
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,3,1.98,,3,1.53,,3,1.69,,3,1.59
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,1,2.93,,1,3.29,,1,1.01,,1,2.02
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,3,1.85,,--,--,,3,0.83,,3,1.33
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,2,2.43,,--,--,,3,0.85,,3,1.77
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,3,1.06,,154,44.12,,3,0.35,,3,0.74
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,3,1.05,,--,--,,3,0.44,,3,0.83
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,3,2.01,,--,--,,3,0.64,,3,1.13
