Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,3,11.92,,3,11.41,,3,7.13,,3,8.24
QF_BV/RWS/Example_14.txt,,3,19.47,,3,14.16,,3,14.71,,3,15.49
QF_BV/RWS/Example_2.txt,,3,10.57,,3,10.13,,3,9.16,,3,7.72
QF_BV/RWS/Example_4.txt,,2,9.5,,2,7.22,,2,6.65,,2,7.98
QF_BV/RWS/Example_5.txt,,2,10.21,,2,7.59,,2,5.77,,2,5.61
QF_BV/RWS/Example_6.txt,,2,3.91,,2,3.86,,2,3.34,,2,4.17
QF_BV/bench_ab/a168test0018,,1,0.04,,1,0.15,,1,0.03,,1,0.04
QF_BV/bench_ab/a403test0043,,1,0.04,,1,0.06,,1,0.03,,1,0.04
QF_BV/bench_ab/a423test0008,,1,0.02,,1,0.04,,1,0.02,,1,0.04
QF_BV/bench_ab/a481test0001,,2,0.14,,--,--,,2,0.12,,2,0.16
QF_BV/bench_ab/a493test0006,,2,0.16,,5,0.28,,3,0.27,,2,0.23
QF_BV/bench_ab/a503test0089,,1,0.06,,1,0.06,,1,0.03,,1,0.07
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.05,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,5,0.12,,33,0.67,,5,0.06,,6,0.09
QF_BV/bench_ab/a651test0090,,1,0.07,,1,0.05,,1,0.03,,1,0.04
QF_BV/bench_ab/a655test0003,,1,0.04,,1,0.05,,1,0.02,,1,0.04
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.02,,1,0.03,,1,0.03
QF_BV/bench_ab/a659test0071,,1,0.05,,1,0.04,,1,0.03,,1,0.06
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.05,,1,0.02,,1,0.04
QF_BV/bmc-bv/adpcm,,1,0.02,,--,--,,1,0.02,,1,0.03
QF_BV/bmc-bv/ex19,,2,31.08,,17,176.34,,3,42.99,,2,40.25
QF_BV/bmc-bv/fermat,,3,6.15,,3,0.51,,3,6.18,,3,8.87
QF_BV/bmc-bv/graycode,,1,1.85,,1,0.66,,1,1.57,,1,1.91
