Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,22,60.93,,20,59.82,,--,--,,--,--
QF_BV/RWS/Example_14.txt,,22,89.66,,20,83.49,,25,83.81,,21,68.25
QF_BV/RWS/Example_2.txt,,12,32.75,,14,33.06,,15,35.43,,14,28.65
QF_BV/RWS/Example_4.txt,,9,35.1,,11,30.96,,13,34.87,,10,30.14
QF_BV/RWS/Example_5.txt,,7,25.24,,7,21.79,,8,17.82,,7,15.75
QF_BV/RWS/Example_6.txt,,6,9.31,,6,9.22,,7,9.76,,7,11.66
QF_BV/bench_ab/a168test0018,,2,0.05,,6,0.24,,2,0.03,,2,0.04
QF_BV/bench_ab/a403test0043,,3,0.06,,153,2.71,,3,0.04,,4,0.09
QF_BV/bench_ab/a423test0008,,3,0.03,,7,0.09,,2,0.03,,18,0.13
QF_BV/bench_ab/a481test0001,,4,0.26,,--,--,,--,--,,--,--
QF_BV/bench_ab/a493test0006,,5,0.35,,--,--,,--,--,,--,--
QF_BV/bench_ab/a503test0089,,2,0.08,,2,0.08,,2,0.04,,2,0.1
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.05,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,21,0.33,,221,4.94,,45,0.48,,35,0.53
QF_BV/bench_ab/a651test0090,,41,0.52,,39,0.7,,54,0.41,,17,0.23
QF_BV/bench_ab/a655test0003,,16,0.19,,39,0.73,,96,0.85,,25,0.24
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.02,,1,0.03,,1,0.03
QF_BV/bench_ab/a659test0071,,40,0.43,,39,0.58,,8,0.08,,34,0.39
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.05,,1,0.02,,1,0.04
QF_BV/bmc-bv/adpcm,,1,0.02,,--,--,,1,0.02,,1,0.03
QF_BV/bmc-bv/ex19,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,5,10.27,,--,--,,--,--,,--,--
QF_BV/bmc-bv/graycode,,2,3.28,,2,1.24,,2,2.98,,2,3.46
QF_BV/bmc-bv/inf1,,3,0.25,,732,61.2,,3,0.23,,3,0.24
QF_BV/bmc-bv/magic,,2,9.05,,2,6.02,,2,8.84,,2,7.19
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,3,0.93,,3,7.39,,3,9.21
QF_BV/bmc-bv/queens,,2,5.24,,2,3.61,,2,5.65,,2,5.69
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.37,,1,2.32,,1,2.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.31,,1,0.37,,1,0.47
QF_BV/bmc-bv/sudoku,,1,38.66,,1,26.65,,1,26.5,,1,19.78
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,3.98,,5,6.04,,6,2.13,,3,1.47
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,7.71,,4,5.41,,5,2.57,,4,1.58
QF_BV/brummayerbiere2/smulov4bw0032,,3,2.13,,--,--,,3,2.33,,3,2.78
QF_BV/brummayerbiere2/smulov4bw0064,,4,14.83,,--,--,,4,12.98,,3,8.12
QF_BV/brummayerbiere2/smulov4bw0128,,4,85.86,,--,--,,4,75.06,,4,69.11
QF_BV/brummayerbiere2/smulov4bw0256,,4,1033.46,,--,--,,4,1008.8,,4,1092.55
QF_BV/gulwani-pldi08/fig1d.phx,,9,159.34,,16,115.64,,14,191.66,,9,108.0
QF_BV/gulwani-pldi08/fig5.phx,,7,70.97,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/fig6.phx,,11,29.34,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/merge.phx,,2,20.54,,2,6.04,,2,22.78,,2,20.4
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,6,49.19,,13,28.53,,7,45.04,,6,34.31
QF_BV/sage/app1/bench_1141,,4,6.64,,135,159.0,,4,5.55,,4,5.04
QF_BV/sage/app1/bench_1288,,3,5.74,,4,2.71,,4,5.9,,4,5.59
QF_BV/sage/app1/bench_1339,,3,2.68,,3,1.64,,4,4.04,,3,2.77
QF_BV/sage/app1/bench_1346,,4,4.14,,5,2.71,,4,4.32,,5,4.15
QF_BV/sage/app1/bench_1710,,4,0.14,,--,--,,6,0.12,,5,0.16
QF_BV/sage/app1/bench_1742,,3,0.15,,622,49.32,,3,0.1,,4,0.2
QF_BV/sage/app1/bench_1768,,3,0.13,,--,--,,3,0.11,,3,0.09
QF_BV/sage/app12/bench_1183,,5,25.74,,6,17.17,,5,17.89,,6,16.1
QF_BV/sage/app12/bench_1353,,9,4.68,,--,--,,10,0.87,,2,0.75
QF_BV/sage/app12/bench_2211,,2,0.71,,4,0.47,,2,0.64,,2,0.91
QF_BV/sage/app12/bench_2353,,46,178.84,,--,--,,17,7.57,,2,2.48
QF_BV/sage/app12/bench_363,,2,0.2,,14,1.03,,2,0.13,,2,0.22
QF_BV/sage/app12/bench_3921,,--,--,,--,--,,19,0.24,,--,--
QF_BV/sage/app12/bench_4066,,1,0.03,,1,0.03,,1,0.01,,1,0.17
QF_BV/sage/app12/bench_4177,,2,0.05,,--,--,,2,0.03,,2,0.06
QF_BV/sage/app12/bench_446,,3,0.16,,--,--,,--,--,,--,--
QF_BV/sage/app12/bench_5599,,3,0.19,,--,--,,2,0.1,,2,0.16
QF_BV/sage/app12/bench_797,,1,0.07,,1,0.04,,1,0.01,,1,0.04
QF_BV/sage/app12/bench_953,,3,0.12,,58,1.41,,2,0.05,,2,0.08
QF_BV/sage/app12/bench_971,,1,0.02,,1,0.02,,1,0.01,,1,0.04
QF_BV/sage/app2/bench_1196,,5,8.87,,--,--,,5,6.06,,5,5.82
QF_BV/sage/app2/bench_1387,,16,194.72,,--,--,,17,77.46,,17,69.11
QF_BV/sage/app2/bench_225,,6,10.49,,--,--,,6,6.04,,7,6.97
QF_BV/sage/app2/bench_278,,3,6.42,,--,--,,3,6.44,,4,7.4
QF_BV/sage/app2/bench_282,,3,6.9,,324,143.47,,3,6.45,,3,7.78
QF_BV/sage/app2/bench_458,,5,0.16,,--,--,,--,--,,--,--
QF_BV/sage/app2/bench_48,,29,11.27,,--,--,,225,47.15,,--,--
QF_BV/sage/app2/bench_642,,10,14.22,,--,--,,14,9.95,,16,12.02
QF_BV/sage/app2/bench_645,,4,2.05,,9,2.05,,7,3.5,,4,2.17
QF_BV/sage/app2/bench_664,,11,13.57,,--,--,,13,12.56,,17,12.51
QF_BV/sage/app2/bench_719,,13,18.98,,--,--,,22,17.12,,16,11.1
QF_BV/sage/app2/bench_830,,13,14.79,,--,--,,27,14.97,,--,--
QF_BV/sage/app2/bench_863,,5,7.77,,--,--,,5,4.9,,5,6.36
QF_BV/sage/app5/bench_1163,,6,1.41,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_1169,,1,0.04,,1,0.05,,1,0.02,,1,0.03
QF_BV/sage/app5/bench_1170,,6,1.23,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_1182,,4,9.69,,--,--,,5,10.3,,4,7.8
QF_BV/sage/app5/bench_1262,,4,0.25,,--,--,,4,0.25,,--,--
QF_BV/sage/app5/bench_1298,,1,0.08,,1,0.04,,1,0.01,,1,0.02
QF_BV/sage/app5/bench_349,,4,11.5,,--,--,,4,10.66,,4,11.26
QF_BV/sage/app5/bench_357,,4,11.9,,--,--,,4,9.62,,4,9.43
QF_BV/sage/app5/bench_42,,5,7.36,,68,18.07,,5,6.11,,4,5.99
QF_BV/sage/app5/bench_555,,1,0.03,,1,0.1,,1,0.02,,1,0.02
QF_BV/sage/app5/bench_565,,1,0.03,,1,0.05,,1,0.02,,1,0.03
QF_BV/sage/app5/bench_575,,4,0.16,,--,--,,--,--,,--,--
QF_BV/sage/app5/bench_597,,1,0.05,,1,0.04,,1,0.01,,1,0.03
QF_BV/sage/app5/bench_742,,2,0.28,,6,0.8,,2,0.21,,2,0.29
