Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,3,67.72,,3,28.8,,3,26.51,,3,64.69
QF_BV/RWS/Example_11.txt,,3,935.22,,3,709.03,,3,768.04,,3,463.43
QF_BV/RWS/Example_12.txt,,2,237.85,,3,162.45,,3,231.63,,3,290.47
QF_BV/RWS/Example_13.txt,,3,41.64,,3,17.04,,3,17.51,,2,23.61
QF_BV/RWS/Example_16.txt,,3,60.64,,3,42.05,,3,37.1,,3,53.55
QF_BV/RWS/Example_17.txt,,3,62.46,,3,22.91,,3,23.32,,3,43.46
QF_BV/RWS/Example_3.txt,,3,31.18,,3,15.06,,3,11.61,,3,26.17
QF_BV/RWS/Example_8.txt,,3,19.58,,3,15.62,,3,5.97,,3,15.86
QF_BV/RWS/Example_9.txt,,3,132.66,,3,55.0,,3,41.56,,3,104.4
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,2,223.7,,3,273.34,,2,52.8,,3,26.89
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,2,364.31,,4,606.71,,3,119.65,,3,37.24
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,2,168.51,,5,356.9,,2,31.15,,2,16.7
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,3,416.53,,5,588.4,,3,76.01,,3,37.55
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,2,179.61,,3,194.68,,3,45.55,,3,28.09
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,2,309.41,,4,520.66,,3,77.23,,2,21.66
QF_BV/sage/app1/bench_1126,,1,47.45,,1,33.21,,1,40.99,,1,31.45
QF_BV/sage/app1/bench_134,,1,21.77,,1,15.71,,1,5.77,,1,8.26
QF_BV/sage/app1/bench_1448,,1,59.32,,1,39.15,,1,64.8,,1,35.1
QF_BV/sage/app1/bench_1459,,1,51.66,,1,27.72,,1,43.32,,1,19.93
QF_BV/sage/app1/bench_1470,,1,49.37,,1,32.87,,1,38.66,,1,25.08
QF_BV/sage/app1/bench_1481,,1,53.8,,1,31.92,,1,23.53,,1,29.18
