Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_2173,,8,281.09,,9,286.89,,9,199.22,,8,113.0
QF_BV/sage/app1/bench_2219,,7,209.41,,11,260.18,,8,173.25,,8,102.54
QF_BV/sage/app1/bench_2252,,8,184.85,,10,124.0,,8,76.67,,8,59.23
QF_BV/sage/app1/bench_2257,,8,157.6,,13,164.62,,8,110.46,,8,57.33
QF_BV/sage/app1/bench_2258,,8,207.99,,11,190.35,,11,169.75,,8,91.46
QF_BV/sage/app1/bench_2262,,8,155.4,,10,142.58,,9,127.37,,9,70.03
QF_BV/sage/app1/bench_2263,,8,156.86,,10,146.32,,11,101.46,,8,61.21
QF_BV/sage/app1/bench_2266,,8,176.43,,13,167.04,,10,121.88,,9,75.75
QF_BV/sage/app1/bench_2270,,8,151.85,,10,113.6,,9,110.58,,8,63.07
QF_BV/sage/app1/bench_2293,,8,175.97,,11,169.76,,9,117.68,,8,84.35
QF_BV/sage/app1/bench_2322,,7,297.63,,14,322.57,,7,181.59,,7,107.73
QF_BV/sage/app1/bench_2330,,8,177.72,,11,172.98,,10,133.12,,9,85.8
QF_BV/sage/app1/bench_2365,,8,135.65,,10,94.94,,9,76.49,,9,52.28
QF_BV/sage/app1/bench_2367,,7,266.53,,14,286.36,,7,199.44,,7,105.1
QF_BV/sage/app1/bench_2370,,8,128.77,,12,111.94,,10,96.65,,8,55.65
QF_BV/sage/app1/bench_2371,,8,167.01,,10,131.79,,9,110.79,,10,63.23
QF_BV/sage/app1/bench_2375,,8,126.35,,12,114.42,,8,80.57,,9,56.0
QF_BV/sage/app1/bench_2376,,8,137.89,,11,118.69,,8,78.4,,8,60.26
QF_BV/sage/app1/bench_2380,,8,126.3,,12,119.09,,11,95.0,,9,71.48
QF_BV/sage/app1/bench_2383,,8,127.61,,9,92.1,,9,78.08,,12,68.77
QF_BV/sage/app1/bench_2405,,9,159.17,,10,116.63,,9,84.66,,8,74.9
QF_BV/sage/app1/bench_2428,,9,162.63,,11,118.07,,11,111.29,,9,49.08
QF_BV/sage/app1/bench_2461,,8,109.73,,12,115.39,,9,61.9,,9,55.1
QF_BV/sage/app1/bench_2465,,8,123.51,,12,113.16,,10,76.58,,9,46.88
QF_BV/sage/app1/bench_2466,,8,116.34,,10,99.82,,9,57.27,,9,42.17
QF_BV/sage/app1/bench_2468,,8,126.5,,12,106.4,,11,89.99,,9,45.36
QF_BV/sage/app1/bench_2472,,8,113.66,,13,137.96,,11,68.73,,9,48.26
QF_BV/sage/app1/bench_2473,,8,116.93,,11,110.8,,11,66.71,,10,53.57
QF_BV/sage/app1/bench_2474,,9,134.38,,12,111.9,,11,87.33,,9,48.64
QF_BV/sage/app1/bench_2477,,8,119.43,,12,129.49,,10,81.62,,9,47.64
QF_BV/sage/app1/bench_2481,,9,124.6,,13,112.27,,9,47.86,,11,54.43
QF_BV/sage/app1/bench_2525,,8,122.08,,12,117.19,,10,77.96,,10,62.9
QF_BV/sage/app1/bench_2529,,8,110.25,,14,141.7,,11,81.06,,9,49.88
QF_BV/sage/app1/bench_2547,,9,128.9,,11,113.41,,10,80.2,,9,51.56
QF_BV/sage/app1/bench_2582,,9,110.33,,11,84.16,,9,56.67,,10,46.49
QF_BV/sage/app1/bench_2586,,9,111.14,,15,111.61,,9,60.4,,9,46.92
QF_BV/sage/app1/bench_2587,,8,112.51,,11,86.27,,10,74.11,,10,60.95
QF_BV/sage/app1/bench_2588,,8,109.85,,11,86.16,,10,74.65,,9,37.91
QF_BV/sage/app1/bench_2593,,9,114.85,,12,91.61,,9,48.56,,9,46.77
QF_BV/sage/app1/bench_2594,,8,101.09,,13,110.7,,10,47.65,,9,40.1
QF_BV/sage/app1/bench_2595,,8,112.14,,15,132.09,,9,52.61,,10,60.45
QF_BV/sage/app1/bench_2598,,9,115.76,,11,88.32,,12,76.21,,10,54.56
QF_BV/sage/app1/bench_2602,,8,106.92,,11,85.83,,11,71.99,,10,78.59
QF_BV/sage/app1/bench_2634,,9,145.61,,13,109.42,,11,75.5,,9,39.98
QF_BV/sage/app1/bench_2644,,7,275.18,,15,362.64,,7,199.33,,7,130.27
QF_BV/sage/app1/bench_2660,,10,124.46,,13,97.66,,10,60.66,,9,53.44
QF_BV/sage/app1/bench_268,,10,117.68,,13,93.82,,13,60.04,,10,36.9
QF_BV/sage/app1/bench_29,,8,128.96,,10,108.04,,12,79.38,,11,57.54
QF_BV/sage/app1/bench_310,,10,133.35,,12,111.02,,13,85.83,,10,52.32
