Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,37,675.89,,39,341.79,,53,430.49,,38,507.33
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,19,1838.14,,21,944.16,,22,1476.9,,20,1583.87
QF_BV/RWS/Example_13.txt,,24,263.45,,26,112.66,,35,155.74,,25,176.5
QF_BV/RWS/Example_16.txt,,34,444.52,,33,330.32,,47,499.46,,33,308.54
QF_BV/RWS/Example_17.txt,,22,332.39,,24,132.74,,31,212.2,,22,213.55
QF_BV/RWS/Example_3.txt,,31,198.37,,33,124.5,,40,99.8,,30,136.61
QF_BV/RWS/Example_8.txt,,12,55.86,,12,44.36,,13,19.25,,12,39.8
QF_BV/RWS/Example_9.txt,,16,507.39,,18,271.59,,17,187.32,,17,413.01
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,12,904.82,,--,--,,25,567.17,,22,159.47
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,12,1509.58,,--,--,,16,647.68,,22,177.68
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,9,535.84,,--,--,,24,325.64,,17,55.71
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,8,829.65,,--,--,,12,285.63,,21,109.92
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,16,835.72,,--,--,,52,759.31,,28,107.99
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,14,1242.85,,--,--,,23,573.42,,28,108.65
QF_BV/sage/app1/bench_1126,,5,185.62,,6,151.39,,5,147.26,,5,89.85
QF_BV/sage/app1/bench_134,,6,90.64,,7,74.83,,6,29.3,,7,29.58
QF_BV/sage/app1/bench_1448,,5,202.41,,6,142.77,,5,207.84,,5,82.68
QF_BV/sage/app1/bench_1459,,5,189.2,,6,127.81,,5,170.78,,5,63.81
QF_BV/sage/app1/bench_1470,,5,181.38,,6,113.94,,5,127.43,,5,76.95
QF_BV/sage/app1/bench_1481,,5,190.62,,6,134.81,,5,107.47,,5,71.55
QF_BV/sage/app1/bench_1492,,5,183.03,,6,143.94,,5,129.74,,5,88.08
QF_BV/sage/app1/bench_1525,,5,179.31,,6,161.95,,5,139.3,,5,80.72
