Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,12,230.25,,12,90.69,,13,103.68,,12,182.81
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,7,692.19,,8,399.72,,8,540.16,,7,624.19
QF_BV/RWS/Example_13.txt,,9,102.11,,9,39.69,,10,47.56,,9,74.39
QF_BV/RWS/Example_16.txt,,18,250.49,,18,174.94,,19,206.89,,18,194.53
QF_BV/RWS/Example_17.txt,,8,132.06,,8,45.98,,8,60.05,,7,83.84
QF_BV/RWS/Example_3.txt,,10,77.68,,11,39.94,,11,30.63,,10,61.79
QF_BV/RWS/Example_8.txt,,7,36.38,,7,29.63,,7,12.12,,7,27.22
QF_BV/RWS/Example_9.txt,,9,311.06,,9,138.22,,9,99.14,,9,245.84
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,5,451.03,,--,--,,6,136.52,,8,58.09
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,5,748.36,,--,--,,8,315.17,,7,66.71
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,4,285.37,,--,--,,6,80.9,,5,24.77
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,5,594.75,,--,--,,6,140.71,,6,49.56
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,5,345.08,,--,--,,52,759.31,,8,45.58
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,5,589.5,,--,--,,8,188.88,,8,41.36
QF_BV/sage/app1/bench_1126,,3,122.84,,3,83.25,,3,95.77,,3,65.15
QF_BV/sage/app1/bench_134,,4,67.47,,4,49.77,,4,20.35,,4,20.34
QF_BV/sage/app1/bench_1448,,3,133.78,,3,87.67,,3,133.81,,3,61.49
QF_BV/sage/app1/bench_1459,,3,118.13,,3,67.15,,3,104.66,,3,43.73
QF_BV/sage/app1/bench_1470,,3,115.23,,3,67.61,,3,84.41,,3,47.58
QF_BV/sage/app1/bench_1481,,3,119.51,,3,74.21,,3,63.79,,3,52.52
QF_BV/sage/app1/bench_1492,,3,111.71,,3,80.91,,3,77.56,,3,58.23
QF_BV/sage/app1/bench_1525,,3,117.69,,3,97.89,,3,87.36,,3,55.98
QF_BV/sage/app1/bench_1559,,3,134.54,,3,96.81,,3,99.87,,3,55.61
QF_BV/sage/app1/bench_169,,4,58.42,,4,36.23,,3,21.39,,4,30.99
QF_BV/sage/app1/bench_174,,4,58.36,,4,37.4,,3,19.47,,4,19.18
QF_BV/sage/app1/bench_175,,3,49.95,,3,33.74,,3,13.34,,3,13.91
QF_BV/sage/app1/bench_176,,4,59.59,,4,35.89,,3,13.46,,4,24.01
QF_BV/sage/app1/bench_177,,4,61.79,,4,43.55,,4,25.89,,4,23.35
QF_BV/sage/app1/bench_181,,3,156.44,,3,79.49,,3,89.93,,3,78.72
QF_BV/sage/app1/bench_182,,4,64.15,,4,37.47,,4,25.38,,4,22.51
QF_BV/sage/app1/bench_183,,3,46.3,,4,42.71,,3,13.53,,4,20.43
QF_BV/sage/app1/bench_184,,4,55.32,,4,45.54,,4,25.84,,3,14.72
QF_BV/sage/app1/bench_185,,4,58.41,,4,44.65,,4,33.91,,4,18.09
QF_BV/sage/app1/bench_1873,,3,129.07,,3,100.26,,3,86.93,,3,48.94
QF_BV/sage/app1/bench_1877,,3,116.34,,3,76.18,,3,62.03,,3,72.82
QF_BV/sage/app1/bench_188,,3,52.29,,4,36.71,,4,36.44,,4,27.72
QF_BV/sage/app1/bench_191,,4,52.0,,4,38.04,,4,34.91,,4,18.4
QF_BV/sage/app1/bench_1913,,3,140.26,,3,88.57,,3,83.37,,3,57.57
QF_BV/sage/app1/bench_1914,,3,114.42,,3,80.61,,3,118.91,,3,45.25
QF_BV/sage/app1/bench_1915,,3,125.8,,3,81.22,,3,59.84,,3,72.68
QF_BV/sage/app1/bench_1916,,3,107.42,,3,95.12,,3,80.58,,3,73.47
QF_BV/sage/app1/bench_1917,,3,112.48,,3,83.06,,3,90.26,,3,48.69
QF_BV/sage/app1/bench_1920,,3,100.02,,3,80.34,,3,71.16,,3,63.26
QF_BV/sage/app1/bench_1924,,3,112.77,,3,70.77,,3,69.25,,3,91.32
QF_BV/sage/app1/bench_1950,,3,122.51,,3,95.07,,3,70.09,,3,58.11
QF_BV/sage/app1/bench_2004,,3,102.25,,3,66.49,,3,58.28,,3,40.87
QF_BV/sage/app1/bench_2005,,3,94.86,,3,70.74,,3,86.71,,3,40.9
QF_BV/sage/app1/bench_201,,4,58.54,,4,40.77,,4,23.57,,4,20.01
QF_BV/sage/app1/bench_2020,,3,105.63,,3,64.34,,3,78.03,,3,54.64
QF_BV/sage/app1/bench_2021,,3,96.57,,3,65.27,,3,70.35,,3,49.38
QF_BV/sage/app1/bench_2022,,3,88.76,,3,79.25,,3,84.46,,3,43.06
QF_BV/sage/app1/bench_2024,,3,83.38,,3,81.18,,3,75.55,,3,43.06
QF_BV/sage/app1/bench_2025,,3,88.53,,3,58.73,,3,45.5,,3,36.77
QF_BV/sage/app1/bench_2028,,3,106.05,,3,77.3,,3,55.55,,3,39.37
QF_BV/sage/app1/bench_2031,,3,113.94,,3,85.65,,3,71.18,,3,64.49
QF_BV/sage/app1/bench_2088,,3,108.24,,3,65.99,,3,62.49,,3,38.61
QF_BV/sage/app1/bench_2089,,3,162.8,,3,85.8,,3,97.07,,3,73.07
QF_BV/sage/app1/bench_2124,,3,93.52,,3,66.1,,3,43.2,,3,40.0
QF_BV/sage/app1/bench_2128,,3,96.75,,3,77.39,,3,55.23,,3,45.06
QF_BV/sage/app1/bench_2129,,3,129.0,,3,84.55,,3,96.73,,3,52.72
QF_BV/sage/app1/bench_2133,,3,88.27,,3,53.51,,3,57.64,,3,34.63
QF_BV/sage/app1/bench_2135,,3,103.73,,3,71.33,,3,67.1,,3,51.47
QF_BV/sage/app1/bench_2138,,3,115.74,,3,86.06,,3,67.86,,3,44.88
QF_BV/sage/app1/bench_2141,,3,94.4,,3,54.93,,3,48.37,,3,31.5
QF_BV/sage/app1/bench_2173,,3,122.36,,3,108.85,,3,83.64,,3,53.11
QF_BV/sage/app1/bench_2219,,3,110.94,,3,82.59,,3,61.47,,3,52.53
QF_BV/sage/app1/bench_2252,,3,85.84,,3,48.89,,3,31.35,,3,30.72
QF_BV/sage/app1/bench_2257,,3,73.32,,3,53.43,,3,50.36,,3,26.75
QF_BV/sage/app1/bench_2258,,3,95.21,,3,63.84,,3,50.08,,3,43.32
QF_BV/sage/app1/bench_2262,,3,71.29,,3,62.52,,3,52.72,,3,33.75
QF_BV/sage/app1/bench_2263,,3,68.2,,3,54.13,,3,31.0,,3,33.88
QF_BV/sage/app1/bench_2266,,3,73.12,,3,51.3,,3,38.03,,3,36.41
QF_BV/sage/app1/bench_2270,,3,71.83,,3,45.92,,3,39.48,,3,31.72
QF_BV/sage/app1/bench_2293,,3,78.65,,3,62.88,,3,46.93,,3,44.5
QF_BV/sage/app1/bench_2322,,3,137.87,,3,89.54,,3,94.23,,3,57.51
QF_BV/sage/app1/bench_2330,,3,79.63,,3,61.5,,3,38.35,,3,36.54
QF_BV/sage/app1/bench_2365,,3,60.03,,3,38.9,,3,26.43,,3,23.66
QF_BV/sage/app1/bench_2367,,3,127.76,,3,79.05,,3,83.35,,3,56.3
QF_BV/sage/app1/bench_2370,,3,62.45,,3,39.15,,3,31.41,,3,27.24
QF_BV/sage/app1/bench_2371,,3,76.89,,3,49.89,,3,38.85,,3,25.57
QF_BV/sage/app1/bench_2375,,3,57.31,,3,37.82,,3,26.77,,3,25.56
QF_BV/sage/app1/bench_2376,,3,63.12,,3,41.63,,3,35.45,,4,36.68
QF_BV/sage/app1/bench_2380,,3,59.32,,3,42.38,,3,31.22,,3,31.61
QF_BV/sage/app1/bench_2383,,3,59.77,,3,40.29,,3,30.38,,3,24.62
QF_BV/sage/app1/bench_2405,,3,66.0,,3,46.92,,3,34.71,,3,39.47
QF_BV/sage/app1/bench_2428,,3,68.48,,3,43.43,,3,33.84,,3,23.48
QF_BV/sage/app1/bench_2461,,3,52.25,,3,39.63,,3,23.73,,4,30.49
QF_BV/sage/app1/bench_2465,,4,73.43,,4,50.26,,3,31.84,,3,18.0
QF_BV/sage/app1/bench_2466,,3,55.12,,3,38.94,,3,18.17,,3,18.43
QF_BV/sage/app1/bench_2468,,3,58.83,,4,44.09,,3,25.06,,3,21.35
QF_BV/sage/app1/bench_2472,,4,66.63,,4,57.35,,3,20.25,,4,27.16
QF_BV/sage/app1/bench_2473,,3,56.63,,4,50.34,,3,21.16,,4,27.7
QF_BV/sage/app1/bench_2474,,3,56.2,,3,38.17,,3,26.36,,4,27.12
QF_BV/sage/app1/bench_2477,,3,52.84,,4,53.72,,4,37.18,,3,21.59
QF_BV/sage/app1/bench_2481,,4,64.81,,4,43.07,,3,17.2,,4,26.27
QF_BV/sage/app1/bench_2525,,3,58.98,,4,48.19,,3,25.76,,4,31.97
QF_BV/sage/app1/bench_2529,,3,48.1,,3,45.74,,3,25.56,,3,23.37
QF_BV/sage/app1/bench_2547,,4,69.55,,3,40.71,,3,29.57,,4,29.37
QF_BV/sage/app1/bench_2582,,4,59.72,,3,31.15,,3,20.3,,3,19.37
QF_BV/sage/app1/bench_2586,,4,60.55,,4,40.48,,4,31.17,,4,26.92
QF_BV/sage/app1/bench_2587,,3,54.02,,3,32.78,,4,35.58,,4,29.81
QF_BV/sage/app1/bench_2588,,3,51.69,,3,32.83,,3,26.36,,4,20.84
QF_BV/sage/app1/bench_2593,,4,61.81,,4,38.44,,3,18.21,,4,25.62
QF_BV/sage/app1/bench_2594,,3,50.84,,4,42.06,,3,16.16,,4,21.76
QF_BV/sage/app1/bench_2595,,4,65.91,,4,44.64,,3,19.37,,4,31.9
QF_BV/sage/app1/bench_2598,,3,50.16,,3,31.95,,3,22.3,,4,28.56
QF_BV/sage/app1/bench_2602,,3,52.05,,4,39.11,,4,30.34,,4,41.96
QF_BV/sage/app1/bench_2634,,4,74.69,,4,42.97,,4,32.57,,4,21.94
QF_BV/sage/app1/bench_2644,,3,152.3,,3,89.02,,3,102.24,,3,62.76
QF_BV/sage/app1/bench_2660,,4,61.91,,4,38.16,,3,20.89,,4,30.47
QF_BV/sage/app1/bench_268,,4,58.96,,4,37.25,,4,20.08,,4,18.56
QF_BV/sage/app1/bench_29,,4,76.85,,3,45.01,,4,28.35,,4,27.65
QF_BV/sage/app1/bench_310,,4,66.75,,4,47.87,,4,30.32,,4,28.06
QF_BV/sage/app1/bench_313,,4,59.93,,4,48.09,,4,26.49,,4,32.13
QF_BV/sage/app1/bench_32,,4,72.04,,3,47.39,,4,32.69,,4,45.32
QF_BV/sage/app1/bench_329,,4,65.15,,4,46.91,,4,25.6,,4,30.21
QF_BV/sage/app1/bench_333,,4,63.4,,4,43.45,,4,32.51,,4,29.57
QF_BV/sage/app1/bench_334,,4,61.4,,4,43.22,,3,17.84,,4,23.07
QF_BV/sage/app1/bench_335,,4,58.94,,4,37.84,,4,28.51,,4,22.53
QF_BV/sage/app1/bench_338,,4,65.76,,4,44.25,,4,25.42,,4,30.24
QF_BV/sage/app1/bench_342,,4,58.98,,4,40.62,,4,23.76,,4,20.02
QF_BV/sage/app1/bench_343,,4,66.44,,4,48.29,,4,20.72,,4,18.19
QF_BV/sage/app1/bench_344,,4,60.19,,4,41.62,,4,37.58,,4,18.97
QF_BV/sage/app1/bench_345,,4,64.35,,4,39.92,,4,29.49,,4,21.53
QF_BV/sage/app1/bench_349,,4,63.19,,4,50.74,,3,16.47,,4,22.48
QF_BV/sage/app1/bench_352,,4,65.41,,4,38.35,,4,25.16,,4,23.95
QF_BV/sage/app1/bench_356,,4,58.73,,4,48.23,,4,33.79,,4,26.44
QF_BV/sage/app1/bench_37,,3,137.7,,3,74.1,,3,64.95,,3,63.27
QF_BV/sage/app1/bench_372,,4,59.09,,4,44.91,,4,28.52,,4,24.89
QF_BV/sage/app1/bench_4,,3,135.92,,3,79.34,,3,80.66,,3,69.49
QF_BV/sage/app1/bench_407,,4,57.05,,4,40.11,,3,21.48,,4,22.85
QF_BV/sage/app1/bench_411,,4,57.28,,4,34.11,,4,27.24,,4,21.01
QF_BV/sage/app1/bench_412,,4,60.33,,4,41.87,,4,19.9,,4,27.14
QF_BV/sage/app1/bench_413,,4,60.6,,4,40.66,,4,25.41,,4,19.8
QF_BV/sage/app1/bench_415,,4,54.03,,4,38.05,,4,25.98,,4,26.35
QF_BV/sage/app1/bench_419,,4,55.62,,4,39.52,,4,22.78,,4,27.83
QF_BV/sage/app1/bench_420,,4,58.59,,4,40.14,,4,27.9,,4,25.29
QF_BV/sage/app1/bench_421,,4,58.94,,4,35.54,,4,35.93,,4,23.19
QF_BV/sage/app1/bench_422,,4,55.59,,4,46.44,,4,31.04,,4,25.12
QF_BV/sage/app1/bench_426,,4,60.52,,4,41.91,,4,25.77,,4,22.32
QF_BV/sage/app1/bench_429,,4,59.89,,4,45.22,,4,26.48,,4,18.21
QF_BV/sage/app1/bench_443,,4,64.8,,4,40.23,,4,32.06,,4,31.32
QF_BV/sage/app1/bench_47,,3,56.73,,4,50.75,,3,19.83,,4,25.03
QF_BV/sage/app1/bench_52,,3,57.86,,4,46.91,,3,17.53,,4,22.44
QF_BV/sage/app1/bench_53,,3,50.69,,4,39.2,,3,22.78,,4,21.97
QF_BV/sage/app1/bench_54,,3,53.77,,4,40.58,,3,24.29,,4,28.09
QF_BV/sage/app1/bench_55,,4,71.87,,4,41.91,,4,29.39,,4,23.84
QF_BV/sage/app1/bench_552,,4,59.2,,5,44.95,,4,23.49,,5,21.68
QF_BV/sage/app1/bench_556,,4,58.42,,4,37.52,,4,23.85,,4,26.6
QF_BV/sage/app1/bench_562,,4,54.25,,4,33.57,,4,20.82,,4,19.52
QF_BV/sage/app1/bench_564,,4,51.51,,4,33.96,,4,20.54,,4,16.35
QF_BV/sage/app1/bench_567,,4,54.85,,4,40.76,,4,22.82,,4,18.23
QF_BV/sage/app1/bench_571,,4,55.57,,4,39.52,,4,25.83,,4,23.12
QF_BV/sage/app1/bench_60,,4,70.62,,3,35.34,,3,23.72,,3,21.48
QF_BV/sage/app1/bench_602,,4,56.98,,4,46.6,,4,27.94,,4,22.98
QF_BV/sage/app1/bench_61,,3,50.59,,4,53.66,,3,16.49,,4,27.34
QF_BV/sage/app1/bench_611,,4,63.11,,4,34.16,,4,28.17,,4,24.4
QF_BV/sage/app1/bench_62,,3,49.77,,3,34.89,,3,26.06,,4,27.28
QF_BV/sage/app1/bench_620,,4,57.29,,4,37.06,,4,32.18,,4,25.01
QF_BV/sage/app1/bench_629,,4,59.5,,4,40.74,,4,21.83,,4,17.3
QF_BV/sage/app1/bench_63,,4,66.4,,4,45.79,,4,38.47,,4,21.8
QF_BV/sage/app1/bench_638,,4,54.3,,4,36.75,,4,21.11,,4,22.33
QF_BV/sage/app1/bench_646,,4,55.95,,4,38.8,,4,30.3,,4,24.27
QF_BV/sage/app1/bench_655,,4,57.31,,4,38.91,,4,27.05,,4,18.81
QF_BV/sage/app1/bench_66,,4,64.53,,4,45.8,,3,24.14,,4,27.65
QF_BV/sage/app1/bench_664,,4,52.79,,4,37.0,,4,17.07,,4,18.1
QF_BV/sage/app1/bench_674,,4,53.24,,5,40.97,,4,21.54,,4,20.98
QF_BV/sage/app1/bench_681,,3,146.79,,3,92.02,,3,79.34,,3,65.83
QF_BV/sage/app1/bench_683,,4,50.55,,4,31.34,,4,20.87,,4,20.98
QF_BV/sage/app1/bench_69,,4,59.01,,4,39.45,,4,23.68,,4,25.85
QF_BV/sage/app1/bench_691,,4,53.52,,4,31.72,,4,19.53,,4,17.04
QF_BV/sage/app1/bench_692,,3,141.55,,3,95.4,,3,80.45,,3,72.2
QF_BV/sage/app1/bench_699,,4,49.28,,4,32.32,,4,30.45,,4,15.58
QF_BV/sage/app1/bench_707,,4,47.2,,4,39.28,,4,23.16,,4,16.37
QF_BV/sage/app1/bench_715,,4,48.21,,4,38.41,,4,20.9,,4,14.91
QF_BV/sage/app1/bench_722,,4,51.64,,4,38.47,,4,20.95,,4,19.08
QF_BV/sage/app1/bench_730,,4,49.2,,4,31.45,,4,23.18,,4,14.68
QF_BV/sage/app1/bench_738,,4,43.41,,4,36.31,,4,14.11,,4,18.54
QF_BV/sage/app1/bench_745,,4,46.99,,4,37.89,,4,14.45,,4,18.31
QF_BV/sage/app1/bench_753,,4,41.13,,6,39.31,,4,11.75,,4,9.43
QF_BV/sage/app1/bench_761,,4,36.98,,5,36.39,,4,14.84,,4,8.61
QF_BV/sage/app1/bench_836,,3,136.85,,3,105.75,,3,130.02,,3,78.23
QF_BV/sage/app1/bench_847,,3,145.88,,3,101.01,,3,88.68,,3,65.99
QF_BV/sage/app1/bench_858,,3,154.11,,3,108.94,,3,112.11,,3,55.81
QF_BV/sage/app1/bench_869,,3,133.84,,3,101.48,,3,75.52,,3,66.12
QF_BV/sage/app1/bench_880,,3,128.73,,3,90.81,,3,114.89,,3,82.85
QF_BV/sage/app1/bench_914,,3,121.63,,3,67.82,,3,66.62,,3,49.88
QF_BV/sage/app1/bench_926,,4,36.7,,5,34.25,,4,7.48,,5,13.32
QF_BV/sage/app1/bench_947,,3,110.61,,3,81.84,,3,79.96,,3,78.74
QF_BV/sage/app1/bench_983,,4,37.75,,5,32.02,,4,9.0,,4,12.88
QF_BV/sage/app1/bench_985,,4,40.08,,5,30.55,,4,9.7,,4,10.88
QF_BV/sage/app1/bench_987,,4,37.69,,5,36.21,,5,10.45,,4,10.03
QF_BV/sage/app1/bench_989,,4,36.48,,5,32.38,,4,17.59,,4,11.65
QF_BV/sage/app1/bench_99,,3,48.53,,4,45.87,,3,27.79,,3,14.61
QF_BV/sage/app1/bench_992,,4,35.01,,5,36.71,,4,17.07,,4,10.47
QF_BV/sage/app1/bench_994,,4,38.98,,5,39.46,,4,14.86,,4,10.29
QF_BV/sage/app1/bench_996,,4,37.7,,5,37.22,,4,7.29,,4,12.14
QF_BV/sage/app1/bench_998,,4,40.76,,5,31.88,,4,7.9,,4,9.5
QF_BV/sage/app12/bench_103,,1,3.04,,1,2.01,,1,1.8,,1,3.37
QF_BV/sage/app12/bench_1058,,1,3.0,,1,2.01,,1,1.86,,1,2.48
QF_BV/sage/app12/bench_1181,,1,2.58,,1,1.73,,1,1.77,,1,2.78
QF_BV/sage/app12/bench_1203,,1,2.68,,1,1.72,,1,2.24,,1,4.54
QF_BV/sage/app12/bench_1226,,1,2.57,,1,1.97,,1,1.93,,1,3.92
QF_BV/sage/app12/bench_1281,,1,3.36,,1,1.58,,1,1.82,,1,3.84
QF_BV/sage/app12/bench_1325,,1,2.95,,1,1.94,,1,1.96,,1,2.97
QF_BV/sage/app12/bench_1448,,1,2.64,,1,1.95,,1,2.3,,1,2.94
QF_BV/sage/app12/bench_1459,,1,2.96,,1,1.64,,1,2.08,,1,2.25
