ALL,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
coverage,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time,#suc,#sol,#time
80%,550,1.7,121.6,521,1.7,145.6,529,1.8,121.8,523,4.2,62.2
90%,544,2.7,188.8,463,2.8,261.7,472,2.8,184.9,495,3.9,54.6
95%,531,4.4,206.8,369,3.6,321.3,407,4.6,148.2,487,4.6,58.9
98%,518,7.8,329.1,326,5.8,66.6,378,10.2,123.5,484,10.9,180.5
99%,488,11.3,426.8,322,11.1,113.6,363,18.8,195.0,451,12.9,197.4
99.5%,445,17.7,421.4,318,21.8,218.9,335,65.9,547.5,418,22.6,205.9
