Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_2141,,16,371.15,,24,307.21,,46,688.91,,19,137.96
QF_BV/sage/app1/bench_2173,,17,558.46,,22,654.02,,70,1736.41,,18,204.72
QF_BV/sage/app1/bench_2219,,17,486.53,,25,560.82,,58,1518.09,,21,226.89
QF_BV/sage/app1/bench_2252,,18,385.32,,21,238.62,,52,448.91,,20,116.81
QF_BV/sage/app1/bench_2257,,17,315.13,,29,351.02,,62,781.63,,19,111.04
QF_BV/sage/app1/bench_2258,,17,414.13,,22,346.48,,44,655.5,,19,174.74
QF_BV/sage/app1/bench_2262,,18,312.0,,22,280.16,,38,464.58,,22,148.41
QF_BV/sage/app1/bench_2263,,17,306.28,,21,276.08,,67,603.11,,19,112.18
QF_BV/sage/app1/bench_2266,,18,362.82,,28,340.23,,64,709.04,,21,136.78
QF_BV/sage/app1/bench_2270,,17,292.32,,21,215.41,,51,539.25,,20,126.84
QF_BV/sage/app1/bench_2293,,18,356.01,,27,371.69,,46,587.35,,19,156.5
QF_BV/sage/app1/bench_2322,,14,548.26,,31,694.09,,27,674.23,,16,199.75
QF_BV/sage/app1/bench_2330,,19,387.51,,24,350.81,,33,471.16,,20,154.89
QF_BV/sage/app1/bench_2365,,16,243.53,,21,177.24,,77,622.51,,22,103.85
QF_BV/sage/app1/bench_2367,,15,548.2,,29,558.6,,26,747.56,,16,196.34
QF_BV/sage/app1/bench_2370,,18,254.35,,27,228.03,,58,477.66,,22,116.52
QF_BV/sage/app1/bench_2371,,19,333.73,,20,252.28,,46,528.96,,24,124.16
QF_BV/sage/app1/bench_2375,,18,261.82,,22,196.12,,65,535.59,,21,105.94
QF_BV/sage/app1/bench_2376,,19,286.71,,25,236.71,,92,807.62,,20,124.57
QF_BV/sage/app1/bench_2380,,18,252.22,,25,231.6,,57,434.06,,21,127.84
QF_BV/sage/app1/bench_2383,,17,244.21,,19,175.98,,53,389.32,,21,107.06
QF_BV/sage/app1/bench_2405,,17,273.65,,20,222.04,,52,438.51,,17,125.32
QF_BV/sage/app1/bench_2428,,19,315.69,,21,209.8,,59,533.75,,22,101.58
QF_BV/sage/app1/bench_2461,,18,215.05,,24,218.4,,48,282.64,,22,107.93
QF_BV/sage/app1/bench_2465,,18,244.66,,25,213.11,,58,385.51,,22,98.78
QF_BV/sage/app1/bench_2466,,17,212.25,,25,224.78,,69,364.01,,23,95.03
QF_BV/sage/app1/bench_2468,,19,262.74,,26,220.42,,62,459.38,,21,89.05
QF_BV/sage/app1/bench_2472,,17,214.27,,24,242.15,,50,284.8,,20,89.62
QF_BV/sage/app1/bench_2473,,17,216.38,,24,223.14,,62,311.58,,25,101.84
QF_BV/sage/app1/bench_2474,,19,264.25,,26,227.2,,81,564.19,,22,102.35
QF_BV/sage/app1/bench_2477,,18,242.94,,25,249.94,,127,843.88,,24,105.08
QF_BV/sage/app1/bench_2481,,17,212.5,,28,224.88,,72,313.99,,25,105.66
QF_BV/sage/app1/bench_2525,,18,230.07,,26,239.9,,49,325.52,,22,114.63
QF_BV/sage/app1/bench_2529,,17,208.99,,31,295.61,,63,365.3,,22,97.35
QF_BV/sage/app1/bench_2547,,19,248.73,,24,229.42,,74,541.0,,22,112.11
QF_BV/sage/app1/bench_2582,,23,243.03,,23,163.04,,75,403.28,,25,90.95
QF_BV/sage/app1/bench_2586,,21,222.97,,32,220.88,,67,352.5,,25,101.35
QF_BV/sage/app1/bench_2587,,18,215.96,,23,160.32,,70,436.96,,22,105.19
QF_BV/sage/app1/bench_2588,,19,234.85,,26,189.81,,62,380.22,,23,79.61
QF_BV/sage/app1/bench_2593,,20,224.67,,24,170.58,,50,216.07,,26,106.31
QF_BV/sage/app1/bench_2594,,17,191.38,,30,237.55,,75,285.68,,23,83.91
QF_BV/sage/app1/bench_2595,,19,221.06,,26,223.43,,57,309.92,,25,114.52
QF_BV/sage/app1/bench_2598,,18,204.67,,21,155.48,,61,353.95,,29,116.33
QF_BV/sage/app1/bench_2602,,17,191.29,,25,180.68,,50,282.38,,22,136.44
QF_BV/sage/app1/bench_2634,,17,230.76,,26,209.7,,69,423.06,,23,84.64
QF_BV/sage/app1/bench_2644,,14,499.02,,40,969.24,,27,682.91,,16,230.85
QF_BV/sage/app1/bench_2660,,19,212.88,,27,194.31,,101,525.5,,25,116.19
QF_BV/sage/app1/bench_268,,18,191.03,,32,217.22,,98,405.81,,19,60.08
QF_BV/sage/app1/bench_29,,19,267.51,,21,210.02,,79,439.54,,24,98.72
QF_BV/sage/app1/bench_310,,19,228.62,,26,223.26,,76,454.92,,23,96.73
QF_BV/sage/app1/bench_313,,18,201.99,,30,247.36,,121,662.78,,20,101.68
QF_BV/sage/app1/bench_32,,18,258.22,,21,220.59,,76,508.64,,23,136.33
QF_BV/sage/app1/bench_329,,28,284.64,,38,314.86,,335,1932.8,,35,134.97
QF_BV/sage/app1/bench_333,,26,265.77,,38,284.78,,--,--,,34,135.43
QF_BV/sage/app1/bench_334,,24,256.94,,33,256.51,,--,--,,37,118.6
QF_BV/sage/app1/bench_335,,26,253.21,,43,288.44,,--,--,,39,121.18
QF_BV/sage/app1/bench_338,,18,205.61,,31,256.08,,168,936.45,,22,95.17
QF_BV/sage/app1/bench_342,,26,266.72,,45,317.5,,459,3129.81,,33,100.86
QF_BV/sage/app1/bench_343,,26,285.17,,36,283.35,,457,2805.34,,36,98.59
QF_BV/sage/app1/bench_344,,26,279.12,,40,279.73,,--,--,,39,110.88
QF_BV/sage/app1/bench_345,,17,194.0,,23,154.76,,100,581.39,,23,84.78
QF_BV/sage/app1/bench_349,,17,191.53,,24,212.04,,87,363.36,,20,70.72
QF_BV/sage/app1/bench_352,,25,280.34,,43,279.37,,--,--,,35,120.83
QF_BV/sage/app1/bench_356,,24,247.95,,42,345.27,,--,--,,32,122.0
QF_BV/sage/app1/bench_37,,15,542.54,,38,744.93,,51,987.69,,19,223.86
QF_BV/sage/app1/bench_372,,28,288.41,,48,378.73,,--,--,,32,104.94
QF_BV/sage/app1/bench_4,,15,527.77,,38,830.75,,53,1322.02,,15,208.92
QF_BV/sage/app1/bench_407,,24,231.44,,41,262.31,,--,--,,29,106.52
QF_BV/sage/app1/bench_411,,25,245.83,,32,189.08,,--,--,,31,97.45
QF_BV/sage/app1/bench_412,,24,243.04,,28,198.77,,443,2197.64,,30,113.32
QF_BV/sage/app1/bench_413,,25,252.55,,35,253.23,,579,3306.2,,28,86.04
QF_BV/sage/app1/bench_415,,28,265.35,,36,244.89,,--,--,,33,107.76
QF_BV/sage/app1/bench_419,,25,241.77,,34,235.69,,402,2279.13,,29,109.49
QF_BV/sage/app1/bench_420,,25,246.32,,34,231.39,,393,2688.52,,31,103.37
QF_BV/sage/app1/bench_421,,24,240.07,,33,200.31,,324,2751.14,,26,93.89
QF_BV/sage/app1/bench_422,,22,217.68,,34,277.26,,247,1651.27,,30,111.27
QF_BV/sage/app1/bench_426,,16,167.68,,20,147.87,,125,668.55,,20,68.06
QF_BV/sage/app1/bench_429,,23,230.93,,29,223.14,,470,3507.38,,31,90.84
QF_BV/sage/app1/bench_443,,21,236.83,,29,203.02,,300,2687.05,,28,118.76
QF_BV/sage/app1/bench_47,,18,222.17,,27,245.7,,121,639.63,,22,89.08
QF_BV/sage/app1/bench_52,,18,229.39,,22,189.49,,60,267.38,,23,81.58
QF_BV/sage/app1/bench_53,,19,214.62,,30,209.65,,89,490.6,,25,89.74
QF_BV/sage/app1/bench_54,,18,220.2,,26,198.94,,101,609.83,,23,99.05
QF_BV/sage/app1/bench_55,,19,243.47,,19,150.93,,120,685.64,,22,81.63
QF_BV/sage/app1/bench_552,,30,287.93,,45,302.99,,191,916.15,,33,104.12
QF_BV/sage/app1/bench_556,,25,237.76,,32,206.45,,313,2156.49,,31,114.62
QF_BV/sage/app1/bench_562,,24,231.16,,22,126.83,,86,380.18,,25,75.19
QF_BV/sage/app1/bench_564,,22,189.6,,30,167.36,,65,254.8,,24,65.18
QF_BV/sage/app1/bench_567,,22,200.73,,26,179.31,,85,324.97,,26,90.4
QF_BV/sage/app1/bench_571,,24,212.62,,25,170.0,,71,355.34,,23,79.65
QF_BV/sage/app1/bench_60,,18,227.66,,23,192.04,,57,318.72,,24,98.83
QF_BV/sage/app1/bench_602,,20,206.01,,23,174.07,,136,743.33,,23,73.6
QF_BV/sage/app1/bench_61,,18,197.81,,25,228.88,,100,439.0,,23,99.02
QF_BV/sage/app1/bench_611,,20,219.44,,23,131.1,,121,639.84,,26,91.22
QF_BV/sage/app1/bench_62,,18,214.72,,30,241.11,,82,449.32,,22,88.85
QF_BV/sage/app1/bench_620,,20,209.88,,23,147.72,,65,432.3,,22,80.41
QF_BV/sage/app1/bench_629,,22,217.83,,23,153.83,,210,920.43,,23,65.38
QF_BV/sage/app1/bench_63,,18,219.38,,24,198.95,,57,416.76,,23,80.41
QF_BV/sage/app1/bench_638,,22,194.92,,24,155.97,,121,516.53,,21,81.69
QF_BV/sage/app1/bench_646,,22,191.86,,22,139.85,,125,742.95,,25,83.59
QF_BV/sage/app1/bench_655,,20,185.69,,22,154.09,,92,485.83,,24,74.3
QF_BV/sage/app1/bench_66,,18,205.08,,31,251.9,,86,438.54,,22,96.39
QF_BV/sage/app1/bench_664,,22,201.14,,22,141.59,,68,226.01,,24,65.61
QF_BV/sage/app1/bench_674,,21,197.43,,22,135.91,,75,317.08,,23,73.91
QF_BV/sage/app1/bench_681,,15,605.75,,27,544.5,,32,754.91,,17,236.85
QF_BV/sage/app1/bench_683,,21,191.32,,22,118.84,,111,490.68,,24,71.67
QF_BV/sage/app1/bench_69,,21,220.58,,29,203.47,,70,317.66,,26,140.09
QF_BV/sage/app1/bench_691,,24,210.21,,22,116.89,,79,323.46,,25,68.28
QF_BV/sage/app1/bench_692,,15,554.89,,40,889.83,,27,598.51,,17,231.83
QF_BV/sage/app1/bench_699,,22,175.09,,22,117.77,,97,613.75,,25,68.3
QF_BV/sage/app1/bench_707,,23,188.28,,21,139.88,,76,344.25,,23,63.93
QF_BV/sage/app1/bench_715,,21,182.49,,22,148.51,,118,453.57,,25,64.46
QF_BV/sage/app1/bench_722,,23,196.83,,22,141.06,,115,505.21,,27,80.82
QF_BV/sage/app1/bench_730,,22,184.52,,24,120.82,,158,969.03,,27,74.14
QF_BV/sage/app1/bench_738,,23,174.53,,23,139.15,,208,783.66,,24,69.71
QF_BV/sage/app1/bench_745,,23,183.89,,26,165.4,,180,578.93,,25,66.06
QF_BV/sage/app1/bench_753,,26,190.18,,38,177.82,,126,457.6,,28,70.41
QF_BV/sage/app1/bench_761,,27,199.71,,35,183.0,,113,508.75,,26,66.64
QF_BV/sage/app1/bench_836,,16,613.87,,36,1040.38,,32,1214.57,,17,276.76
QF_BV/sage/app1/bench_847,,16,629.49,,35,670.1,,29,688.71,,15,218.82
QF_BV/sage/app1/bench_858,,16,638.56,,31,817.28,,27,721.61,,17,199.49
QF_BV/sage/app1/bench_869,,14,478.61,,35,815.83,,29,556.13,,18,266.0
QF_BV/sage/app1/bench_880,,15,529.44,,33,611.93,,35,1001.67,,18,316.73
QF_BV/sage/app1/bench_914,,15,541.89,,41,731.79,,44,831.53,,16,202.09
QF_BV/sage/app1/bench_926,,24,187.51,,29,140.77,,131,401.18,,25,67.95
QF_BV/sage/app1/bench_947,,15,476.96,,44,965.3,,37,1003.13,,18,262.94
QF_BV/sage/app1/bench_983,,27,194.26,,31,136.88,,184,517.13,,29,78.96
QF_BV/sage/app1/bench_985,,23,162.72,,29,121.58,,133,439.37,,28,72.85
QF_BV/sage/app1/bench_987,,22,158.43,,27,127.11,,92,223.31,,23,59.27
QF_BV/sage/app1/bench_989,,18,126.68,,26,105.96,,62,272.32,,22,58.95
QF_BV/sage/app1/bench_99,,16,177.15,,26,220.94,,59,404.99,,22,69.74
QF_BV/sage/app1/bench_992,,17,110.06,,23,120.15,,52,217.23,,18,49.61
QF_BV/sage/app1/bench_994,,15,113.97,,22,120.14,,34,134.07,,17,41.64
QF_BV/sage/app1/bench_996,,14,100.42,,20,102.61,,23,66.55,,15,48.32
QF_BV/sage/app1/bench_998,,12,91.03,,19,80.97,,14,38.14,,13,31.99
QF_BV/sage/app12/bench_103,,1,3.04,,1,2.01,,1,1.8,,1,3.37
QF_BV/sage/app12/bench_1058,,1,3.0,,1,2.01,,1,1.86,,1,2.48
QF_BV/sage/app12/bench_1181,,1,2.58,,1,1.73,,1,1.77,,1,2.78
QF_BV/sage/app12/bench_1203,,1,2.68,,1,1.72,,1,2.24,,1,4.54
QF_BV/sage/app12/bench_1226,,1,2.57,,1,1.97,,1,1.93,,1,3.92
QF_BV/sage/app12/bench_1281,,1,3.36,,1,1.58,,1,1.82,,1,3.84
QF_BV/sage/app12/bench_1325,,1,2.95,,1,1.94,,1,1.96,,1,2.97
QF_BV/sage/app12/bench_1448,,1,2.64,,1,1.95,,1,2.3,,1,2.94
QF_BV/sage/app12/bench_1459,,1,2.96,,1,1.64,,1,2.08,,1,2.25
QF_BV/sage/app12/bench_1470,,1,3.01,,1,1.93,,1,2.11,,1,2.89
QF_BV/sage/app12/bench_1503,,1,2.44,,1,1.85,,1,2.9,,1,3.69
QF_BV/sage/app12/bench_1536,,1,2.47,,1,2.49,,1,1.85,,1,2.5
QF_BV/sage/app12/bench_1547,,1,2.69,,1,1.59,,1,2.43,,1,2.15
QF_BV/sage/app12/bench_1570,,7,24.54,,9,23.43,,10,8.11,,7,10.53
QF_BV/sage/app12/bench_1592,,8,26.59,,11,29.79,,13,10.85,,8,11.2
QF_BV/sage/app12/bench_1603,,7,23.38,,9,20.7,,9,8.88,,7,11.28
QF_BV/sage/app12/bench_1614,,1,4.04,,1,3.26,,1,2.92,,1,4.15
QF_BV/sage/app12/bench_1625,,5,11.5,,7,9.46,,8,5.59,,6,8.34
QF_BV/sage/app12/bench_1636,,5,17.32,,10,25.9,,8,8.47,,6,10.12
QF_BV/sage/app12/bench_1669,,1,3.25,,1,1.84,,1,1.81,,1,2.56
QF_BV/sage/app12/bench_1670,,6,21.52,,9,19.36,,8,8.49,,6,9.11
QF_BV/sage/app12/bench_1681,,6,20.78,,9,20.74,,6,5.54,,6,9.21
QF_BV/sage/app12/bench_1692,,7,23.34,,11,30.8,,9,13.74,,7,11.59
QF_BV/sage/app12/bench_1780,,1,2.64,,1,2.19,,1,2.27,,1,2.77
QF_BV/sage/app12/bench_1803,,7,23.7,,--,--,,7,6.6,,7,10.69
QF_BV/sage/app12/bench_1914,,7,23.4,,7,19.79,,8,8.23,,7,13.73
QF_BV/sage/app12/bench_2047,,7,22.49,,8,18.47,,8,6.24,,6,9.88
QF_BV/sage/app12/bench_2113,,1,2.56,,1,2.46,,1,2.5,,1,2.8
QF_BV/sage/app12/bench_237,,1,2.7,,1,1.89,,1,2.07,,1,3.41
QF_BV/sage/app12/bench_259,,1,2.39,,1,2.15,,1,2.07,,1,2.33
QF_BV/sage/app12/bench_2625,,7,21.6,,8,21.03,,11,9.15,,7,10.02
QF_BV/sage/app12/bench_2714,,6,20.61,,8,19.62,,7,5.77,,7,10.81
