Instance,,PanSampler,,,PanSampler-Alt1,,,PanSampler-Alt2,,,PanSampler-Alt3,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,7,141.45,,6,51.01,,7,56.03,,6,104.29
QF_BV/RWS/Example_11.txt,,9,3429.7,,8,1642.47,,9,2228.68,,8,1286.28
QF_BV/RWS/Example_12.txt,,4,431.73,,4,208.6,,4,289.06,,4,365.55
QF_BV/RWS/Example_13.txt,,5,63.66,,5,24.87,,5,25.24,,5,46.54
QF_BV/RWS/Example_16.txt,,8,128.42,,8,88.11,,8,91.78,,7,97.62
QF_BV/RWS/Example_17.txt,,4,75.36,,5,33.23,,4,32.02,,4,54.2
QF_BV/RWS/Example_3.txt,,6,53.84,,6,24.31,,6,18.56,,6,43.61
QF_BV/RWS/Example_8.txt,,5,28.77,,5,23.23,,5,9.25,,5,22.15
QF_BV/RWS/Example_9.txt,,5,193.38,,6,99.97,,5,63.04,,5,152.19
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,3,305.33,,--,--,,4,94.61,,5,37.34
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,3,507.07,,5,720.4,,7,278.28,,3,37.24
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,3,229.97,,--,--,,3,43.05,,3,19.36
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,4,509.54,,--,--,,5,118.9,,3,37.55
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,3,239.86,,--,--,,12,163.46,,4,32.02
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,3,418.93,,--,--,,4,98.78,,4,28.6
QF_BV/sage/app1/bench_1126,,2,84.51,,2,57.97,,2,68.0,,2,49.99
QF_BV/sage/app1/bench_134,,2,39.51,,3,41.17,,2,11.5,,3,16.93
QF_BV/sage/app1/bench_1448,,2,95.66,,2,60.9,,2,102.64,,2,50.13
QF_BV/sage/app1/bench_1459,,2,82.74,,2,49.83,,2,79.59,,2,32.82
QF_BV/sage/app1/bench_1470,,2,88.25,,2,51.69,,2,59.1,,2,34.38
QF_BV/sage/app1/bench_1481,,2,88.98,,2,55.4,,2,44.62,,2,41.23
QF_BV/sage/app1/bench_1492,,2,83.79,,2,61.22,,2,57.36,,2,45.19
QF_BV/sage/app1/bench_1525,,2,86.35,,2,75.06,,2,62.64,,2,44.61
QF_BV/sage/app1/bench_1559,,2,101.23,,2,71.25,,2,68.19,,2,45.56
QF_BV/sage/app1/bench_169,,2,35.42,,2,21.86,,2,15.61,,2,19.47
QF_BV/sage/app1/bench_174,,2,35.83,,2,22.58,,2,14.66,,2,10.98
QF_BV/sage/app1/bench_175,,2,37.09,,2,24.98,,2,9.58,,2,10.85
QF_BV/sage/app1/bench_176,,2,36.52,,3,29.57,,2,9.64,,2,14.87
QF_BV/sage/app1/bench_177,,2,38.14,,2,26.25,,2,12.43,,2,14.26
QF_BV/sage/app1/bench_181,,2,112.6,,2,63.83,,2,64.91,,2,60.3
QF_BV/sage/app1/bench_182,,2,37.76,,2,22.32,,2,13.86,,2,13.05
QF_BV/sage/app1/bench_183,,2,34.88,,2,25.61,,2,9.0,,2,12.7
QF_BV/sage/app1/bench_184,,2,32.34,,2,27.72,,2,14.48,,2,11.56
QF_BV/sage/app1/bench_185,,2,35.09,,2,27.26,,2,20.92,,2,10.97
QF_BV/sage/app1/bench_1873,,2,93.49,,2,75.76,,2,61.55,,2,38.86
QF_BV/sage/app1/bench_1877,,2,84.93,,2,55.19,,2,43.58,,2,54.0
QF_BV/sage/app1/bench_188,,2,39.04,,2,23.04,,2,22.34,,3,23.27
QF_BV/sage/app1/bench_191,,2,31.72,,2,22.75,,2,22.16,,2,10.53
QF_BV/sage/app1/bench_1913,,2,102.58,,2,65.46,,2,58.1,,2,46.71
QF_BV/sage/app1/bench_1914,,2,81.02,,2,61.97,,2,85.26,,2,33.55
QF_BV/sage/app1/bench_1915,,2,92.33,,2,59.37,,2,39.62,,2,53.91
QF_BV/sage/app1/bench_1916,,2,76.0,,2,70.98,,2,58.43,,2,60.64
QF_BV/sage/app1/bench_1917,,2,80.61,,2,64.52,,2,63.33,,2,35.93
QF_BV/sage/app1/bench_1920,,2,72.22,,2,58.7,,2,53.99,,2,48.84
QF_BV/sage/app1/bench_1924,,2,82.37,,2,52.26,,2,45.03,,2,70.38
