Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,70,1270.7,,--,--,,--,--,,134,334.92
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,--,--,,--,--
QF_BV/RWS/Example_12.txt,,--,--,,151,1651.08,,141,1916.73,,--,--
QF_BV/RWS/Example_13.txt,,48,519.3,,147,929.01,,164,1420.6,,87,128.5
QF_BV/RWS/Example_16.txt,,56,713.07,,129,968.07,,146,1603.37,,85,82.51
QF_BV/RWS/Example_17.txt,,44,633.01,,100,872.85,,159,1921.56,,80,231.6
QF_BV/RWS/Example_3.txt,,60,373.59,,223,1189.48,,190,1690.89,,124,54.15
QF_BV/RWS/Example_8.txt,,19,81.42,,47,207.57,,78,442.31,,31,4.1
QF_BV/RWS/Example_9.txt,,30,878.34,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,26,1771.72,,--,--,,--,--,,93,2504.62
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,28,3136.31,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,22,1137.59,,--,--,,--,--,,59,27.49
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,16,1416.69,,--,--,,--,--,,874,548.02
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,30,1410.36,,--,--,,--,--,,--,--
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,28,2169.51,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_1126,,7,246.72,,194,1923.86,,125,1151.79,,--,--
QF_BV/sage/app1/bench_134,,9,122.92,,293,2312.14,,317,2036.5,,--,--
QF_BV/sage/app1/bench_1448,,7,283.31,,--,--,,246,2179.93,,--,--
QF_BV/sage/app1/bench_1459,,7,250.01,,--,--,,117,1193.75,,--,--
QF_BV/sage/app1/bench_1470,,7,255.22,,77,707.61,,193,1775.73,,--,--
QF_BV/sage/app1/bench_1481,,7,259.79,,249,2723.44,,300,2630.72,,--,--
QF_BV/sage/app1/bench_1492,,7,253.04,,--,--,,216,2236.79,,--,--
QF_BV/sage/app1/bench_1525,,7,231.67,,104,1247.16,,217,2075.93,,--,--
QF_BV/sage/app1/bench_1559,,7,261.11,,--,--,,173,1738.5,,--,--
QF_BV/sage/app1/bench_169,,9,107.55,,261,1781.34,,222,1528.51,,--,--
QF_BV/sage/app1/bench_174,,9,107.91,,188,1309.98,,346,2155.55,,--,--
QF_BV/sage/app1/bench_175,,9,110.32,,311,2180.8,,306,1811.52,,--,--
QF_BV/sage/app1/bench_176,,10,118.78,,188,1399.43,,364,2094.61,,--,--
QF_BV/sage/app1/bench_177,,9,113.15,,389,2689.84,,460,3082.48,,--,--
QF_BV/sage/app1/bench_181,,7,312.46,,105,1286.58,,318,2713.06,,--,--
QF_BV/sage/app1/bench_182,,9,110.83,,346,2558.55,,384,3021.16,,--,--
QF_BV/sage/app1/bench_183,,9,103.4,,432,3044.3,,128,952.3,,--,--
QF_BV/sage/app1/bench_184,,8,92.64,,380,2641.0,,281,1591.43,,--,--
QF_BV/sage/app1/bench_185,,9,108.61,,327,2400.01,,491,2797.73,,--,--
QF_BV/sage/app1/bench_1873,,7,278.97,,--,--,,329,2862.95,,--,--
QF_BV/sage/app1/bench_1877,,7,251.51,,--,--,,397,3200.71,,--,--
QF_BV/sage/app1/bench_188,,9,121.36,,164,1231.35,,241,1688.06,,--,--
QF_BV/sage/app1/bench_191,,8,85.93,,207,1502.29,,187,1290.08,,--,--
QF_BV/sage/app1/bench_1913,,7,299.97,,--,--,,176,1564.16,,--,--
QF_BV/sage/app1/bench_1914,,7,253.33,,65,952.3,,157,1488.72,,--,--
QF_BV/sage/app1/bench_1915,,7,255.96,,125,1509.77,,173,1611.71,,--,--
QF_BV/sage/app1/bench_1916,,8,257.47,,--,--,,262,2395.98,,--,--
QF_BV/sage/app1/bench_1917,,7,227.18,,--,--,,138,1188.48,,--,--
QF_BV/sage/app1/bench_1920,,7,249.3,,180,1881.66,,165,1411.44,,--,--
QF_BV/sage/app1/bench_1924,,7,240.14,,--,--,,172,1543.26,,--,--
QF_BV/sage/app1/bench_1950,,7,261.93,,--,--,,118,1225.52,,--,--
QF_BV/sage/app1/bench_2004,,7,209.31,,--,--,,336,2579.74,,--,--
QF_BV/sage/app1/bench_2005,,7,190.02,,--,--,,243,2024.53,,--,--
QF_BV/sage/app1/bench_201,,9,106.25,,121,990.94,,306,2044.6,,--,--
QF_BV/sage/app1/bench_2020,,8,238.7,,--,--,,141,1258.85,,--,--
QF_BV/sage/app1/bench_2021,,7,191.02,,--,--,,367,2756.68,,--,--
QF_BV/sage/app1/bench_2022,,7,187.41,,--,--,,384,2695.74,,--,--
QF_BV/sage/app1/bench_2024,,7,169.35,,--,--,,106,990.43,,--,--
