Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,3,67.72,,6,33.1,,4,35.96,,4,13.19
QF_BV/RWS/Example_11.txt,,3,935.22,,--,--,,4,66.73,,--,--
QF_BV/RWS/Example_12.txt,,2,237.85,,3,29.62,,3,33.27,,3,617.69
QF_BV/RWS/Example_13.txt,,3,41.64,,3,14.5,,6,31.29,,3,4.99
QF_BV/RWS/Example_16.txt,,3,60.64,,4,24.32,,4,36.92,,4,3.83
QF_BV/RWS/Example_17.txt,,3,62.46,,3,27.35,,4,37.42,,3,6.82
QF_BV/RWS/Example_3.txt,,3,31.18,,5,18.42,,4,31.41,,4,1.56
QF_BV/RWS/Example_8.txt,,3,19.58,,3,10.98,,9,37.85,,3,0.4
QF_BV/RWS/Example_9.txt,,3,132.66,,--,--,,4,77.45,,3,368.35
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,2,223.7,,96,734.12,,57,725.12,,3,72.06
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,2,364.31,,82,688.72,,59,803.77,,2,76.76
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,2,168.51,,134,983.08,,78,1049.4,,2,5.19
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,3,416.53,,119,836.19,,145,1794.8,,2,8.4
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,2,179.61,,--,--,,234,3190.45,,2,5.0
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,2,309.41,,442,2754.66,,--,--,,3,8.61
QF_BV/sage/app1/bench_1126,,1,47.45,,1,14.08,,1,11.49,,--,--
QF_BV/sage/app1/bench_134,,1,21.77,,1,12.05,,1,9.75,,--,--
