ALLSUC,,PanSampler,,SMTSampler,,GuidedSampler,,CSB,
coverage,#suc.all,#sol,#time,#sol,#time,#sol,#time,#sol,#time
80%,254,1.3,21.1,6.9,39.3,8.2,50.9,1.3,568.4
90%,210,1.7,21.6,27.2,163.4,43.0,249.3,1.9,614.8
95%,179,2.5,26.3,32.9,185.0,43.7,230.2,3.1,452.7
98%,147,3.8,24.3,44.4,187.9,45.7,185.0,5.1,158.0
99%,135,5.7,33.7,59.1,178.3,69.5,224.1,8.3,68.1
99.5%,130,7.4,33.1,90.1,257.8,97.4,300.4,15.6,52.7
