Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_2266,,18,362.82,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2270,,17,292.32,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2293,,18,356.01,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2322,,14,548.26,,--,--,,387,3086.34,,--,--
QF_BV/sage/app1/bench_2330,,19,387.51,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2365,,16,243.53,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2367,,15,548.2,,251,2520.93,,241,2274.6,,--,--
QF_BV/sage/app1/bench_2370,,18,254.35,,--,--,,603,3588.77,,--,--
QF_BV/sage/app1/bench_2371,,19,333.73,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2375,,18,261.82,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2376,,19,286.71,,--,--,,484,3568.13,,--,--
QF_BV/sage/app1/bench_2380,,18,252.22,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2383,,17,244.21,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2405,,17,273.65,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2428,,19,315.69,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2461,,18,215.05,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2465,,18,244.66,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2466,,17,212.25,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2468,,19,262.74,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2472,,17,214.27,,484,3453.12,,--,--,,--,--
QF_BV/sage/app1/bench_2473,,17,216.38,,354,2754.23,,--,--,,--,--
QF_BV/sage/app1/bench_2474,,19,264.25,,--,--,,487,3562.44,,--,--
QF_BV/sage/app1/bench_2477,,18,242.94,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2481,,17,212.5,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2525,,18,230.07,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2529,,17,208.99,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2547,,19,248.73,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2582,,23,243.03,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2586,,21,222.97,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2587,,18,215.96,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2588,,19,234.85,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2593,,20,224.67,,--,--,,481,3204.34,,--,--
QF_BV/sage/app1/bench_2594,,17,191.38,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2595,,19,221.06,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2598,,18,204.67,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2602,,17,191.29,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2634,,17,230.76,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_2644,,14,499.02,,228,2408.11,,200,1862.64,,--,--
QF_BV/sage/app1/bench_2660,,19,212.88,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_268,,18,191.03,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_29,,19,267.51,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_310,,19,228.62,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_313,,18,201.99,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_32,,18,258.22,,362,3053.47,,--,--,,--,--
QF_BV/sage/app1/bench_329,,28,284.64,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_333,,26,265.77,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_334,,24,256.94,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_335,,26,253.21,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_338,,18,205.61,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_342,,26,266.72,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_343,,26,285.17,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_344,,26,279.12,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_345,,17,194.0,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_349,,17,191.53,,345,2514.07,,--,--,,--,--
QF_BV/sage/app1/bench_352,,25,280.34,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_356,,24,247.95,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_37,,15,542.54,,--,--,,336,2906.65,,--,--
QF_BV/sage/app1/bench_372,,28,288.41,,470,3581.28,,--,--,,--,--
QF_BV/sage/app1/bench_4,,15,527.77,,313,2873.73,,401,3557.79,,--,--
QF_BV/sage/app1/bench_407,,24,231.44,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_411,,25,245.83,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_412,,24,243.04,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_413,,25,252.55,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_415,,28,265.35,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_419,,25,241.77,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_420,,25,246.32,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_421,,24,240.07,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_422,,22,217.68,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_426,,16,167.68,,--,--,,451,3373.72,,--,--
QF_BV/sage/app1/bench_429,,23,230.93,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_443,,21,236.83,,--,--,,394,3280.94,,--,--
QF_BV/sage/app1/bench_47,,18,222.17,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_52,,18,229.39,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_53,,19,214.62,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_54,,18,220.2,,427,3231.3,,--,--,,--,--
QF_BV/sage/app1/bench_55,,19,243.47,,--,--,,--,--,,--,--
QF_BV/sage/app1/bench_552,,30,287.93,,--,--,,--,--,,--,--
