Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,37,675.89,,--,--,,119,1170.08,,54,126.27
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,65,1711.7,,--,--
QF_BV/RWS/Example_12.txt,,19,1838.14,,45,366.48,,52,606.94,,--,--
QF_BV/RWS/Example_13.txt,,24,263.45,,68,368.87,,85,628.31,,37,59.99
QF_BV/RWS/Example_16.txt,,34,444.52,,79,538.12,,89,855.23,,59,57.18
QF_BV/RWS/Example_17.txt,,22,332.39,,41,299.25,,74,777.21,,32,93.53
QF_BV/RWS/Example_3.txt,,31,198.37,,110,454.46,,97,672.57,,49,20.01
QF_BV/RWS/Example_8.txt,,12,55.86,,19,91.62,,44,259.3,,17,2.44
QF_BV/RWS/Example_9.txt,,16,507.39,,--,--,,30,1302.88,,21,2475.5
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,12,904.82,,--,--,,--,--,,9,213.62
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,12,1509.58,,--,--,,--,--,,9,288.22
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,9,535.84,,--,--,,--,--,,11,8.61
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,8,829.65,,--,--,,--,--,,8,12.6
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,16,835.72,,--,--,,--,--,,295,94.95
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,14,1242.85,,--,--,,--,--,,23,17.7
QF_BV/sage/app1/bench_1126,,5,185.62,,60,545.74,,115,888.0,,--,--
QF_BV/sage/app1/bench_134,,6,90.64,,70,697.75,,139,910.52,,--,--
QF_BV/sage/app1/bench_1448,,5,202.41,,--,--,,132,1260.93,,--,--
QF_BV/sage/app1/bench_1459,,5,189.2,,--,--,,110,1096.82,,--,--
QF_BV/sage/app1/bench_1470,,5,181.38,,49,397.59,,111,1049.05,,--,--
QF_BV/sage/app1/bench_1481,,5,190.62,,33,375.5,,109,990.68,,--,--
QF_BV/sage/app1/bench_1492,,5,183.03,,--,--,,165,1783.55,,--,--
QF_BV/sage/app1/bench_1525,,5,179.31,,65,703.93,,104,1029.74,,--,--
QF_BV/sage/app1/bench_1559,,5,194.03,,--,--,,107,1117.06,,--,--
QF_BV/sage/app1/bench_169,,5,69.42,,133,899.6,,153,1112.08,,--,--
QF_BV/sage/app1/bench_174,,6,78.98,,137,977.69,,181,1067.35,,--,--
QF_BV/sage/app1/bench_175,,5,72.88,,111,913.48,,176,1079.34,,--,--
QF_BV/sage/app1/bench_176,,6,79.35,,105,827.73,,178,1070.41,,--,--
QF_BV/sage/app1/bench_177,,6,83.76,,163,1135.09,,282,1585.03,,--,--
QF_BV/sage/app1/bench_181,,5,236.8,,30,374.31,,155,1440.14,,--,--
QF_BV/sage/app1/bench_182,,6,84.43,,165,1311.0,,220,1598.81,,--,--
QF_BV/sage/app1/bench_183,,5,66.74,,334,2223.73,,112,710.16,,--,--
QF_BV/sage/app1/bench_184,,5,64.28,,146,1019.53,,144,858.7,,--,--
QF_BV/sage/app1/bench_185,,6,77.95,,110,858.54,,361,2017.11,,--,--
QF_BV/sage/app1/bench_1873,,5,198.66,,--,--,,114,1026.2,,--,--
QF_BV/sage/app1/bench_1877,,5,190.01,,--,--,,162,1385.55,,--,--
QF_BV/sage/app1/bench_188,,6,87.77,,125,924.87,,111,783.04,,--,--
QF_BV/sage/app1/bench_191,,5,60.89,,118,896.57,,119,835.99,,--,--
