Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app1/bench_2257,,2,54.25,,36,295.37,,74,544.66,,--,--
QF_BV/sage/app1/bench_2258,,2,68.91,,39,351.92,,69,397.78,,--,--
QF_BV/sage/app1/bench_2262,,2,52.82,,14,90.01,,81,586.62,,--,--
QF_BV/sage/app1/bench_2263,,2,51.32,,43,321.18,,50,361.06,,--,--
QF_BV/sage/app1/bench_2266,,2,53.35,,24,146.93,,78,537.03,,--,--
QF_BV/sage/app1/bench_2270,,2,53.88,,38,321.43,,77,562.27,,--,--
QF_BV/sage/app1/bench_2293,,2,58.39,,9,60.02,,77,656.41,,--,--
QF_BV/sage/app1/bench_2322,,2,96.91,,--,--,,18,94.4,,--,--
QF_BV/sage/app1/bench_2330,,2,59.04,,26,163.39,,90,747.63,,--,--
QF_BV/sage/app1/bench_2365,,2,45.37,,14,78.06,,91,566.95,,--,--
QF_BV/sage/app1/bench_2367,,2,93.89,,2,23.01,,22,143.59,,--,--
QF_BV/sage/app1/bench_2370,,2,47.56,,52,458.26,,106,615.22,,--,--
QF_BV/sage/app1/bench_2371,,2,56.26,,44,340.45,,115,690.96,,--,--
QF_BV/sage/app1/bench_2375,,2,42.17,,23,168.14,,108,761.53,,--,--
QF_BV/sage/app1/bench_2376,,2,47.96,,121,647.02,,44,284.85,,--,--
QF_BV/sage/app1/bench_2380,,2,43.57,,4,29.76,,41,314.37,,--,--
QF_BV/sage/app1/bench_2383,,2,41.84,,68,487.85,,108,658.78,,--,--
QF_BV/sage/app1/bench_2405,,2,48.55,,11,63.78,,120,750.76,,--,--
QF_BV/sage/app1/bench_2428,,2,51.03,,21,122.72,,137,982.21,,2,3067.79
QF_BV/sage/app1/bench_2461,,2,40.72,,105,851.06,,109,707.57,,--,--
QF_BV/sage/app1/bench_2465,,2,41.04,,77,563.55,,106,779.23,,2,2382.07
QF_BV/sage/app1/bench_2466,,2,42.26,,37,232.88,,129,957.42,,--,--
QF_BV/sage/app1/bench_2468,,2,44.65,,28,144.16,,113,893.56,,--,--
QF_BV/sage/app1/bench_2472,,2,40.28,,33,286.28,,104,691.72,,2,3544.11
QF_BV/sage/app1/bench_2473,,2,42.83,,66,542.23,,107,758.26,,--,--
QF_BV/sage/app1/bench_2474,,2,42.25,,120,984.37,,103,693.49,,--,--
QF_BV/sage/app1/bench_2477,,2,39.26,,79,550.17,,43,278.8,,--,--
QF_BV/sage/app1/bench_2481,,2,38.3,,35,260.82,,110,740.59,,--,--
QF_BV/sage/app1/bench_2525,,2,43.13,,11,54.64,,106,893.43,,--,--
QF_BV/sage/app1/bench_2529,,2,35.39,,57,445.62,,128,981.49,,2,2632.58
QF_BV/sage/app1/bench_2547,,2,38.9,,21,118.68,,203,1230.3,,--,--
QF_BV/sage/app1/bench_2582,,2,36.12,,100,795.77,,139,830.16,,--,--
QF_BV/sage/app1/bench_2586,,2,37.31,,48,262.53,,129,961.87,,2,2779.73
QF_BV/sage/app1/bench_2587,,2,40.3,,105,806.64,,112,692.87,,2,3365.32
QF_BV/sage/app1/bench_2588,,2,38.41,,101,791.4,,122,806.21,,--,--
QF_BV/sage/app1/bench_2593,,2,37.59,,90,696.54,,110,688.78,,2,3489.36
QF_BV/sage/app1/bench_2594,,2,37.62,,106,757.76,,122,995.69,,2,2230.5
QF_BV/sage/app1/bench_2595,,2,39.0,,91,643.32,,103,645.11,,--,--
QF_BV/sage/app1/bench_2598,,2,35.91,,37,314.31,,102,660.66,,--,--
QF_BV/sage/app1/bench_2602,,2,39.3,,64,523.02,,106,731.35,,--,--
QF_BV/sage/app1/bench_2634,,2,42.79,,23,114.09,,125,743.68,,--,--
QF_BV/sage/app1/bench_2644,,2,110.03,,5,69.71,,17,104.25,,--,--
QF_BV/sage/app1/bench_2660,,2,37.56,,104,761.45,,99,633.3,,--,--
QF_BV/sage/app1/bench_268,,2,35.39,,123,782.43,,164,822.95,,--,--
QF_BV/sage/app1/bench_29,,2,46.68,,6,38.58,,103,812.0,,--,--
QF_BV/sage/app1/bench_310,,2,39.35,,42,272.36,,125,1084.2,,--,--
