Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_10.txt,,12,230.25,,21,122.6,,20,186.47,,16,44.82
QF_BV/RWS/Example_11.txt,,--,--,,--,--,,31,677.22,,--,--
QF_BV/RWS/Example_12.txt,,7,692.19,,12,98.98,,11,132.72,,10,1120.86
QF_BV/RWS/Example_13.txt,,9,102.11,,18,86.93,,16,128.98,,11,19.71
QF_BV/RWS/Example_16.txt,,18,250.49,,29,175.4,,49,407.03,,25,23.81
QF_BV/RWS/Example_17.txt,,8,132.06,,10,74.87,,19,191.81,,10,30.4
QF_BV/RWS/Example_3.txt,,10,77.68,,22,94.68,,18,131.12,,14,6.22
QF_BV/RWS/Example_8.txt,,7,36.38,,13,59.05,,23,138.91,,10,1.42
QF_BV/RWS/Example_9.txt,,9,311.06,,--,--,,13,366.26,,12,1472.89
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.17,,5,451.03,,--,--,,--,--,,5,114.22
QF_BV/bmc-bv-svcomp14/s3_clnt_1_false.BV.c.cil.c.21,,5,748.36,,--,--,,--,--,,5,158.2
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.17,,4,285.37,,--,--,,--,--,,5,6.43
QF_BV/bmc-bv-svcomp14/s3_clnt_2_false.BV.c.cil.c.21,,5,594.75,,--,--,,--,--,,5,10.39
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.17,,5,345.08,,--,--,,--,--,,6,6.2
QF_BV/bmc-bv-svcomp14/s3_clnt_3_false.BV.c.cil.c.21,,5,589.5,,--,--,,--,--,,6,10.04
QF_BV/sage/app1/bench_1126,,3,122.84,,47,387.29,,73,508.51,,--,--
QF_BV/sage/app1/bench_134,,4,67.47,,65,598.09,,115,768.5,,--,--
QF_BV/sage/app1/bench_1448,,3,133.78,,--,--,,106,942.29,,--,--
QF_BV/sage/app1/bench_1459,,3,118.13,,--,--,,107,1052.27,,--,--
QF_BV/sage/app1/bench_1470,,3,115.23,,40,320.34,,104,896.15,,--,--
QF_BV/sage/app1/bench_1481,,3,119.51,,10,105.87,,50,436.27,,--,--
QF_BV/sage/app1/bench_1492,,3,111.71,,--,--,,130,1384.09,,--,--
QF_BV/sage/app1/bench_1525,,3,117.69,,44,474.78,,99,897.04,,--,--
QF_BV/sage/app1/bench_1559,,3,134.54,,--,--,,102,977.45,,--,--
QF_BV/sage/app1/bench_169,,4,58.42,,89,535.7,,123,918.26,,4,3341.92
QF_BV/sage/app1/bench_174,,4,58.36,,111,749.03,,115,705.43,,4,2346.29
QF_BV/sage/app1/bench_175,,3,49.95,,79,681.24,,112,691.81,,4,3049.42
QF_BV/sage/app1/bench_176,,4,59.59,,100,791.86,,111,715.63,,--,--
QF_BV/sage/app1/bench_177,,4,61.79,,90,535.83,,154,893.45,,--,--
QF_BV/sage/app1/bench_181,,3,156.44,,9,113.75,,116,1106.9,,--,--
QF_BV/sage/app1/bench_182,,4,64.15,,111,873.42,,161,1198.34,,--,--
QF_BV/sage/app1/bench_183,,3,46.3,,192,1227.66,,109,672.92,,--,--
QF_BV/sage/app1/bench_184,,4,55.32,,110,774.31,,118,711.67,,--,--
QF_BV/sage/app1/bench_185,,4,58.41,,78,628.05,,314,1706.26,,4,2892.36
QF_BV/sage/app1/bench_1873,,3,129.07,,--,--,,109,953.2,,--,--
QF_BV/sage/app1/bench_1877,,3,116.34,,--,--,,118,1116.85,,--,--
QF_BV/sage/app1/bench_188,,3,52.29,,116,850.52,,104,708.94,,--,--
QF_BV/sage/app1/bench_191,,4,52.0,,56,389.08,,107,683.59,,--,--
QF_BV/sage/app1/bench_1913,,3,140.26,,--,--,,105,886.06,,--,--
QF_BV/sage/app1/bench_1914,,3,114.42,,13,99.01,,108,946.82,,--,--
QF_BV/sage/app1/bench_1915,,3,125.8,,40,354.36,,115,1078.65,,--,--
QF_BV/sage/app1/bench_1916,,3,107.42,,--,--,,107,917.0,,--,--
QF_BV/sage/app1/bench_1917,,3,112.48,,--,--,,111,870.26,,--,--
QF_BV/sage/app1/bench_1920,,3,100.02,,64,585.59,,104,825.24,,--,--
QF_BV/sage/app1/bench_1924,,3,112.77,,--,--,,49,456.41,,--,--
QF_BV/sage/app1/bench_1950,,3,122.51,,--,--,,103,1024.25,,--,--
QF_BV/sage/app1/bench_2004,,3,102.25,,--,--,,109,841.4,,--,--
QF_BV/sage/app1/bench_2005,,3,94.86,,--,--,,100,876.76,,--,--
QF_BV/sage/app1/bench_201,,4,58.54,,50,429.56,,111,823.62,,--,--
QF_BV/sage/app1/bench_2020,,3,105.63,,--,--,,113,925.67,,--,--
QF_BV/sage/app1/bench_2021,,3,96.57,,--,--,,110,888.23,,--,--
QF_BV/sage/app1/bench_2022,,3,88.76,,--,--,,127,1001.1,,--,--
QF_BV/sage/app1/bench_2024,,3,83.38,,--,--,,98,847.55,,--,--
QF_BV/sage/app1/bench_2025,,3,88.53,,12,76.1,,44,323.04,,--,--
QF_BV/sage/app1/bench_2028,,3,106.05,,--,--,,98,756.24,,--,--
QF_BV/sage/app1/bench_2031,,3,113.94,,--,--,,108,892.02,,--,--
QF_BV/sage/app1/bench_2088,,3,108.24,,17,136.98,,108,881.19,,--,--
QF_BV/sage/app1/bench_2089,,3,162.8,,--,--,,98,844.37,,--,--
QF_BV/sage/app1/bench_2124,,3,93.52,,--,--,,108,844.96,,--,--
QF_BV/sage/app1/bench_2128,,3,96.75,,--,--,,100,809.62,,--,--
QF_BV/sage/app1/bench_2129,,3,129.0,,--,--,,105,945.51,,--,--
QF_BV/sage/app1/bench_2133,,3,88.27,,38,302.89,,42,363.77,,--,--
QF_BV/sage/app1/bench_2135,,3,103.73,,23,194.1,,99,913.51,,--,--
QF_BV/sage/app1/bench_2138,,3,115.74,,108,845.56,,43,375.92,,--,--
QF_BV/sage/app1/bench_2141,,3,94.4,,34,347.51,,147,1084.03,,--,--
QF_BV/sage/app1/bench_2173,,3,122.36,,--,--,,112,1006.82,,--,--
QF_BV/sage/app1/bench_2219,,3,110.94,,29,319.47,,120,1121.62,,--,--
QF_BV/sage/app1/bench_2252,,3,85.84,,--,--,,122,768.68,,--,--
QF_BV/sage/app1/bench_2257,,3,73.32,,53,486.65,,115,788.48,,--,--
QF_BV/sage/app1/bench_2258,,3,95.21,,40,375.99,,115,715.07,,--,--
QF_BV/sage/app1/bench_2262,,3,71.29,,82,585.93,,108,771.75,,--,--
QF_BV/sage/app1/bench_2263,,3,68.2,,49,378.91,,113,846.76,,--,--
QF_BV/sage/app1/bench_2266,,3,73.12,,49,387.94,,130,897.71,,--,--
QF_BV/sage/app1/bench_2270,,3,71.83,,68,617.13,,109,725.45,,--,--
QF_BV/sage/app1/bench_2293,,3,78.65,,20,151.97,,123,1075.63,,--,--
QF_BV/sage/app1/bench_2322,,3,137.87,,--,--,,132,1174.68,,--,--
QF_BV/sage/app1/bench_2330,,3,79.63,,38,365.37,,132,1281.86,,--,--
QF_BV/sage/app1/bench_2365,,3,60.03,,67,470.77,,113,691.77,,--,--
QF_BV/sage/app1/bench_2367,,3,127.76,,8,55.03,,102,932.09,,--,--
QF_BV/sage/app1/bench_2370,,3,62.45,,66,674.61,,108,639.76,,--,--
QF_BV/sage/app1/bench_2371,,3,76.89,,57,483.06,,118,726.53,,--,--
QF_BV/sage/app1/bench_2375,,3,57.31,,32,264.98,,495,2896.16,,--,--
QF_BV/sage/app1/bench_2376,,3,63.12,,125,715.66,,45,296.77,,--,--
QF_BV/sage/app1/bench_2380,,3,59.32,,38,340.82,,42,327.84,,--,--
QF_BV/sage/app1/bench_2383,,3,59.77,,71,513.69,,110,691.78,,--,--
QF_BV/sage/app1/bench_2405,,3,66.0,,26,151.96,,121,763.17,,--,--
QF_BV/sage/app1/bench_2428,,3,68.48,,74,633.94,,533,3446.47,,--,--
QF_BV/sage/app1/bench_2461,,3,52.25,,113,880.54,,110,719.78,,--,--
QF_BV/sage/app1/bench_2465,,4,73.43,,115,882.87,,108,800.58,,--,--
QF_BV/sage/app1/bench_2466,,3,55.12,,108,797.4,,131,995.59,,--,--
QF_BV/sage/app1/bench_2468,,3,58.83,,48,327.78,,114,931.91,,--,--
QF_BV/sage/app1/bench_2472,,4,66.63,,40,334.81,,109,765.27,,--,--
QF_BV/sage/app1/bench_2473,,3,56.63,,67,559.46,,108,770.27,,--,--
QF_BV/sage/app1/bench_2474,,3,56.2,,121,1016.25,,104,705.6,,--,--
QF_BV/sage/app1/bench_2477,,3,52.84,,119,772.43,,45,302.62,,--,--
QF_BV/sage/app1/bench_2481,,4,64.81,,49,360.57,,113,833.13,,--,--
QF_BV/sage/app1/bench_2525,,3,58.98,,48,424.96,,128,1045.42,,--,--
QF_BV/sage/app1/bench_2529,,3,48.1,,59,530.22,,131,1020.28,,--,--
QF_BV/sage/app1/bench_2547,,4,69.55,,68,540.43,,521,2933.25,,--,--
QF_BV/sage/app1/bench_2582,,4,59.72,,102,829.66,,176,1050.42,,--,--
QF_BV/sage/app1/bench_2586,,4,60.55,,145,838.16,,130,974.32,,--,--
QF_BV/sage/app1/bench_2587,,3,54.02,,106,814.24,,113,705.42,,--,--
QF_BV/sage/app1/bench_2588,,3,51.69,,104,846.9,,178,1151.83,,--,--
QF_BV/sage/app1/bench_2593,,4,61.81,,107,751.7,,111,701.01,,--,--
QF_BV/sage/app1/bench_2594,,3,50.84,,107,765.55,,124,1031.31,,--,--
QF_BV/sage/app1/bench_2595,,4,65.91,,98,705.05,,104,657.38,,--,--
QF_BV/sage/app1/bench_2598,,3,50.16,,46,396.69,,103,672.71,,--,--
QF_BV/sage/app1/bench_2602,,3,52.05,,130,945.78,,130,942.24,,--,--
QF_BV/sage/app1/bench_2634,,4,74.69,,69,462.73,,127,791.38,,--,--
QF_BV/sage/app1/bench_2644,,3,152.3,,9,92.93,,101,943.48,,--,--
QF_BV/sage/app1/bench_2660,,4,61.91,,105,768.61,,105,703.42,,--,--
QF_BV/sage/app1/bench_268,,4,58.96,,126,872.18,,231,1174.91,,--,--
QF_BV/sage/app1/bench_29,,4,76.85,,9,62.88,,106,853.34,,--,--
QF_BV/sage/app1/bench_310,,4,66.75,,49,345.89,,127,1126.87,,--,--
QF_BV/sage/app1/bench_313,,4,59.93,,36,356.18,,139,1015.78,,--,--
QF_BV/sage/app1/bench_32,,4,72.04,,37,331.21,,127,1121.99,,--,--
QF_BV/sage/app1/bench_329,,4,65.15,,35,291.54,,98,722.58,,--,--
QF_BV/sage/app1/bench_333,,4,63.4,,57,490.34,,115,785.33,,--,--
QF_BV/sage/app1/bench_334,,4,61.4,,157,1324.32,,106,795.44,,--,--
QF_BV/sage/app1/bench_335,,4,58.94,,112,902.81,,128,873.64,,--,--
QF_BV/sage/app1/bench_338,,4,65.76,,67,559.5,,131,994.51,,--,--
QF_BV/sage/app1/bench_342,,4,58.98,,78,637.75,,133,920.84,,--,--
QF_BV/sage/app1/bench_343,,4,66.44,,73,608.91,,171,1155.17,,--,--
QF_BV/sage/app1/bench_344,,4,60.19,,85,518.73,,118,820.71,,--,--
QF_BV/sage/app1/bench_345,,4,64.35,,52,428.62,,266,1664.04,,--,--
QF_BV/sage/app1/bench_349,,4,63.19,,90,564.05,,117,711.75,,--,--
QF_BV/sage/app1/bench_352,,4,65.41,,107,905.07,,127,872.35,,--,--
QF_BV/sage/app1/bench_356,,4,58.73,,106,764.03,,129,738.08,,5,3346.81
QF_BV/sage/app1/bench_37,,3,137.7,,--,--,,105,1007.46,,--,--
QF_BV/sage/app1/bench_372,,4,59.09,,65,502.61,,107,742.98,,--,--
QF_BV/sage/app1/bench_4,,3,135.92,,29,405.18,,121,1236.24,,--,--
QF_BV/sage/app1/bench_407,,4,57.05,,48,268.29,,115,723.94,,4,2559.24
QF_BV/sage/app1/bench_411,,4,57.28,,48,359.28,,161,957.95,,5,2416.96
QF_BV/sage/app1/bench_412,,4,60.33,,140,1016.81,,132,903.18,,5,2628.78
QF_BV/sage/app1/bench_413,,4,60.6,,74,568.88,,112,683.53,,4,2969.09
QF_BV/sage/app1/bench_415,,4,54.03,,51,396.9,,107,767.75,,--,--
QF_BV/sage/app1/bench_419,,4,55.62,,31,165.05,,109,638.4,,5,2149.02
QF_BV/sage/app1/bench_420,,4,58.59,,74,631.61,,132,802.85,,5,3258.52
QF_BV/sage/app1/bench_421,,4,58.94,,79,561.87,,106,759.14,,5,3035.8
QF_BV/sage/app1/bench_422,,4,55.59,,38,194.02,,109,738.55,,5,1506.54
QF_BV/sage/app1/bench_426,,4,60.52,,102,850.57,,129,760.99,,5,3545.13
QF_BV/sage/app1/bench_429,,4,59.89,,78,502.07,,113,791.17,,--,--
QF_BV/sage/app1/bench_443,,4,64.8,,158,1115.08,,105,685.47,,4,2706.15
QF_BV/sage/app1/bench_47,,3,56.73,,99,843.73,,120,702.02,,--,--
QF_BV/sage/app1/bench_52,,3,57.86,,79,596.83,,123,651.81,,--,--
QF_BV/sage/app1/bench_53,,3,50.69,,56,375.38,,120,679.92,,--,--
QF_BV/sage/app1/bench_54,,3,53.77,,72,593.77,,450,2656.29,,--,--
QF_BV/sage/app1/bench_55,,4,71.87,,17,100.72,,106,817.41,,--,--
QF_BV/sage/app1/bench_552,,4,59.2,,46,384.84,,128,1007.64,,5,2783.41
QF_BV/sage/app1/bench_556,,4,58.42,,97,631.74,,109,889.04,,5,3549.25
QF_BV/sage/app1/bench_562,,4,54.25,,121,1030.77,,153,1197.25,,5,833.98
QF_BV/sage/app1/bench_564,,4,51.51,,67,501.65,,124,727.91,,19,2599.06
QF_BV/sage/app1/bench_567,,4,54.85,,89,700.58,,222,1111.91,,11,1811.24
QF_BV/sage/app1/bench_571,,4,55.57,,81,651.87,,117,680.18,,8,977.65
QF_BV/sage/app1/bench_60,,4,70.62,,102,778.32,,128,809.69,,--,--
QF_BV/sage/app1/bench_602,,4,56.98,,23,179.04,,33,248.97,,6,2055.3
QF_BV/sage/app1/bench_61,,3,50.59,,85,540.16,,118,683.34,,--,--
QF_BV/sage/app1/bench_611,,4,63.11,,23,160.51,,135,1027.93,,8,2716.43
QF_BV/sage/app1/bench_62,,3,49.77,,199,1453.95,,107,694.98,,--,--
QF_BV/sage/app1/bench_620,,4,57.29,,31,193.41,,147,1170.61,,6,1499.21
QF_BV/sage/app1/bench_629,,4,59.5,,32,186.1,,174,1478.27,,--,--
QF_BV/sage/app1/bench_63,,4,66.4,,38,262.4,,108,743.34,,--,--
QF_BV/sage/app1/bench_638,,4,54.3,,28,185.01,,71,512.0,,7,980.49
QF_BV/sage/app1/bench_646,,4,55.95,,42,298.46,,50,370.78,,13,2560.69
QF_BV/sage/app1/bench_655,,4,57.31,,29,168.5,,38,306.3,,--,--
QF_BV/sage/app1/bench_66,,4,64.53,,71,544.15,,104,819.51,,--,--
QF_BV/sage/app1/bench_664,,4,52.79,,30,205.25,,37,279.6,,--,--
QF_BV/sage/app1/bench_674,,4,53.24,,46,314.18,,46,280.89,,--,--
QF_BV/sage/app1/bench_681,,3,146.79,,12,82.45,,122,972.32,,--,--
QF_BV/sage/app1/bench_683,,4,50.55,,36,176.32,,167,965.97,,--,--
QF_BV/sage/app1/bench_69,,4,59.01,,76,677.87,,118,703.13,,--,--
