Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,9,27.21,,15,65.27,,16,114.29,,13,2.66
QF_BV/RWS/Example_14.txt,,9,43.42,,14,70.11,,18,147.11,,14,10.3
QF_BV/RWS/Example_2.txt,,7,20.25,,20,87.13,,17,118.39,,10,1.38
QF_BV/RWS/Example_4.txt,,6,24.89,,22,96.58,,20,99.75,,12,1.95
QF_BV/RWS/Example_5.txt,,5,19.76,,14,60.94,,15,111.42,,10,1.49
QF_BV/RWS/Example_6.txt,,5,8.02,,11,47.17,,10,49.12,,8,0.63
QF_BV/bench_ab/a168test0018,,1,0.04,,1,0.04,,1,0.3,,1,0.03
QF_BV/bench_ab/a403test0043,,3,0.06,,9,0.07,,9,0.08,,3,0.1
QF_BV/bench_ab/a423test0008,,2,0.02,,2,0.04,,2,0.06,,2,0.08
QF_BV/bench_ab/a481test0001,,4,0.26,,83,1.34,,77,1.31,,5,0.06
QF_BV/bench_ab/a493test0006,,4,0.28,,80,1.13,,75,1.11,,5,0.09
QF_BV/bench_ab/a503test0089,,1,0.06,,1,0.04,,1,0.04,,1,0.45
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.04,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,21,0.33,,17,0.31,,17,0.12,,4,0.14
QF_BV/bench_ab/a651test0090,,13,0.22,,7,0.1,,7,0.11,,2,0.05
QF_BV/bench_ab/a655test0003,,16,0.19,,9,0.06,,9,0.28,,3,0.04
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.03,,1,0.05,,1,0.06
QF_BV/bench_ab/a659test0071,,40,0.43,,9,0.4,,9,0.1,,3,0.08
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.03,,1,0.06,,1,0.45
QF_BV/bmc-bv/adpcm,,1,0.02,,1,0.04,,1,0.52,,1,0.35
QF_BV/bmc-bv/ex19,,5,68.99,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,4,8.37,,8,37.86,,5,32.15,,--,--
QF_BV/bmc-bv/graycode,,1,1.85,,1,0.15,,1,0.16,,1,0.2
QF_BV/bmc-bv/inf1,,3,0.25,,25,0.77,,25,0.42,,4,0.08
QF_BV/bmc-bv/magic,,1,5.63,,1,2.07,,1,1.65,,1,0.77
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,4,13.03,,4,13.13,,3,3.41
QF_BV/bmc-bv/queens,,1,2.99,,1,0.39,,1,0.41,,1,0.44
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.64,,1,0.66,,1,0.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.14,,1,0.15,,1,0.3
QF_BV/bmc-bv/sudoku,,1,38.66,,1,1.4,,1,1.61,,1,544.32
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,3,3.39,,60,56.17,,35,31.79,,5,0.62
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,3,6.47,,60,78.27,,35,29.38,,5,0.75
QF_BV/brummayerbiere2/smulov4bw0032,,3,2.13,,22,1.24,,22,1.17,,3,0.51
QF_BV/brummayerbiere2/smulov4bw0064,,3,9.8,,47,11.84,,47,16.32,,--,--
QF_BV/brummayerbiere2/smulov4bw0128,,3,73.36,,92,162.68,,92,264.77,,--,--
QF_BV/brummayerbiere2/smulov4bw0256,,3,917.66,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/fig1d.phx,,5,100.69,,134,757.63,,91,483.24,,14,386.23
QF_BV/gulwani-pldi08/fig5.phx,,5,56.76,,286,709.59,,285,683.72,,6,126.1
QF_BV/gulwani-pldi08/fig6.phx,,6,16.57,,--,--,,--,--,,14,5.36
QF_BV/gulwani-pldi08/merge.phx,,2,20.54,,2,4.64,,2,6.63,,2,1.55
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,4,38.11,,151,435.54,,160,364.77,,5,28.22
QF_BV/sage/app1/bench_1141,,3,5.06,,61,183.37,,62,208.64,,5,0.93
QF_BV/sage/app1/bench_1288,,2,4.09,,37,17.67,,34,21.55,,3,1.23
QF_BV/sage/app1/bench_1339,,2,1.89,,23,25.08,,20,26.34,,3,0.76
QF_BV/sage/app1/bench_1346,,3,3.41,,37,11.5,,36,9.84,,3,0.61
QF_BV/sage/app1/bench_1710,,4,0.14,,25,0.48,,25,0.25,,3,0.45
QF_BV/sage/app1/bench_1742,,2,0.13,,18,0.37,,18,0.33,,4,0.08
QF_BV/sage/app1/bench_1768,,2,0.11,,17,0.27,,17,0.44,,5,0.05
QF_BV/sage/app12/bench_1183,,3,16.97,,24,78.26,,24,52.17,,3,1.75
QF_BV/sage/app12/bench_1353,,4,2.35,,260,8.76,,260,13.56,,4,0.02
QF_BV/sage/app12/bench_2211,,2,0.71,,2,0.13,,2,0.12,,2,0.1
QF_BV/sage/app12/bench_2353,,16,69.52,,--,--,,--,--,,4,0.06
QF_BV/sage/app12/bench_363,,2,0.2,,3,0.13,,3,0.09,,2,0.06
QF_BV/sage/app12/bench_3921,,--,--,,13,0.18,,13,0.21,,3,0.44
QF_BV/sage/app12/bench_4066,,1,0.03,,1,0.03,,1,0.26,,1,0.08
QF_BV/sage/app12/bench_4177,,2,0.05,,15,0.14,,15,0.56,,5,0.48
QF_BV/sage/app12/bench_446,,3,0.16,,58,2.16,,58,3.12,,5,0.07
QF_BV/sage/app12/bench_5599,,2,0.15,,29,1.52,,29,1.05,,4,0.07
QF_BV/sage/app12/bench_797,,1,0.07,,1,0.02,,1,0.06,,1,0.06
QF_BV/sage/app12/bench_953,,2,0.09,,6,0.12,,5,0.1,,3,0.09
QF_BV/sage/app12/bench_971,,1,0.02,,1,0.04,,1,0.04,,1,0.04
QF_BV/sage/app2/bench_1196,,4,7.33,,332,34.5,,331,31.14,,4,1.79
QF_BV/sage/app2/bench_1387,,4,50.48,,345,163.33,,346,186.61,,2,0.83
QF_BV/sage/app2/bench_225,,4,7.38,,333,29.12,,334,36.74,,4,1.81
QF_BV/sage/app2/bench_278,,3,6.42,,37,8.52,,37,9.55,,4,0.99
QF_BV/sage/app2/bench_282,,2,4.82,,20,10.25,,19,6.29,,3,0.56
QF_BV/sage/app2/bench_458,,4,0.14,,28,0.84,,28,0.72,,4,0.06
QF_BV/sage/app2/bench_48,,16,6.38,,393,36.22,,393,34.33,,4,0.08
QF_BV/sage/app2/bench_642,,5,7.76,,370,47.92,,369,37.28,,4,0.92
QF_BV/sage/app2/bench_645,,3,1.56,,11,4.38,,11,2.65,,4,0.67
QF_BV/sage/app2/bench_664,,6,7.99,,373,35.52,,364,30.53,,4,0.75
QF_BV/sage/app2/bench_719,,7,10.72,,374,35.69,,377,48.77,,4,0.59
QF_BV/sage/app2/bench_830,,8,9.26,,400,36.03,,405,41.14,,4,0.4
QF_BV/sage/app2/bench_863,,4,6.42,,350,35.73,,346,53.05,,4,2.23
QF_BV/sage/app5/bench_1163,,4,0.96,,134,12.05,,144,9.13,,5,0.11
QF_BV/sage/app5/bench_1169,,1,0.04,,1,0.03,,1,0.07,,1,0.04
QF_BV/sage/app5/bench_1170,,4,0.91,,158,13.24,,165,18.53,,5,0.11
QF_BV/sage/app5/bench_1182,,3,7.45,,154,27.67,,142,29.53,,4,0.79
QF_BV/sage/app5/bench_1262,,3,0.2,,43,1.54,,38,0.77,,5,0.08
QF_BV/sage/app5/bench_1298,,1,0.08,,1,0.03,,1,0.1,,1,0.07
QF_BV/sage/app5/bench_349,,3,8.79,,183,41.05,,185,58.65,,4,0.74
QF_BV/sage/app5/bench_357,,3,9.59,,180,58.0,,178,50.93,,5,0.81
QF_BV/sage/app5/bench_42,,3,4.86,,27,5.43,,27,5.78,,3,0.21
QF_BV/sage/app5/bench_555,,1,0.03,,1,0.04,,1,0.04,,1,0.08
QF_BV/sage/app5/bench_565,,1,0.03,,1,0.02,,1,0.05,,1,0.06
QF_BV/sage/app5/bench_575,,3,0.13,,58,1.58,,59,1.41,,4,0.53
QF_BV/sage/app5/bench_597,,1,0.05,,1,0.18,,1,0.05,,1,0.04
QF_BV/sage/app5/bench_742,,1,0.17,,1,0.06,,1,0.07,,1,0.13
QF_BV/sage/app5/bench_794,,2,0.05,,30,0.38,,30,0.39,,4,0.06
QF_BV/sage/app5/bench_959,,3,0.55,,59,6.75,,62,6.68,,4,0.12
QF_BV/sage/app5/bench_960,,6,0.14,,30,0.38,,30,0.37,,5,0.06
QF_BV/sage/app8/bench_1892,,3,0.91,,20,3.33,,22,4.33,,4,0.6
QF_BV/sage/app8/bench_2006,,3,0.77,,38,3.14,,35,2.36,,4,0.1
QF_BV/sage/app8/bench_23,,3,2.34,,8,1.54,,9,1.06,,6,1.34
QF_BV/sage/app8/bench_2310,,3,0.41,,28,1.0,,29,0.8,,4,0.09
QF_BV/sage/app8/bench_2880,,4,1.61,,28,4.0,,28,3.43,,5,0.4
QF_BV/sage/app8/bench_3177,,3,1.74,,20,15.09,,19,12.8,,3,0.29
QF_BV/sage/app8/bench_3314,,3,1.41,,13,1.78,,14,2.73,,4,0.38
QF_BV/sage/app8/bench_3368,,3,1.43,,9,0.38,,9,0.33,,3,0.24
QF_BV/sage/app8/bench_3424,,3,0.81,,17,2.41,,16,1.86,,4,0.63
QF_BV/sage/app8/bench_3448,,2,0.24,,11,0.46,,11,0.5,,3,0.22
QF_BV/sage/app8/bench_3677,,3,0.21,,585,0.81,,73,0.58,,3,0.08
QF_BV/sage/app8/bench_3814,,3,0.9,,13,4.0,,12,0.66,,4,0.24
QF_BV/sage/app8/bench_3836,,2,0.07,,12,0.18,,12,0.72,,2,0.04
QF_BV/sage/app8/bench_400,,3,17.98,,39,172.67,,41,235.03,,3,45.6
QF_BV/sage/app8/bench_443,,3,16.1,,39,174.37,,41,223.14,,3,53.24
QF_BV/sage/app8/bench_498,,3,16.84,,37,219.74,,36,232.35,,--,--
QF_BV/sage/app8/bench_525,,4,0.28,,34,0.59,,101,1.05,,6,0.53
QF_BV/sage/app8/bench_828,,3,12.26,,46,130.31,,47,219.52,,3,44.56
QF_BV/sage/app9/bench_1203,,3,1.0,,12,0.44,,12,0.44,,4,0.22
QF_BV/sage/app9/bench_1269,,3,0.62,,31,2.64,,32,2.42,,4,0.57
QF_BV/sage/app9/bench_1323,,3,0.5,,37,1.53,,29,2.15,,4,0.11
QF_BV/sage/app9/bench_1384,,4,4.1,,74,52.23,,75,62.12,,5,1.39
QF_BV/sage/app9/bench_1400,,4,4.12,,36,68.01,,39,61.14,,5,1.78
QF_BV/sage/app9/bench_1552,,4,2.04,,56,12.43,,53,11.36,,5,0.36
QF_BV/sage/app9/bench_1659,,4,2.39,,45,12.6,,36,9.32,,4,0.27
QF_BV/sage/app9/bench_2061,,4,0.12,,58,2.21,,58,1.36,,5,0.05
QF_BV/sage/app9/bench_2127,,1,0.03,,1,0.16,,1,0.06,,1,0.44
QF_BV/sage/app9/bench_2358,,2,0.05,,15,0.11,,15,0.11,,4,0.1
QF_BV/sage/app9/bench_2518,,2,0.41,,13,0.88,,7,0.74,,3,0.47
QF_BV/sage/app9/bench_2940,,3,1.17,,18,5.92,,17,4.31,,3,0.25
QF_BV/sage/app9/bench_3134,,3,17.51,,38,234.23,,34,179.88,,3,52.62
QF_BV/sage/app9/bench_3261,,2,0.07,,14,0.19,,14,0.72,,3,0.05
QF_BV/sage/app9/bench_3270,,1,0.03,,1,0.04,,1,0.04,,1,0.04
QF_BV/sage/app9/bench_3278,,3,17.48,,47,197.6,,45,164.13,,3,59.01
QF_BV/sage/app9/bench_866,,1,0.04,,1,0.15,,1,0.04,,1,0.05
QF_BV/sage/app9/bench_885,,4,4.32,,301,77.74,,296,89.28,,5,0.76
QF_BV/sage/app9/bench_919,,3,0.17,,21,1.21,,19,1.07,,4,0.05
QF_BV/sage/app9/bench_979,,2,0.12,,10,0.18,,11,0.19,,3,0.45
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,3,13.84,,85,73.74,,83,65.84,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,3,17.46,,83,81.48,,84,64.44,,15,153.49
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,3,17.32,,82,53.25,,82,67.01,,15,154.49
