Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app2/bench_48,,34,12.71,,483,41.05,,483,45.11,,6,0.1
QF_BV/sage/app2/bench_642,,17,23.34,,438,55.93,,438,42.46,,7,1.49
QF_BV/sage/app2/bench_645,,6,3.01,,270,11.61,,--,--,,25,1.28
QF_BV/sage/app2/bench_664,,19,21.85,,440,39.92,,435,34.8,,6,1.02
QF_BV/sage/app2/bench_719,,19,27.01,,438,42.76,,435,55.94,,6,0.81
QF_BV/sage/app2/bench_830,,19,21.61,,464,42.34,,466,48.0,,6,0.55
QF_BV/sage/app2/bench_863,,5,7.77,,430,42.53,,431,63.86,,7,3.75
QF_BV/sage/app5/bench_1163,,9,2.07,,162,14.23,,169,11.23,,11,0.17
QF_BV/sage/app5/bench_1169,,1,0.04,,1,0.03,,1,0.07,,1,0.04
QF_BV/sage/app5/bench_1170,,8,1.64,,176,14.49,,183,20.35,,8,0.14
QF_BV/sage/app5/bench_1182,,5,11.63,,170,30.98,,158,31.07,,13,1.4
QF_BV/sage/app5/bench_1262,,4,0.25,,47,1.61,,47,0.88,,12,0.11
QF_BV/sage/app5/bench_1298,,1,0.08,,1,0.03,,1,0.1,,1,0.07
QF_BV/sage/app5/bench_349,,5,14.52,,199,42.34,,201,60.85,,11,1.82
QF_BV/sage/app5/bench_357,,5,14.86,,195,60.49,,193,53.1,,27,3.97
QF_BV/sage/app5/bench_42,,6,8.81,,34,5.72,,34,6.06,,8,0.36
QF_BV/sage/app5/bench_555,,1,0.03,,1,0.04,,1,0.04,,1,0.08
QF_BV/sage/app5/bench_565,,1,0.03,,1,0.02,,1,0.05,,1,0.06
QF_BV/sage/app5/bench_575,,4,0.16,,63,1.67,,64,1.5,,6,0.53
QF_BV/sage/app5/bench_597,,1,0.05,,1,0.18,,1,0.05,,1,0.04
QF_BV/sage/app5/bench_742,,4,0.48,,14,2.79,,14,2.82,,4,0.22
QF_BV/sage/app5/bench_794,,2,0.05,,33,0.42,,33,0.43,,11,0.06
QF_BV/sage/app5/bench_959,,5,0.85,,103,12.4,,102,9.42,,6,0.15
QF_BV/sage/app5/bench_960,,7,0.16,,33,0.41,,33,0.4,,7,0.06
QF_BV/sage/app8/bench_1892,,5,1.41,,34,5.77,,34,5.23,,6,0.64
QF_BV/sage/app8/bench_2006,,5,1.25,,96,3.93,,61,4.4,,11,0.19
QF_BV/sage/app8/bench_23,,4,3.12,,14,7.87,,14,4.8,,11,1.96
QF_BV/sage/app8/bench_2310,,4,0.52,,42,1.55,,39,1.29,,7,0.11
QF_BV/sage/app8/bench_2880,,8,2.95,,54,6.39,,960,7.04,,17,1.16
QF_BV/sage/app8/bench_3177,,5,2.67,,215,20.17,,906,18.67,,15,0.89
QF_BV/sage/app8/bench_3314,,5,2.21,,33,3.74,,46,5.33,,9,0.63
QF_BV/sage/app8/bench_3368,,4,1.89,,16,1.89,,15,2.27,,8,0.5
QF_BV/sage/app8/bench_3424,,5,1.38,,48,3.74,,39,3.22,,16,1.1
QF_BV/sage/app8/bench_3448,,3,0.33,,36,1.22,,31,1.07,,7,0.3
QF_BV/sage/app8/bench_3677,,5,0.32,,--,--,,--,--,,5,0.09
QF_BV/sage/app8/bench_3814,,5,1.46,,29,6.62,,27,3.93,,7,0.38
QF_BV/sage/app8/bench_3836,,2,0.07,,16,0.23,,16,0.76,,3,0.04
QF_BV/sage/app8/bench_400,,5,28.41,,92,358.54,,95,506.7,,6,83.12
QF_BV/sage/app8/bench_443,,5,26.08,,89,476.43,,110,674.26,,7,127.74
QF_BV/sage/app8/bench_498,,5,28.16,,79,441.3,,108,628.25,,--,--
QF_BV/sage/app8/bench_525,,108,8.27,,--,--,,465,1.14,,14,0.57
QF_BV/sage/app8/bench_828,,7,25.9,,154,431.53,,110,507.38,,9,136.38
QF_BV/sage/app9/bench_1203,,4,1.28,,27,2.77,,30,3.08,,7,0.34
QF_BV/sage/app9/bench_1269,,4,0.83,,60,3.78,,61,3.09,,8,0.68
QF_BV/sage/app9/bench_1323,,5,0.79,,--,--,,--,--,,5,0.12
QF_BV/sage/app9/bench_1384,,8,8.25,,133,75.36,,402,85.37,,11,3.3
QF_BV/sage/app9/bench_1400,,8,8.21,,--,--,,--,--,,14,4.88
QF_BV/sage/app9/bench_1552,,6,2.89,,--,--,,--,--,,11,0.75
