Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,3,11.92,,4,11.97,,5,23.97,,4,1.01
QF_BV/RWS/Example_14.txt,,3,19.47,,4,17.1,,4,26.6,,4,2.71
QF_BV/RWS/Example_2.txt,,3,10.57,,5,18.13,,4,15.89,,4,0.66
QF_BV/RWS/Example_4.txt,,2,9.5,,3,14.14,,5,21.83,,2,0.73
QF_BV/RWS/Example_5.txt,,2,10.21,,3,8.24,,3,4.39,,3,0.53
QF_BV/RWS/Example_6.txt,,2,3.91,,4,15.61,,5,20.49,,3,0.28
QF_BV/bench_ab/a168test0018,,1,0.04,,1,0.04,,1,0.3,,1,0.03
QF_BV/bench_ab/a403test0043,,1,0.04,,1,0.03,,1,0.05,,1,0.09
QF_BV/bench_ab/a423test0008,,1,0.02,,1,0.04,,1,0.06,,1,0.07
QF_BV/bench_ab/a481test0001,,2,0.14,,50,0.97,,33,0.56,,3,0.06
QF_BV/bench_ab/a493test0006,,2,0.16,,47,0.67,,43,0.76,,2,0.08
QF_BV/bench_ab/a503test0089,,1,0.06,,1,0.04,,1,0.04,,1,0.45
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.04,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,5,0.12,,9,0.26,,9,0.08,,3,0.14
QF_BV/bench_ab/a651test0090,,1,0.07,,1,0.03,,1,0.05,,1,0.04
QF_BV/bench_ab/a655test0003,,1,0.04,,1,0.03,,1,0.24,,1,0.02
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.03,,1,0.05,,1,0.06
QF_BV/bench_ab/a659test0071,,1,0.05,,1,0.28,,1,0.05,,1,0.06
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.03,,1,0.06,,1,0.45
QF_BV/bmc-bv/adpcm,,1,0.02,,1,0.04,,1,0.52,,1,0.35
QF_BV/bmc-bv/ex19,,2,31.08,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,3,6.15,,3,11.67,,3,11.42,,--,--
QF_BV/bmc-bv/graycode,,1,1.85,,1,0.15,,1,0.16,,1,0.2
QF_BV/bmc-bv/inf1,,1,0.11,,1,0.04,,1,0.05,,1,0.05
QF_BV/bmc-bv/magic,,1,5.63,,1,2.07,,1,1.65,,1,0.77
QF_BV/bmc-bv/matrixsqrt,,2,4.41,,2,2.34,,2,2.74,,2,2.37
QF_BV/bmc-bv/queens,,1,2.99,,1,0.39,,1,0.41,,1,0.44
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.64,,1,0.66,,1,0.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.14,,1,0.15,,1,0.3
QF_BV/bmc-bv/sudoku,,1,38.66,,1,1.4,,1,1.61,,1,544.32
