Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app2/bench_48,,42,14.99,,491,41.5,,491,45.84,,7,0.1
QF_BV/sage/app2/bench_642,,23,31.32,,445,56.78,,446,42.95,,8,1.69
QF_BV/sage/app2/bench_645,,9,4.48,,270,11.61,,--,--,,53,2.06
QF_BV/sage/app2/bench_664,,23,25.98,,448,40.65,,443,35.32,,8,1.33
QF_BV/sage/app2/bench_719,,24,33.99,,445,43.63,,443,56.43,,7,0.93
QF_BV/sage/app2/bench_830,,23,26.62,,471,43.17,,473,48.73,,6,0.55
QF_BV/sage/app2/bench_863,,6,9.12,,441,43.64,,441,65.4,,9,4.85
QF_BV/sage/app5/bench_1163,,26,5.85,,164,14.31,,171,11.41,,14,0.2
QF_BV/sage/app5/bench_1169,,1,0.04,,1,0.03,,1,0.07,,1,0.04
QF_BV/sage/app5/bench_1170,,10,2.0,,178,14.52,,185,20.54,,29,0.36
QF_BV/sage/app5/bench_1182,,6,13.49,,172,30.99,,160,31.26,,15,1.53
QF_BV/sage/app5/bench_1262,,4,0.25,,48,1.63,,50,0.91,,22,0.14
QF_BV/sage/app5/bench_1298,,1,0.08,,1,0.03,,1,0.1,,1,0.07
QF_BV/sage/app5/bench_349,,5,14.52,,201,42.5,,203,61.12,,20,3.24
QF_BV/sage/app5/bench_357,,6,18.0,,197,60.82,,195,53.39,,35,5.18
QF_BV/sage/app5/bench_42,,7,10.13,,35,5.76,,35,6.09,,8,0.36
QF_BV/sage/app5/bench_555,,1,0.03,,1,0.04,,1,0.04,,1,0.08
QF_BV/sage/app5/bench_565,,1,0.03,,1,0.02,,1,0.05,,1,0.06
QF_BV/sage/app5/bench_575,,5,0.19,,65,1.7,,65,1.5,,8,0.53
QF_BV/sage/app5/bench_597,,1,0.05,,1,0.18,,1,0.05,,1,0.04
QF_BV/sage/app5/bench_742,,4,0.48,,17,2.87,,17,2.91,,4,0.22
QF_BV/sage/app5/bench_794,,3,0.06,,33,0.42,,33,0.43,,11,0.06
QF_BV/sage/app5/bench_959,,6,1.0,,106,12.99,,105,9.51,,7,0.16
QF_BV/sage/app5/bench_960,,7,0.16,,33,0.41,,33,0.4,,7,0.06
QF_BV/sage/app8/bench_1892,,8,2.09,,41,12.14,,39,13.32,,9,0.7
QF_BV/sage/app8/bench_2006,,7,1.72,,--,--,,496,5.06,,27,0.37
QF_BV/sage/app8/bench_23,,5,3.91,,16,8.24,,16,5.0,,17,2.62
QF_BV/sage/app8/bench_2310,,5,0.64,,268,1.63,,42,1.34,,9,0.13
QF_BV/sage/app8/bench_2880,,16,5.6,,63,6.97,,--,--,,17,1.16
QF_BV/sage/app8/bench_3177,,7,3.62,,--,--,,--,--,,26,1.42
QF_BV/sage/app8/bench_3314,,7,3.0,,52,4.69,,460,6.06,,10,0.68
QF_BV/sage/app8/bench_3368,,5,2.28,,18,1.93,,18,2.34,,20,1.12
QF_BV/sage/app8/bench_3424,,5,1.38,,55,4.13,,47,3.59,,16,1.1
QF_BV/sage/app8/bench_3448,,4,0.43,,39,1.28,,47,1.33,,7,0.3
QF_BV/sage/app8/bench_3677,,5,0.32,,--,--,,--,--,,8,0.11
QF_BV/sage/app8/bench_3814,,6,1.74,,36,7.77,,33,4.32,,11,0.58
QF_BV/sage/app8/bench_3836,,3,0.08,,17,0.23,,17,0.76,,5,0.05
QF_BV/sage/app8/bench_400,,7,42.02,,--,--,,--,--,,9,126.23
QF_BV/sage/app8/bench_443,,8,39.45,,166,597.12,,157,726.57,,15,236.19
QF_BV/sage/app8/bench_498,,7,37.7,,130,659.83,,152,681.61,,--,--
QF_BV/sage/app8/bench_525,,108,8.27,,--,--,,465,1.14,,14,0.57
QF_BV/sage/app8/bench_828,,9,32.79,,--,--,,256,817.47,,15,250.86
QF_BV/sage/app9/bench_1203,,5,1.63,,33,2.97,,38,3.36,,8,0.38
QF_BV/sage/app9/bench_1269,,5,1.05,,626,4.73,,--,--,,11,0.77
QF_BV/sage/app9/bench_1323,,5,0.79,,--,--,,--,--,,6,0.14
QF_BV/sage/app9/bench_1384,,9,9.09,,--,--,,--,--,,20,5.93
QF_BV/sage/app9/bench_1400,,11,10.62,,--,--,,--,--,,25,8.4
QF_BV/sage/app9/bench_1552,,7,3.3,,--,--,,--,--,,15,1.03
QF_BV/sage/app9/bench_1659,,10,5.51,,--,--,,--,--,,26,1.47
QF_BV/sage/app9/bench_2061,,5,0.15,,65,2.36,,65,1.49,,10,0.06
QF_BV/sage/app9/bench_2127,,1,0.03,,1,0.16,,1,0.06,,1,0.44
QF_BV/sage/app9/bench_2358,,2,0.05,,16,0.12,,16,0.12,,5,0.1
QF_BV/sage/app9/bench_2518,,5,0.91,,24,1.61,,26,3.06,,6,0.51
QF_BV/sage/app9/bench_2940,,7,2.41,,--,--,,--,--,,15,1.04
QF_BV/sage/app9/bench_3134,,7,38.55,,--,--,,116,387.66,,9,149.06
QF_BV/sage/app9/bench_3261,,2,0.07,,17,0.21,,17,0.74,,5,0.05
QF_BV/sage/app9/bench_3270,,1,0.03,,1,0.04,,1,0.04,,1,0.04
QF_BV/sage/app9/bench_3278,,7,38.78,,--,--,,--,--,,11,209.07
QF_BV/sage/app9/bench_866,,1,0.04,,1,0.15,,1,0.04,,1,0.05
QF_BV/sage/app9/bench_885,,7,7.1,,354,93.95,,358,108.99,,22,1.87
QF_BV/sage/app9/bench_919,,6,0.3,,--,--,,--,--,,12,0.07
QF_BV/sage/app9/bench_979,,4,0.19,,19,1.01,,21,1.01,,6,0.46
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,5,21.12,,165,215.42,,179,257.35,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,6,30.05,,174,308.44,,180,214.03,,71,650.72
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,6,34.24,,126,173.08,,178,263.68,,71,793.39
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,9,149.09,,541,2831.09,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,9,181.49,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,8,131.06,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,8,124.2,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,9,132.47,,--,--,,--,--,,--,--
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,8,139.06,,--,--,,--,--,,--,--
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,8,3.65,,--,--,,--,--,,15,0.64
QF_BV/stp_samples/run_00000.trace.cond_017924_0x950130a_00,,9,3.63,,--,--,,--,--,,22,0.76
QF_BV/stp_samples/run_00000.trace.cond_019659_0x950130a_00,,12,6.28,,--,--,,177,13.54,,33,1.62
QF_BV/stp_samples/run_00000.trace.cond_021021_0x7c80d002_00,,13,7.24,,--,--,,--,--,,32,2.22
QF_BV/stp_samples/run_00000.trace.cond_285209_0xe7b047_00,,3,7.03,,80,8.13,,80,6.84,,--,--
QF_BV/stp_samples/run_00013.trace.cond_285237_0xe752eb_00,,841,431.22,,--,--,,--,--,,10,0.7
QF_BV/stp_samples/run_00013.trace.cond_285420_0xe753c9_00,,53,25.93,,--,--,,--,--,,25,1.04
QF_BV/stp_samples/run_03230.trace.cond_011983_0x4182de_00,,25,4.9,,89,2.13,,159,2.92,,11,0.17
QF_BV/stp_samples/run_03230.trace.cond_012011_0x4182de_00,,9,2.61,,477,4.17,,--,--,,16,0.54
QF_BV/stp_samples/run_03230.trace.cond_012123_0x4182de_00,,11,5.55,,199,7.74,,--,--,,15,0.2
QF_BV/stp_samples/run_03230.trace.cond_012151_0x4182de_00,,12,6.92,,--,--,,--,--,,10,0.16
QF_BV/stp_samples/run_03230.trace.cond_012161_0x4182b4_00,,12,7.54,,--,--,,--,--,,12,0.2
QF_BV/stp_samples/run_03230.trace.cond_012207_0x4182de_00,,12,8.09,,--,--,,--,--,,14,0.28
QF_BV/stp_samples/run_03230.trace.cond_025326_0x418209_00,,9,7.57,,--,--,,--,--,,15,0.62
QF_BV/stp_samples/run_03230.trace.cond_025503_0x418209_00,,8,4.92,,137,5.36,,--,--,,6,0.17
QF_BV/stp_samples/run_03230.trace.cond_025521_0x41821d_00,,9,5.4,,--,--,,127,6.86,,9,0.23
QF_BV/stp_samples/run_03230.trace.cond_025533_0x418209_00,,6,4.23,,114,3.26,,121,5.0,,7,0.2
QF_BV/stp_samples/run_03230.trace.cond_025570_0x41821d_00,,9,8.71,,102,3.27,,101,5.03,,6,0.17
QF_BV/tacas07/s-40-50-bv,,25,464.5,,112,2663.54,,121,3011.42,,--,--
,,,,,,,,,,,,
QF_ABV/bench_ab/a271test0009,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a283test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a288test0004,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/a296test0002,,3,6.24,,7,12.1,,--,--,,--,--
QF_ABV/bench_ab/a84test0002,,--,--,,--,--,,--,--,,--,--
QF_ABV/bench_ab/b264test0001,,2,0.12,,4,0.05,,4,0.09,,--,--
QF_ABV/bmc-arrays/ex20,,6,95.19,,--,--,,--,--,,--,--
QF_ABV/bmc-arrays/ex6,,12,1.64,,95,2.93,,--,--,,--,--
QF_ABV/bmc-arrays/inf4,,3,1.51,,21,73.86,,21,66.63,,--,--
QF_ABV/bmc-arrays/simple_control_on_input,,6,12.67,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_cut.hash_get_entries.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_noof_functions_dwp_setuidgid.get_quoting_style.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_dwp_kill.close_stdout_set_file_name.il.dwp,,34,5.32,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_hostid.set_quoting_style.il.fse-bfs,,16,7.08,,126,5.11,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.bkm_scale.il.fse-bfs,,15,16.88,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_sameret_functions_fse-bfs_vdir.set_quoting_style.il.fse-bfs,,--,--,,126,4.97,,126,12.22,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_echo.set_char_quoting.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_expr.set_char_quoting.il.dwp,,39,2.97,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_split.set_char_quoting.il.dwp,,13,0.88,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try3_true_functions_dwp_whoami.set_quoting_style.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try4_true_functions_dwp_nl.get_quoting_style.il.dwp,,35,0.97,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_echo.set_quoting_style.il.dwp,,6,25.73,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_dwp_factor.close_stdout_set_file_name.il.dwp,,--,--,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_touch.close_stdout_set_file_name.il.fse-bfs,,--,--,,97,5.01,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_difret_functions_fse-bfs_vdir.strmode.il.fse-bfs,,36,158.4,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_mkdir.set_quoting_style.il.dwp,,115,5.48,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.rev_xstrcoll_size.il.dwp,,9,31.73,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_dwp_vdir.strcmp_ctime.il.dwp,,8,20.96,,--,--,,--,--,,--,--
QF_ABV/dwp_formulas/try5_small_noof_functions_wp_stat.set_char_quoting.il.wp,,57,120.23,,--,--,,--,--,,--,--
QF_ABV/egt/egt-0474,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1526,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-1550,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-4211,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-6650,,--,--,,--,--,,--,--,,--,--
QF_ABV/egt/egt-7155,,--,--,,--,--,,--,--,,--,--
QF_ABV/platania/no_init_simple_member/no_init_simple_member2,,2,0.26,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021458_0x7c80a939_00,,12,7.25,,97,122.67,,141,421.37,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021487_0x7c80aacd_00,,13,10.43,,176,231.79,,126,305.84,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021513_0x7c80ab56_00,,12,7.06,,228,328.09,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021516_0x7c80ab62_00,,15,13.79,,240,445.92,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021524_0x7c80ab81_00,,13,11.56,,230,325.46,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021528_0x7c80ab8f_00,,14,11.99,,237,424.61,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021530_0x7c80ab96_00,,--,--,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_021534_0x7c80aba4_00,,14,11.24,,238,343.94,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022152_0x7c80a939_00,,12,11.78,,225,411.84,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022198_0x7c80ab39_00,,13,12.15,,261,253.43,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022207_0x7c80ab56_00,,14,13.37,,260,259.14,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022301_0x9503aad_00,,22,21.11,,263,310.93,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022628_0x9502edb_00,,12,9.87,,319,416.37,,--,--,,--,--
QF_ABV/stp_samples/run_00000.trace.cond_022643_0x9502eaf_00,,16,18.18,,291,351.79,,--,--,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__014071,,156,399.76,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015045,,8,4.1,,144,93.38,,139,275.73,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__015532,,7,4.61,,124,86.74,,129,210.31,,--,--
QF_ABV/stp_samples/run_00007.trace.Alloc_zero__016019,,7,5.33,,107,116.6,,79,190.92,,--,--
QF_ABV/stp_samples/run_00007.trace.cond_014512_0x950130a_00,,6,1.96,,--,--,,--,--,,--,--
QF_ABV/stp_samples/run_00007.trace.cond_014534_0x95026e6_00,,6,2.7,,--,--,,--,--,,--,--
,,,,,,,,,,,,
