Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,5,17.17,,7,27.39,,11,85.16,,7,1.59
QF_BV/RWS/Example_14.txt,,5,27.46,,7,33.02,,9,72.37,,8,5.02
QF_BV/RWS/Example_2.txt,,5,15.64,,13,48.6,,10,69.62,,7,1.01
QF_BV/RWS/Example_4.txt,,4,17.94,,8,34.3,,13,58.16,,5,1.1
QF_BV/RWS/Example_5.txt,,4,16.92,,8,34.27,,11,69.64,,5,0.81
QF_BV/RWS/Example_6.txt,,3,5.33,,8,31.7,,8,42.17,,5,0.43
QF_BV/bench_ab/a168test0018,,1,0.04,,1,0.04,,1,0.3,,1,0.03
QF_BV/bench_ab/a403test0043,,2,0.05,,4,0.04,,4,0.05,,2,0.1
QF_BV/bench_ab/a423test0008,,1,0.02,,1,0.04,,1,0.06,,1,0.07
QF_BV/bench_ab/a481test0001,,3,0.2,,72,1.21,,52,0.88,,3,0.06
QF_BV/bench_ab/a493test0006,,3,0.22,,69,0.98,,65,0.99,,3,0.08
QF_BV/bench_ab/a503test0089,,1,0.06,,1,0.04,,1,0.04,,1,0.45
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.04,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,19,0.29,,14,0.29,,14,0.11,,4,0.14
QF_BV/bench_ab/a651test0090,,1,0.07,,1,0.03,,1,0.05,,1,0.04
QF_BV/bench_ab/a655test0003,,4,0.06,,6,0.05,,6,0.26,,3,0.04
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.03,,1,0.05,,1,0.06
QF_BV/bench_ab/a659test0071,,1,0.05,,1,0.28,,1,0.05,,1,0.06
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.03,,1,0.06,,1,0.45
QF_BV/bmc-bv/adpcm,,1,0.02,,1,0.04,,1,0.52,,1,0.35
QF_BV/bmc-bv/ex19,,3,46.22,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,3,6.15,,4,16.8,,4,21.9,,--,--
QF_BV/bmc-bv/graycode,,1,1.85,,1,0.15,,1,0.16,,1,0.2
QF_BV/bmc-bv/inf1,,2,0.19,,16,0.49,,16,0.28,,3,0.07
QF_BV/bmc-bv/magic,,1,5.63,,1,2.07,,1,1.65,,1,0.77
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,2,2.34,,2,2.74,,2,2.37
QF_BV/bmc-bv/queens,,1,2.99,,1,0.39,,1,0.41,,1,0.44
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.64,,1,0.66,,1,0.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.14,,1,0.15,,1,0.3
QF_BV/bmc-bv/sudoku,,1,38.66,,1,1.4,,1,1.61,,1,544.32
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,2.66,,33,26.81,,30,27.49,,3,0.5
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,2,4.48,,33,39.23,,21,18.58,,3,0.59
QF_BV/brummayerbiere2/smulov4bw0032,,2,1.35,,14,0.57,,14,0.63,,2,0.43
QF_BV/brummayerbiere2/smulov4bw0064,,2,5.89,,29,6.64,,29,8.07,,2,2618.74
QF_BV/brummayerbiere2/smulov4bw0128,,2,59.45,,59,98.57,,59,162.52,,--,--
QF_BV/brummayerbiere2/smulov4bw0256,,2,775.49,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/fig1d.phx,,3,71.84,,29,115.75,,7,25.72,,6,162.04
QF_BV/gulwani-pldi08/fig5.phx,,3,43.23,,201,516.48,,283,680.11,,5,103.19
QF_BV/gulwani-pldi08/fig6.phx,,4,11.38,,158,104.17,,--,--,,6,2.26
QF_BV/gulwani-pldi08/merge.phx,,2,20.54,,2,4.64,,2,6.63,,2,1.55
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,3,30.95,,150,429.91,,150,271.55,,4,21.95
QF_BV/sage/app1/bench_1141,,2,3.7,,43,146.05,,44,180.08,,3,0.62
QF_BV/sage/app1/bench_1288,,2,4.09,,9,2.92,,9,3.22,,2,0.96
QF_BV/sage/app1/bench_1339,,2,1.89,,2,0.76,,2,0.68,,2,0.56
QF_BV/sage/app1/bench_1346,,2,2.45,,24,9.92,,23,8.02,,2,0.42
QF_BV/sage/app1/bench_1710,,4,0.14,,21,0.42,,21,0.22,,2,0.45
QF_BV/sage/app1/bench_1742,,2,0.13,,14,0.29,,14,0.26,,2,0.07
