Instance,,PanSampler,,,SMTSampler,,,GuidedSampler,,,CSB,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,22,60.93,,56,231.72,,56,369.51,,36,6.89
QF_BV/RWS/Example_14.txt,,22,89.66,,36,189.66,,56,505.87,,40,35.8
QF_BV/RWS/Example_2.txt,,12,32.75,,42,199.82,,26,188.37,,21,3.02
QF_BV/RWS/Example_4.txt,,9,35.1,,35,172.52,,47,289.68,,21,3.12
QF_BV/RWS/Example_5.txt,,7,25.24,,20,75.79,,22,167.46,,13,1.96
QF_BV/RWS/Example_6.txt,,6,9.31,,20,115.35,,13,100.12,,18,1.34
QF_BV/bench_ab/a168test0018,,2,0.05,,5,0.09,,4,0.33,,2,0.05
QF_BV/bench_ab/a403test0043,,3,0.06,,12,0.08,,12,0.1,,6,0.1
QF_BV/bench_ab/a423test0008,,3,0.03,,5,0.06,,5,0.07,,4,0.08
QF_BV/bench_ab/a481test0001,,4,0.26,,90,1.43,,87,1.48,,7,0.07
QF_BV/bench_ab/a493test0006,,5,0.35,,87,1.22,,83,1.19,,5,0.09
QF_BV/bench_ab/a503test0089,,2,0.08,,3,0.07,,3,0.06,,2,0.46
QF_BV/bench_ab/a628test0066,,1,0.07,,1,0.04,,1,0.05,,1,0.05
QF_BV/bench_ab/a639test0017,,21,0.33,,17,0.31,,17,0.12,,4,0.14
QF_BV/bench_ab/a651test0090,,41,0.52,,9,0.11,,9,0.12,,2,0.05
QF_BV/bench_ab/a655test0003,,16,0.19,,9,0.06,,9,0.28,,3,0.04
QF_BV/bench_ab/a656test0092,,1,0.05,,1,0.03,,1,0.05,,1,0.06
QF_BV/bench_ab/a659test0071,,40,0.43,,9,0.4,,9,0.1,,3,0.08
QF_BV/bench_ab/a688test0103,,1,0.03,,1,0.03,,1,0.06,,1,0.45
QF_BV/bmc-bv/adpcm,,1,0.02,,1,0.04,,1,0.52,,1,0.35
QF_BV/bmc-bv/ex19,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,5,10.27,,32,122.68,,6,42.64,,--,--
QF_BV/bmc-bv/graycode,,2,3.28,,3,0.28,,3,0.28,,2,0.26
QF_BV/bmc-bv/inf1,,3,0.25,,30,0.93,,30,0.49,,4,0.08
QF_BV/bmc-bv/magic,,2,9.05,,2,7.34,,2,11.9,,2,3.73
QF_BV/bmc-bv/matrixsqrt,,3,6.2,,4,13.03,,4,13.13,,3,3.41
QF_BV/bmc-bv/queens,,2,5.24,,4,1.72,,4,1.43,,3,0.67
QF_BV/bmc-bv/send-more-money,,1,2.04,,1,0.64,,1,0.66,,1,0.17
QF_BV/bmc-bv/sort,,1,0.42,,1,0.14,,1,0.15,,1,0.3
QF_BV/bmc-bv/sudoku,,1,38.66,,1,1.4,,1,1.61,,1,544.32
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,4,3.98,,68,117.27,,62,61.71,,9,0.97
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,4,7.71,,--,--,,58,55.49,,8,1.06
QF_BV/brummayerbiere2/smulov4bw0032,,3,2.13,,27,1.48,,27,1.34,,5,0.63
QF_BV/brummayerbiere2/smulov4bw0064,,4,14.83,,57,13.52,,57,19.16,,--,--
QF_BV/brummayerbiere2/smulov4bw0128,,4,85.86,,113,210.39,,113,324.44,,--,--
QF_BV/brummayerbiere2/smulov4bw0256,,4,1033.46,,--,--,,--,--,,--,--
QF_BV/gulwani-pldi08/fig1d.phx,,9,159.34,,164,1281.1,,131,724.71,,30,851.83
