Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,9,15.43,,9,17.2,,9,27.21,,8,53.05
QF_BV/RWS/Example_14.txt,,10,24.66,,9,30.46,,9,43.42,,9,55.24
QF_BV/RWS/Example_2.txt,,8,12.72,,8,17.22,,7,20.25,,7,34.19
QF_BV/RWS/Example_4.txt,,6,10.17,,6,11.73,,6,24.89,,6,31.99
QF_BV/RWS/Example_5.txt,,5,9.4,,5,11.48,,5,19.76,,5,37.76
QF_BV/RWS/Example_6.txt,,5,4.92,,5,5.64,,5,8.02,,5,19.75
QF_BV/bench_ab/a168test0018,,1,0.02,,1,0.05,,1,0.04,,1,0.06
QF_BV/bench_ab/a403test0043,,35,0.17,,3,0.05,,3,0.06,,2,0.19
QF_BV/bench_ab/a423test0008,,2,0.02,,2,0.04,,2,0.02,,2,0.09
QF_BV/bench_ab/a481test0001,,5,0.08,,4,0.13,,4,0.26,,4,0.5
QF_BV/bench_ab/a493test0006,,33,0.38,,3,0.14,,4,0.28,,4,0.65
QF_BV/bench_ab/a503test0089,,1,0.04,,1,0.05,,1,0.06,,1,0.08
QF_BV/bench_ab/a628test0066,,1,0.03,,1,0.06,,1,0.07,,1,0.07
QF_BV/bench_ab/a639test0017,,249,1.61,,205,1.91,,21,0.33,,24,1.24
QF_BV/bench_ab/a651test0090,,297,1.52,,27,0.2,,13,0.22,,5,0.24
QF_BV/bench_ab/a655test0003,,94,0.44,,112,0.84,,16,0.19,,6,0.14
QF_BV/bench_ab/a656test0092,,1,0.02,,1,0.02,,1,0.05,,1,0.02
QF_BV/bench_ab/a659test0071,,334,1.75,,240,1.73,,40,0.43,,25,0.43
QF_BV/bench_ab/a688test0103,,1,0.02,,1,0.05,,1,0.03,,1,0.03
QF_BV/bmc-bv/adpcm,,1,0.01,,1,0.02,,1,0.02,,1,0.02
QF_BV/bmc-bv/ex19,,12,40.81,,6,39.84,,5,68.99,,4,150.23
QF_BV/bmc-bv/fermat,,--,--,,4,2.93,,4,8.37,,--,--
QF_BV/bmc-bv/graycode,,1,0.46,,1,0.72,,1,1.85,,1,3.85
