Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/sage/app2/bench_458,,9,0.12,,4,0.11,,3,0.12,,3,0.17
QF_BV/sage/app2/bench_48,,16,7.42,,8,3.03,,7,3.31,,8,4.59
QF_BV/sage/app2/bench_642,,4,3.59,,3,2.43,,3,4.84,,3,7.18
QF_BV/sage/app2/bench_645,,2,0.32,,2,0.84,,2,1.15,,2,2.08
QF_BV/sage/app2/bench_664,,4,3.46,,3,2.57,,4,5.28,,3,6.7
QF_BV/sage/app2/bench_719,,4,3.07,,4,2.88,,4,6.76,,3,5.68
QF_BV/sage/app2/bench_830,,4,3.14,,4,2.98,,5,6.12,,4,6.25
QF_BV/sage/app2/bench_863,,3,3.18,,3,3.15,,3,5.01,,3,9.35
QF_BV/sage/app5/bench_1163,,4,0.27,,3,0.44,,3,0.73,,3,1.01
QF_BV/sage/app5/bench_1169,,1,0.02,,1,0.03,,1,0.04,,1,0.04
QF_BV/sage/app5/bench_1170,,4,0.27,,3,0.57,,3,0.74,,3,1.37
QF_BV/sage/app5/bench_1182,,3,1.22,,3,2.5,,3,7.45,,3,10.14
QF_BV/sage/app5/bench_1262,,4,0.09,,3,0.14,,2,0.15,,3,0.37
QF_BV/sage/app5/bench_1298,,1,0.02,,1,0.03,,1,0.08,,1,0.12
QF_BV/sage/app5/bench_349,,3,3.61,,2,3.25,,2,6.13,,2,11.15
QF_BV/sage/app5/bench_357,,2,2.28,,2,3.13,,2,6.89,,2,11.85
QF_BV/sage/app5/bench_42,,2,0.77,,2,1.29,,2,3.61,,2,4.73
QF_BV/sage/app5/bench_555,,1,0.02,,1,0.03,,1,0.03,,1,0.04
QF_BV/sage/app5/bench_565,,1,0.02,,1,0.03,,1,0.03,,1,0.04
QF_BV/sage/app5/bench_575,,--,--,,3,0.1,,3,0.13,,--,--
QF_BV/sage/app5/bench_597,,1,0.02,,1,0.03,,1,0.05,,1,0.03
QF_BV/sage/app5/bench_742,,1,0.12,,1,0.19,,1,0.17,,1,0.52
QF_BV/sage/app5/bench_794,,2,0.03,,2,0.05,,2,0.05,,2,0.16
QF_BV/sage/app5/bench_959,,3,0.28,,2,0.32,,2,0.4,,2,0.8
QF_BV/sage/app5/bench_960,,45,0.43,,3,0.07,,5,0.12,,2,0.16
QF_BV/sage/app8/bench_1892,,2,0.23,,2,0.44,,2,0.62,,2,0.81
QF_BV/sage/app8/bench_2006,,3,0.26,,2,0.35,,2,0.53,,2,1.12
QF_BV/sage/app8/bench_23,,2,0.51,,2,0.9,,2,1.7,,2,2.66
QF_BV/sage/app8/bench_2310,,3,0.1,,2,0.22,,2,0.31,,2,0.53
QF_BV/sage/app8/bench_2880,,3,0.3,,3,0.62,,3,1.21,,3,2.18
QF_BV/sage/app8/bench_3177,,2,0.57,,2,0.83,,2,1.21,,2,2.61
QF_BV/sage/app8/bench_3314,,2,0.29,,2,0.48,,2,0.95,,2,1.68
QF_BV/sage/app8/bench_3368,,2,0.35,,2,0.76,,2,0.94,,2,1.76
QF_BV/sage/app8/bench_3424,,2,0.21,,2,0.36,,2,0.58,,2,1.16
QF_BV/sage/app8/bench_3448,,1,0.08,,1,0.14,,1,0.15,,1,0.24
QF_BV/sage/app8/bench_3677,,4,0.11,,3,0.17,,2,0.16,,3,0.48
QF_BV/sage/app8/bench_3814,,2,0.23,,2,0.42,,2,0.62,,2,1.29
QF_BV/sage/app8/bench_3836,,2,0.04,,2,0.07,,2,0.07,,2,0.07
QF_BV/sage/app8/bench_400,,2,5.22,,2,7.11,,2,12.65,,2,17.63
QF_BV/sage/app8/bench_443,,2,6.78,,2,6.85,,2,11.49,,2,23.25
QF_BV/sage/app8/bench_498,,2,5.66,,2,6.45,,2,10.78,,2,25.88
QF_BV/sage/app8/bench_525,,4,0.07,,3,0.16,,3,0.23,,3,0.39
QF_BV/sage/app8/bench_828,,2,5.42,,2,6.92,,2,8.68,,2,13.63
QF_BV/sage/app9/bench_1203,,2,0.26,,2,0.6,,2,0.69,,2,1.47
QF_BV/sage/app9/bench_1269,,3,0.21,,2,0.28,,2,0.44,,2,0.84
QF_BV/sage/app9/bench_1323,,3,0.14,,3,0.3,,2,0.36,,2,0.71
QF_BV/sage/app9/bench_1384,,3,0.88,,3,1.43,,2,1.97,,3,4.81
QF_BV/sage/app9/bench_1400,,3,0.78,,3,1.24,,3,3.05,,3,5.65
QF_BV/sage/app9/bench_1552,,3,0.53,,3,0.74,,3,1.63,,3,3.06
QF_BV/sage/app9/bench_1659,,3,0.5,,3,0.89,,3,1.83,,2,2.15
QF_BV/sage/app9/bench_2061,,3,0.09,,3,0.12,,3,0.1,,2,0.13
QF_BV/sage/app9/bench_2127,,1,0.01,,1,0.03,,1,0.03,,1,0.11
QF_BV/sage/app9/bench_2358,,26,0.08,,2,0.03,,2,0.05,,2,0.03
QF_BV/sage/app9/bench_2518,,2,0.11,,2,0.28,,2,0.41,,2,0.8
QF_BV/sage/app9/bench_2940,,2,0.32,,2,0.45,,2,0.88,,2,1.5
QF_BV/sage/app9/bench_3134,,2,7.41,,2,10.9,,2,12.23,,2,24.65
QF_BV/sage/app9/bench_3261,,16,0.14,,2,0.05,,2,0.07,,2,0.2
QF_BV/sage/app9/bench_3270,,1,0.01,,1,0.03,,1,0.03,,1,0.03
QF_BV/sage/app9/bench_3278,,2,6.6,,2,7.36,,2,12.47,,2,23.76
QF_BV/sage/app9/bench_866,,1,0.02,,1,0.04,,1,0.04,,1,0.04
QF_BV/sage/app9/bench_885,,3,1.34,,3,1.76,,3,3.48,,3,7.51
QF_BV/sage/app9/bench_919,,4,0.08,,3,0.12,,2,0.13,,2,0.17
QF_BV/sage/app9/bench_979,,2,0.05,,2,0.12,,2,0.12,,2,0.3
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75770,,3,1.15,,2,3.9,,2,10.1,,2,24.48
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75771,,3,1.11,,2,4.22,,2,11.66,,2,19.22
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc75772,,3,1.31,,3,5.05,,2,12.23,,2,20.99
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76166,,4,25.43,,4,44.72,,3,58.05,,4,154.27
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76167,,4,28.68,,3,39.89,,3,68.23,,3,138.14
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76168,,3,24.83,,3,30.96,,3,54.67,,3,89.62
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76751,,4,33.03,,3,36.14,,3,54.16,,3,62.3
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76752,,4,28.76,,4,43.89,,4,64.0,,3,58.68
QF_BV/spear/zebra_v0.95a/bgpd_bgpd_vc76753,,4,28.24,,4,47.34,,3,59.36,,3,127.75
QF_BV/stp_samples/run_00000.trace.cond_017461_0x95026e6_00,,3,0.73,,3,0.95,,2,1.18,,3,1.9
