Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,--,--,,23,34.8,,22,60.93,,19,103.67
QF_BV/RWS/Example_14.txt,,24,45.97,,23,64.5,,22,89.66,,20,116.81
QF_BV/RWS/Example_2.txt,,14,19.01,,15,27.97,,12,32.75,,14,63.82
QF_BV/RWS/Example_4.txt,,10,15.0,,11,19.84,,9,35.1,,9,50.4
QF_BV/RWS/Example_5.txt,,7,11.42,,7,14.74,,7,25.24,,7,47.41
QF_BV/RWS/Example_6.txt,,7,6.23,,7,7.27,,6,9.31,,6,23.49
QF_BV/bench_ab/a168test0018,,11,0.05,,2,0.06,,2,0.05,,2,0.08
QF_BV/bench_ab/a403test0043,,65,0.31,,4,0.05,,3,0.06,,3,0.24
QF_BV/bench_ab/a423test0008,,9,0.03,,2,0.04,,3,0.03,,3,0.11
QF_BV/bench_ab/a481test0001,,5,0.08,,4,0.13,,4,0.26,,--,--
QF_BV/bench_ab/a493test0006,,33,0.38,,4,0.17,,5,0.35,,4,0.65
QF_BV/bench_ab/a503test0089,,2,0.06,,2,0.07,,2,0.08,,2,0.12
QF_BV/bench_ab/a628test0066,,1,0.03,,1,0.06,,1,0.07,,1,0.07
QF_BV/bench_ab/a639test0017,,249,1.61,,205,1.91,,21,0.33,,24,1.24
QF_BV/bench_ab/a651test0090,,334,1.68,,28,0.2,,41,0.52,,14,0.6
QF_BV/bench_ab/a655test0003,,94,0.44,,112,0.84,,16,0.19,,6,0.14
QF_BV/bench_ab/a656test0092,,1,0.02,,1,0.02,,1,0.05,,1,0.02
QF_BV/bench_ab/a659test0071,,334,1.75,,240,1.73,,40,0.43,,25,0.43
QF_BV/bench_ab/a688test0103,,1,0.02,,1,0.05,,1,0.03,,1,0.03
QF_BV/bmc-bv/adpcm,,1,0.01,,1,0.02,,1,0.02,,1,0.02
QF_BV/bmc-bv/ex19,,749,1733.87,,373,2066.13,,--,--,,--,--
QF_BV/bmc-bv/fermat,,--,--,,5,3.57,,5,10.27,,--,--
