Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,--,--,,42,66.33,,38,101.92,,--,--
QF_BV/RWS/Example_14.txt,,47,79.7,,45,113.58,,45,175.95,,38,220.97
QF_BV/RWS/Example_2.txt,,--,--,,23,38.21,,18,47.77,,--,--
QF_BV/RWS/Example_4.txt,,12,17.34,,12,21.41,,12,44.02,,12,68.3
QF_BV/RWS/Example_5.txt,,9,13.63,,10,19.63,,9,31.83,,9,57.51
QF_BV/RWS/Example_6.txt,,8,6.84,,8,8.12,,7,10.6,,7,26.0
QF_BV/bench_ab/a168test0018,,11,0.05,,2,0.06,,2,0.05,,2,0.08
QF_BV/bench_ab/a403test0043,,65,0.31,,5,0.06,,3,0.06,,3,0.24
QF_BV/bench_ab/a423test0008,,9,0.03,,217,1.09,,46,0.31,,6,0.15
QF_BV/bench_ab/a481test0001,,--,--,,5,0.15,,5,0.32,,--,--
QF_BV/bench_ab/a493test0006,,--,--,,5,0.2,,5,0.35,,4,0.65
QF_BV/bench_ab/a503test0089,,12,0.15,,4,0.1,,2,0.08,,2,0.12
QF_BV/bench_ab/a628test0066,,1,0.03,,1,0.06,,1,0.07,,1,0.07
QF_BV/bench_ab/a639test0017,,249,1.61,,230,2.11,,21,0.33,,24,1.24
QF_BV/bench_ab/a651test0090,,334,1.68,,28,0.2,,41,0.52,,14,0.6
QF_BV/bench_ab/a655test0003,,94,0.44,,112,0.84,,16,0.19,,6,0.14
QF_BV/bench_ab/a656test0092,,1,0.02,,1,0.02,,1,0.05,,1,0.02
QF_BV/bench_ab/a659test0071,,334,1.75,,240,1.73,,40,0.43,,25,0.43
QF_BV/bench_ab/a688test0103,,1,0.02,,1,0.05,,1,0.03,,1,0.03
QF_BV/bmc-bv/adpcm,,1,0.01,,1,0.02,,1,0.02,,1,0.02
QF_BV/bmc-bv/ex19,,--,--,,--,--,,--,--,,--,--
QF_BV/bmc-bv/fermat,,--,--,,6,4.25,,5,10.27,,--,--
QF_BV/bmc-bv/graycode,,3,1.08,,3,1.73,,3,4.74,,3,9.06
QF_BV/bmc-bv/inf1,,4,0.09,,2,0.14,,4,0.32,,3,0.52
QF_BV/bmc-bv/magic,,3,4.87,,3,7.6,,3,12.08,,3,24.19
QF_BV/bmc-bv/matrixsqrt,,3,0.7,,3,2.2,,3,6.2,,3,13.7
QF_BV/bmc-bv/queens,,3,2.12,,3,3.8,,3,7.21,,3,14.95
QF_BV/bmc-bv/send-more-money,,1,0.35,,1,1.21,,1,2.04,,1,4.85
QF_BV/bmc-bv/sort,,1,0.27,,1,0.34,,1,0.42,,1,1.16
QF_BV/bmc-bv/sudoku,,1,20.43,,1,23.66,,1,38.66,,1,71.65
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,5,5.13,,5,4.47,,4,3.98,,4,8.06
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,5,5.53,,4,4.6,,4,7.71,,4,7.68
QF_BV/brummayerbiere2/smulov4bw0032,,5,0.37,,4,1.05,,4,3.01,,3,3.79
QF_BV/brummayerbiere2/smulov4bw0064,,6,1.33,,4,3.5,,4,14.83,,4,31.01
QF_BV/brummayerbiere2/smulov4bw0128,,6,29.1,,4,72.24,,5,103.29,,4,150.74
QF_BV/brummayerbiere2/smulov4bw0256,,6,439.61,,5,1106.25,,4,1033.46,,5,1656.9
QF_BV/gulwani-pldi08/fig1d.phx,,16,156.41,,10,117.6,,11,186.78,,11,264.66
QF_BV/gulwani-pldi08/fig5.phx,,--,--,,8,48.0,,8,78.32,,--,--
QF_BV/gulwani-pldi08/fig6.phx,,--,--,,19,22.33,,13,34.44,,--,--
QF_BV/gulwani-pldi08/merge.phx,,2,3.7,,2,8.91,,2,20.54,,2,31.92
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,9,25.83,,8,36.86,,7,54.44,,7,71.38
QF_BV/sage/app1/bench_1141,,7,5.92,,5,5.74,,5,7.98,,4,14.83
QF_BV/sage/app1/bench_1288,,5,2.25,,5,3.74,,4,7.08,,4,10.89
QF_BV/sage/app1/bench_1339,,4,1.21,,6,3.23,,4,3.6,,4,7.51
QF_BV/sage/app1/bench_1346,,5,1.67,,4,2.07,,5,5.01,,4,10.08
QF_BV/sage/app1/bench_1710,,153,1.59,,9,0.18,,5,0.17,,6,0.3
QF_BV/sage/app1/bench_1742,,97,1.34,,3,0.12,,3,0.15,,3,0.24
QF_BV/sage/app1/bench_1768,,126,1.64,,4,0.14,,4,0.16,,3,0.19
QF_BV/sage/app12/bench_1183,,10,18.96,,8,19.37,,8,37.6,,9,54.56
QF_BV/sage/app12/bench_1353,,620,328.61,,35,13.27,,34,17.13,,20,15.86
QF_BV/sage/app12/bench_2211,,4,0.27,,3,0.51,,3,1.03,,3,2.06
