Instance,,PanSampler-λ1,,,PanSampler-λ10,,,PanSampler-λ50,,,PanSampler-λ100,
,,#sol,#time,,#sol,#time,,#sol,#time,,#sol,#time
QF_BV/RWS/Example_1.txt,,3,7.76,,3,8.1,,3,11.92,,3,24.49
QF_BV/RWS/Example_14.txt,,3,10.81,,3,13.07,,3,19.47,,3,22.25
QF_BV/RWS/Example_2.txt,,3,6.65,,3,8.38,,3,10.57,,3,16.0
QF_BV/RWS/Example_4.txt,,2,4.5,,2,4.89,,2,9.5,,2,11.87
QF_BV/RWS/Example_5.txt,,2,5.47,,2,4.93,,2,10.21,,2,21.19
QF_BV/RWS/Example_6.txt,,2,2.62,,2,2.85,,2,3.91,,2,10.3
QF_BV/bench_ab/a168test0018,,1,0.02,,1,0.05,,1,0.04,,1,0.06
QF_BV/bench_ab/a403test0043,,1,0.02,,1,0.03,,1,0.04,,1,0.14
QF_BV/bench_ab/a423test0008,,1,0.01,,1,0.03,,1,0.02,,1,0.05
QF_BV/bench_ab/a481test0001,,5,0.08,,2,0.09,,2,0.14,,2,0.26
QF_BV/bench_ab/a493test0006,,4,0.08,,3,0.14,,2,0.16,,3,0.47
QF_BV/bench_ab/a503test0089,,1,0.04,,1,0.05,,1,0.06,,1,0.08
QF_BV/bench_ab/a628test0066,,1,0.03,,1,0.06,,1,0.07,,1,0.07
QF_BV/bench_ab/a639test0017,,39,0.29,,18,0.21,,5,0.12,,3,0.23
QF_BV/bench_ab/a651test0090,,1,0.02,,1,0.03,,1,0.07,,1,0.11
QF_BV/bench_ab/a655test0003,,1,0.02,,1,0.05,,1,0.04,,1,0.05
QF_BV/bench_ab/a656test0092,,1,0.02,,1,0.02,,1,0.05,,1,0.02
QF_BV/bench_ab/a659test0071,,1,0.02,,1,0.04,,1,0.05,,1,0.04
QF_BV/bench_ab/a688test0103,,1,0.02,,1,0.05,,1,0.03,,1,0.03
QF_BV/bmc-bv/adpcm,,1,0.01,,1,0.02,,1,0.02,,1,0.02
QF_BV/bmc-bv/ex19,,5,24.3,,3,24.48,,2,31.08,,3,99.01
QF_BV/bmc-bv/fermat,,3,0.38,,3,2.25,,3,6.15,,3,11.08
QF_BV/bmc-bv/graycode,,1,0.46,,1,0.72,,1,1.85,,1,3.85
QF_BV/bmc-bv/inf1,,1,0.04,,1,0.1,,1,0.11,,1,0.22
QF_BV/bmc-bv/magic,,1,2.27,,1,3.26,,1,5.63,,1,11.59
QF_BV/bmc-bv/matrixsqrt,,2,0.61,,2,1.69,,2,4.41,,2,9.37
QF_BV/bmc-bv/queens,,1,1.25,,1,1.89,,1,2.99,,1,6.57
QF_BV/bmc-bv/send-more-money,,1,0.35,,1,1.21,,1,2.04,,1,4.85
QF_BV/bmc-bv/sort,,1,0.27,,1,0.34,,1,0.42,,1,1.16
QF_BV/bmc-bv/sudoku,,1,20.43,,1,23.66,,1,38.66,,1,71.65
QF_BV/bmc-bv-svcomp14/byte_add_false.c.17,,2,3.06,,2,2.43,,2,2.66,,2,5.21
QF_BV/bmc-bv-svcomp14/byte_add_false.c.21,,2,2.8,,2,3.02,,2,4.48,,2,4.84
QF_BV/brummayerbiere2/smulov4bw0032,,1,0.13,,1,0.39,,1,0.71,,1,1.55
QF_BV/brummayerbiere2/smulov4bw0064,,1,0.43,,1,1.23,,1,3.55,,1,6.83
QF_BV/brummayerbiere2/smulov4bw0128,,1,2.21,,1,13.95,,1,40.3,,1,65.61
QF_BV/brummayerbiere2/smulov4bw0256,,1,24.61,,1,497.81,,1,581.83,,1,758.07
QF_BV/gulwani-pldi08/fig1d.phx,,2,43.85,,2,43.96,,2,55.68,,2,60.55
QF_BV/gulwani-pldi08/fig5.phx,,2,17.34,,2,17.93,,2,34.9,,2,52.76
QF_BV/gulwani-pldi08/fig6.phx,,3,2.31,,3,4.27,,3,8.87,,3,13.6
QF_BV/gulwani-pldi08/merge.phx,,1,2.3,,1,5.27,,1,11.95,,1,16.71
QF_BV/gulwani-pldi08/simplePostAndPre.phx,,2,15.16,,2,15.13,,2,24.68,,2,28.44
QF_BV/sage/app1/bench_1141,,2,2.08,,2,2.55,,2,3.7,,2,8.69
QF_BV/sage/app1/bench_1288,,1,0.74,,1,1.02,,1,2.27,,1,3.37
